id	noticeCount	noticeType
1050305119	1	moneyBattle
1050305120	1	moneyBattle
1050405124	1	moneyBattle
1050405125	1	moneyBattle
1050405126	1	moneyBattle
1050605130	1	moneyBattle
1050605131	1	moneyBattle
1050605132	1	moneyBattle
1051000019	1	moneyBattle
1051000028	1	moneyBattle
1050007109	1	moneyBattle
1050007110	1	moneyBattle
1050207115	1	moneyBattle
1050207116	1	moneyBattle
1050307121	1	moneyBattle
1050307122	1	moneyBattle
1050407127	1	moneyBattle
1050407128	1	moneyBattle
1050607126	1	moneyBattle
1050607125	1	moneyBattle
1050011109	1	moneyBattle
1050011110	1	moneyBattle
1050211115	1	moneyBattle
1050211116	1	moneyBattle
1050311121	1	moneyBattle
1050311122	1	moneyBattle
1050411127	1	moneyBattle
1050411128	1	moneyBattle
1050611126	1	moneyBattle
1050611125	1	moneyBattle
1050010109	1	moneyBattle
1050010110	1	moneyBattle
1050210115	1	moneyBattle
1050210116	1	moneyBattle
1050310121	1	moneyBattle
1050310122	1	moneyBattle
1050410127	1	moneyBattle
1050410128	1	moneyBattle
1050610126	1	moneyBattle
1050610125	1	moneyBattle
1050005109	1	moneyBattle
1050005110	1	moneyBattle
1050205115	1	moneyBattle
1050205116	1	moneyBattle
1050305121	1	moneyBattle
1050305122	1	moneyBattle
1050405127	1	moneyBattle
1050405128	1	moneyBattle
1050605126	1	moneyBattle
1050605125	1	moneyBattle
1051000020	1	moneyBattle
1051000025	1	moneyBattle
1051000027	1	moneyBattle
1051000029	1	moneyBattle
1051000030	1	moneyBattle
1051000031	1	moneyBattle
1045000136	3	moneyBattle
1051000032	1	moneyBattle
1051000033	1	moneyBattle
1051000032	1	moneyBattle
1051000033	1	moneyBattle
1045000136	1	moneyBattle
1045010407	200	moneyBattle
1045000043	999	moneyBattle
1045000283	1	starBox
1045010423	1	starBox
1045000290	1	starBox
1045010409	200	starBox
1045000344	1	starBox
1045010406	1	starBox
1045000283	0	chongGuan
1045000386	0	chongGuan
1045000387	0	chongGuan
