gsId	id	name	iconId	materialsIds	materialsName	materialsCount	rank	groups	sequence	point	money	level	profession	remark	rates
24	1050011063	会心墨镜	1150011003	1050011062:1042200101:1042200201:1042010102:1042200601	熟练墨镜:素材之星·天上:素材之星·天下:奇妙宝石:怪医小分队之星	1:60:30:6:1	1	3	1	1000000	0	2200	11:16:20	魔攻：8200	7000:2500:500:0:0:0
25	1050011064	达人墨镜	1150011007	1050011063:1050000001:1042010102:1042201401:0	会心墨镜:奇妙之心:奇妙宝石:传奇至尊之星:0	1:2:20:2:0	1	4	1	3000000	0	3200	11:16:20	魔攻：9700	7000:2500:500:0:0:0
26	1050011065	大师墨镜	1150011004	1050011064:1050000001:1042010102:1042201901:0	达人墨镜:奇妙之心:奇妙宝石:绝世战队之星:0	1:3:30:2:0	1	5	1	10000000	0	4200	11:16:20	魔攻：11000	7000:2500:500:0:0:0
27	1050011066	宗师墨镜	1150011008	1050011065:1050000001:1042010105:1042200402:1042201901	大师墨镜:奇妙之心:王国之心:真·无双碎片:绝世战队之星	1:3:1:4:3	1	6	1	20000000	0	5200	11:16:20	魔攻：12500	7000:2500:500:0:0:0
28	1050011067	天上墨镜	1150011004	1050011066:1050000001:1042010105:1042200402:1042201901	宗师墨镜:奇妙之心:王国之心:真·无双碎片:绝世战队之星	1:4:2:8:4	1	7	1	30000000	0	1500	16:20:0	魔攻：19500	7000:2500:500:0:0:0
29	1050202061	初心运动服	1150202004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	2	50000	0	400	7:14:18	物防：16% 魔防：10% 生命：2868	7000:2500:500:0:0:0
30	1050202062	熟练运动服	1150202006	1050202061:1042200101:1042200201:1042010102:1042080601	初心运动服:素材之星·天上:素材之星·天下:奇妙宝石:冷酷判决者之星	1:20:10:2:1	1	2	2	300000	0	1200	7:14:18	物防：26% 魔防：14% 生命：8000	7000:2500:500:0:0:0
31	1050202063	会心运动服	1150202003	1050202062:1042200101:1042200201:1042010102:1042200801	熟练运动服:素材之星·天上:素材之星·天下:奇妙宝石:破军男女之星	1:60:30:6:1	1	3	2	1000000	0	2200	7:14:18	物防：28% 魔防：15% 生命：13500	7000:2500:500:0:0:0
32	1050202064	达人运动服	1150202007	1050202063:1050000001:1042010102:1042201501:0	会心运动服:奇妙之心:奇妙宝石:缤纷幻队之星:0	1:2:20:2:0	1	4	2	3000000	0	3200	7:14:18	物防：30% 魔防：17% 生命：15000	7000:2500:500:0:0:0
33	1050202065	大师运动服	1150202004	1050202064:1050000001:1042010102:1042202001:0	达人运动服:奇妙之心:奇妙宝石:影分身之星:0	1:3:30:2:0	1	5	2	10000000	0	4200	7:14:18	物防：33% 魔防：18% 生命：18000	7000:2500:500:0:0:0
34	1050202066	宗师运动服	1150202006	1050202065:1050000001:1042010105:1042200402:1042202001	大师运动服:奇妙之心:王国之心:真·无双碎片:影分身之星	1:3:1:4:3	1	6	2	20000000	0	5200	7:14:18	物防：36% 魔防：19% 生命：22000	7000:2500:500:0:0:0
35	1050202067	天上运动服	1150202004	1050202066:1050000001:1042010105:1042200402:1042202001	宗师运动服:奇妙之心:王国之心:真·无双碎片:影分身之星	1:4:2:8:4	1	7	2	30000000	0	1500	14:18:0	物防：43% 魔防：21% 生命：70000	7000:2500:500:0:0:0
36	1050201061	初心风衣	1150201004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	2	50000	0	400	5:13:17	物防：20% 魔防：12% 生命：3753	7000:2500:500:0:0:0
37	1050201062	熟练风衣	1150201006	1050201061:1042200101:1042200201:1042010102:1042050601	初心风衣:素材之星·天上:素材之星·天下:奇妙宝石:暴怒监视者之星	1:20:10:2:1	1	2	2	300000	0	1200	5:13:17	物防：34% 魔防：18% 生命：10000	7000:2500:500:0:0:0
38	1050201063	会心风衣	1150201003	1050201062:1042200101:1042200201:1042010102:1042200701	熟练风衣:素材之星·天上:素材之星·天下:奇妙宝石:超级双飞燕之星	1:60:30:6:1	1	3	2	1000000	0	2200	5:13:17	物防：35% 魔防：19% 生命：17500	7000:2500:500:0:0:0
39	1050201064	达人风衣	1150201007	1050201063:1050000001:1042010102:1042201501:0	会心风衣:奇妙之心:奇妙宝石:缤纷幻队之星:0	1:2:20:2:0	1	4	2	3000000	0	3200	5:13:17	物防：37% 魔防：20% 生命：20000	7000:2500:500:0:0:0
40	1050201065	大师风衣	1150201004	1050201064:1050000001:1042010102:1042202001:0	达人风衣:奇妙之心:奇妙宝石:影分身之星:0	1:3:30:2:0	1	5	2	10000000	0	4200	5:13:17	物防：40% 魔防：20% 生命：23500	7000:2500:500:0:0:0
41	1050201066	宗师风衣	1150201006	1050201065:1050000001:1042010105:1042200402:1042202001	大师风衣:奇妙之心:王国之心:真·无双碎片:影分身之星	1:3:1:4:3	1	6	2	20000000	0	5200	5:13:17	物防：43% 魔防：21% 生命：28000	7000:2500:500:0:0:0
42	1050201067	天上风衣	1150201004	1050201066:1050000001:1042010105:1042200402:1042202001	宗师风衣:奇妙之心:王国之心:真·无双碎片:影分身之星	1:4:2:8:4	1	7	2	30000000	0	1500	13:17:0	物防：53% 魔防：26% 生命：80000	7000:2500:500:0:0:0
43	1050203061	初心制服	1150203004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	2	50000	0	400	10:15:19	物防：12% 魔防：20% 生命：2454	7000:2500:500:0:0:0
44	1050203062	熟练制服	1150203006	1050203061:1042200101:1042200201:1042010102:1042060601	初心制服:素材之星·天上:素材之星·天下:奇妙宝石:致命天使之星	1:20:10:2:1	1	2	2	300000	0	1200	10:15:19	物防：22% 魔防：30% 生命：6600	7000:2500:500:0:0:0
45	1050203063	会心制服	1150203003	1050203062:1042200101:1042200201:1042010102:1042200701	熟练制服:素材之星·天上:素材之星·天下:奇妙宝石:超级双飞燕之星	1:60:30:6:1	1	3	2	1000000	0	2200	10:15:19	物防：23% 魔防：31% 生命：11500	7000:2500:500:0:0:0
46	1050203064	达人制服	1150203007	1050203063:1050000001:1042010102:1042201501:0	会心制服:奇妙之心:奇妙宝石:缤纷幻队之星:0	1:2:20:2:0	1	4	2	3000000	0	3200	10:15:19	物防：25% 魔防：32% 生命：13000	7000:2500:500:0:0:0
47	1050203065	大师制服	1150203004	1050203064:1050000001:1042010102:1042202001:0	达人制服:奇妙之心:奇妙宝石:影分身之星:0	1:3:30:2:0	1	5	2	10000000	0	4200	10:15:19	物防：27% 魔防：33% 生命：15500	7000:2500:500:0:0:0
48	1050203066	宗师制服	1150203006	1050203065:1050000001:1042010105:1042200402:1042202001	大师制服:奇妙之心:王国之心:真·无双碎片:影分身之星	1:3:1:4:3	1	6	2	20000000	0	5200	10:15:19	物防：29% 魔防：35% 生命：18500	7000:2500:500:0:0:0
49	1050203067	天上制服	1150203004	1050203066:1050000001:1042010105:1042200402:1042202001	宗师制服:奇妙之心:王国之心:真·无双碎片:影分身之星	1:4:2:8:4	1	7	2	30000000	0	1500	15:19:0	物防：36% 魔防：43% 生命：52000	7000:2500:500:0:0:0
50	1050204061	初心牛仔服	1150204004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	2	50000	0	400	11:16:20	物防：10% 魔防：16% 生命：1977	7000:2500:500:0:0:0
51	1050204062	熟练牛仔服	1150204006	1050204061:1042200101:1042200201:1042010102:1042070601	初心牛仔服:素材之星·天上:素材之星·天下:奇妙宝石:红衣判决者之星	1:20:10:2:1	1	2	2	300000	0	1200	11:16:20	物防：14% 魔防：26% 生命：5500	7000:2500:500:0:0:0
52	1050204063	会心牛仔服	1150204003	1050204062:1042200101:1042200201:1042010102:1042200801	熟练牛仔服:素材之星·天上:素材之星·天下:奇妙宝石:破军男女之星	1:60:30:6:1	1	3	2	1000000	0	2200	11:16:20	物防：15% 魔防：28% 生命：9100	7000:2500:500:0:0:0
53	1050204064	达人牛仔服	1150204007	1050204063:1050000001:1042010102:1042201501:0	会心牛仔服:奇妙之心:奇妙宝石:缤纷幻队之星:0	1:2:20:2:0	1	4	2	3000000	0	3200	11:16:20	物防：17% 魔防：30% 生命：11000	7000:2500:500:0:0:0
54	1050204065	大师牛仔服	1150204004	1050204064:1050000001:1042010102:1042202001:0	达人牛仔服:奇妙之心:奇妙宝石:影分身之星:0	1:3:30:2:0	1	5	2	10000000	0	4200	11:16:20	物防：18% 魔防：33% 生命：13900	7000:2500:500:0:0:0
55	1050204066	宗师牛仔服	1150204006	1050204065:1050000001:1042010105:1042200402:1042202001	大师牛仔服:奇妙之心:王国之心:真·无双碎片:影分身之星	1:3:1:4:3	1	6	2	20000000	0	5200	11:16:20	物防：19% 魔防：36% 生命：17400	7000:2500:500:0:0:0
56	1050204067	天上牛仔服	1150204004	1050204066:1050000001:1042010105:1042200402:1042202001	宗师牛仔服:奇妙之心:王国之心:真·无双碎片:影分身之星	1:4:2:8:4	1	7	2	30000000	0	1500	16:20:0	物防：21% 魔防：43% 生命：42000	7000:2500:500:0:0:0
57	1050302061	初心运动短裤	1150302004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	3	50000	0	600	7:14:18	生命：3186 精力：1828	7000:2500:500:0:0:0
58	1050302062	熟练运动短裤	1150302006	1050302061:1042200101:1042200201:1042010102:1042120601	初心运动短裤:素材之星·天上:素材之星·天下:奇妙宝石:幻影战警之星	1:20:10:2:1	1	2	3	300000	0	1200	7:14:18	生命：12500 精力：6800	7000:2500:500:0:0:0
59	1050302063	会心运动短裤	1150302003	1050302062:1042200101:1042200201:1042010102:1042201001	熟练运动短裤:素材之星·天上:素材之星·天下:奇妙宝石:战斗行家之星	1:60:30:6:1	1	3	3	1000000	0	2200	7:14:18	生命：21500 精力：12000 抗物理爆击伤害：15% 抗精神爆击伤害：5%	7000:2500:500:0:0:0
60	1050302064	达人运动短裤	1150302007	1050302063:1050000001:1042010102:1042201601:0	会心运动短裤:奇妙之心:奇妙宝石:异能战队之星:0	1:2:20:2:0	1	4	3	3000000	0	3200	7:14:18	生命：24000 精力：13500 抗物理爆击伤害：20% 抗精神爆击伤害：10%	7000:2500:500:0:0:0
61	1050302065	大师运动短裤	1150302004	1050302064:1050000001:1042010102:1042202101:0	达人运动短裤:奇妙之心:奇妙宝石:真十字军之星:0	1:3:30:2:0	1	5	3	10000000	0	4200	7:14:18	生命：34000 精力：19000 抗物理爆击伤害：25% 抗精神爆击伤害：15%	7000:2500:500:0:0:0
62	1050302066	宗师运动短裤	1150302006	1050302065:1050000001:1042010105:1042200402:1042202101	大师运动短裤:奇妙之心:王国之心:真·无双碎片:真十字军之星	1:3:1:4:3	1	6	3	20000000	0	5200	7:14:18	生命：44000 精力：24500 抗物理爆击伤害：30% 抗精神爆击伤害：20%	7000:2500:500:0:0:0
63	1050302067	天上运动短裤	1150302004	1050302066:1050000001:1042010105:1042200402:1042202101	宗师运动短裤:奇妙之心:王国之心:真·无双碎片:真十字军之星	1:4:2:8:4	1	7	3	30000000	0	1500	14:18:0	生命：74000 精力：34000 抗物理爆击伤害：35% 抗精神爆击伤害：25%	7000:2500:500:0:0:0
64	1050301061	初心西裤	1150301004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	3	50000	0	600	5:13:17	生命：4170 精力：1788	7000:2500:500:0:0:0
65	1050301062	熟练西裤	1150301006	1050301061:1042200101:1042200201:1042010102:1042090601	初心西裤:素材之星·天上:素材之星·天下:奇妙宝石:残暴判决者之星	1:20:10:2:1	1	2	3	300000	0	1200	5:13:17	生命：17000 精力：6800	7000:2500:500:0:0:0
66	1050301063	会心西裤	1150301003	1050301062:1042200101:1042200201:1042010102:1042200901	熟练西裤:素材之星·天上:素材之星·天下:奇妙宝石:月亮丽人之星	1:60:30:6:1	1	3	3	1000000	0	2200	5:13:17	生命：28500 精力：12000 抗物理爆击伤害：25%	7000:2500:500:0:0:0
67	1050301064	达人西裤	1150301007	1050301063:1050000001:1042010102:1042201601:0	会心西裤:奇妙之心:奇妙宝石:异能战队之星:0	1:2:20:2:0	1	4	3	3000000	0	3200	5:13:17	生命：32000 精力：13000 抗物理爆击伤害：30%	7000:2500:500:0:0:0
68	1050301065	大师西裤	1150301004	1050301064:1050000001:1042010102:1042202101:0	达人西裤:奇妙之心:奇妙宝石:真十字军之星:0	1:3:30:2:0	1	5	3	10000000	0	4200	5:13:17	生命：45000 精力：19000 抗物理爆击伤害：35% 抗精神爆击伤害：5%	7000:2500:500:0:0:0
69	1050301066	宗师西裤	1150301006	1050301065:1050000001:1042010105:1042200402:1042202101	大师西裤:奇妙之心:王国之心:真·无双碎片:真十字军之星	1:3:1:4:3	1	6	3	20000000	0	5200	5:13:17	生命：58000 精力：25000 抗物理爆击伤害：40% 抗精神爆击伤害：10%	7000:2500:500:0:0:0
70	1050301067	天上西裤	1150301004	1050301066:1050000001:1042010105:1042200402:1042202101	宗师西裤:奇妙之心:王国之心:真·无双碎片:真十字军之星	1:4:2:8:4	1	7	3	30000000	0	1500	13:17:0	生命：98000 精力：35000 抗物理爆击伤害：45% 抗精神爆击伤害：15%	7000:2500:500:0:0:0
71	1050303061	初心休闲裤	1150303004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	3	50000	0	600	10:15:19	生命：2728 精力：2248	7000:2500:500:0:0:0
72	1050303062	熟练休闲裤	1150303006	1050303061:1042200101:1042200201:1042010102:1042110601	初心休闲裤:素材之星·天上:素材之星·天下:奇妙宝石:幻影萝莉之星	1:20:10:2:1	1	2	3	300000	0	1200	10:15:19	生命：11000 精力：8500	7000:2500:500:0:0:0
73	1050303063	会心休闲裤	1150303003	1050303062:1042200101:1042200201:1042010102:1042200901	熟练休闲裤:素材之星·天上:素材之星·天下:奇妙宝石:月亮丽人之星	1:60:30:6:1	1	3	3	1000000	0	2200	10:15:19	生命：18700 精力：15000 抗精神爆击伤害：25%	7000:2500:500:0:0:0
74	1050303064	达人休闲裤	1150303007	1050303063:1050000001:1042010102:1042201601:0	会心休闲裤:奇妙之心:奇妙宝石:异能战队之星:0	1:2:20:2:0	1	4	3	3000000	0	3200	10:15:19	生命：21000 精力：16500 抗精神爆击伤害：30%	7000:2500:500:0:0:0
75	1050303065	大师休闲裤	1150303004	1050303064:1050000001:1042010102:1042202101:0	达人休闲裤:奇妙之心:奇妙宝石:真十字军之星:0	1:3:30:2:0	1	5	3	10000000	0	4200	10:15:19	生命：29000 精力：23000 抗物理爆击伤害：5% 抗精神爆击伤害：35%	7000:2500:500:0:0:0
76	1050303066	宗师休闲裤	1150303006	1050303065:1050000001:1042010105:1042200402:1042202101	大师休闲裤:奇妙之心:王国之心:真·无双碎片:真十字军之星	1:3:1:4:3	1	6	3	20000000	0	5200	10:15:19	生命：37000 精力：29500 抗物理爆击伤害：10% 抗精神爆击伤害：40%	7000:2500:500:0:0:0
77	1050303067	天上休闲裤	1150303004	1050303066:1050000001:1042010105:1042200402:1042202101	宗师休闲裤:奇妙之心:王国之心:真·无双碎片:真十字军之星	1:4:2:8:4	1	7	3	30000000	0	1500	15:19:0	生命：61000 精力：42000 抗物理爆击伤害：15% 抗精神爆击伤害：45%	7000:2500:500:0:0:0
78	1050304061	初心牛仔裤	1150304004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	3	50000	0	600	11:16:20	生命：2196 精力：2754	7000:2500:500:0:0:0
79	1050304062	熟练牛仔裤	1150304006	1050304061:1042200101:1042200201:1042010102:1042100601	初心牛仔裤:素材之星·天上:素材之星·天下:奇妙宝石:蝙蝠判决者之星	1:20:10:2:1	1	2	3	300000	0	1200	11:16:20	生命：8600 精力：10800	7000:2500:500:0:0:0
80	1050304063	会心牛仔裤	1150304003	1050304062:1042200101:1042200201:1042010102:1042201001	熟练牛仔裤:素材之星·天上:素材之星·天下:奇妙宝石:战斗行家之星	1:60:30:6:1	1	3	3	1000000	0	2200	11:16:20	生命：14800 精力：18000 抗物理爆击伤害：5% 抗精神爆击伤害：15%	7000:2500:500:0:0:0
81	1050304064	达人牛仔裤	1150304007	1050304063:1050000001:1042010102:1042201601:0	会心牛仔裤:奇妙之心:奇妙宝石:异能战队之星:0	1:2:20:2:0	1	4	3	3000000	0	3200	11:16:20	生命：17000 精力：20000 抗物理爆击伤害：10% 抗精神爆击伤害：20%	7000:2500:500:0:0:0
82	1050304065	大师牛仔裤	1150304004	1050304064:1050000001:1042010102:1042202101:0	达人牛仔裤:奇妙之心:奇妙宝石:真十字军之星:0	1:3:30:2:0	1	5	3	10000000	0	4200	11:16:20	生命：24000 精力：28000 抗物理爆击伤害：15% 抗精神爆击伤害：25%	7000:2500:500:0:0:0
83	1050304066	宗师牛仔裤	1150304006	1050304065:1050000001:1042010105:1042200402:1042202101	大师牛仔裤:奇妙之心:王国之心:真·无双碎片:真十字军之星	1:3:1:4:3	1	6	3	20000000	0	5200	11:16:20	生命：31000 精力：36000 抗物理爆击伤害：20% 抗精神爆击伤害：30%	7000:2500:500:0:0:0
84	1050304067	天上牛仔裤	1150304004	1050304066:1050000001:1042010105:1042200402:1042202101	宗师牛仔裤:奇妙之心:王国之心:真·无双碎片:真十字军之星	1:4:2:8:4	1	7	3	30000000	0	1500	16:20:0	生命：51000 精力：52000 抗物理爆击伤害：25% 抗精神爆击伤害：35%	7000:2500:500:0:0:0
85	1050402061	初心运动鞋	1150402004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	5	50000	0	1000	7:14:18	物免：497 魔免：398	7000:2500:500:0:0:0
86	1050402062	熟练运动鞋	1150402006	1050402061:1042200101:1042200201:1042010102:1042201301	初心运动鞋:素材之星·天上:素材之星·天下:奇妙宝石:靓女三人组之星	1:20:10:2:1	1	2	5	300000	0	1200	7:14:18	物免：1545 魔免：1230	7000:2500:500:0:0:0
87	1050402063	会心运动鞋	1150402003	1050402062:1042200101:1042200201:1042010102:1042201201	熟练运动鞋:素材之星·天上:素材之星·天下:奇妙宝石:鬼泣组合之星	1:60:30:6:1	1	3	5	1000000	0	2200	7:14:18	物免：2370 魔免：1905 物防：1% 魔防：1%	7000:2500:500:0:0:0
88	1050402064	达人运动鞋	1150402007	1050402063:1050000001:1042010102:1042201801:0	会心运动鞋:奇妙之心:奇妙宝石:街霸卫队之星:0	1:2:20:2:0	1	4	5	3000000	0	3200	7:14:18	物免：2640 魔免：2115 物防：2% 魔防：1%	7000:2500:500:0:0:0
89	1050402065	大师运动鞋	1150402004	1050402064:1050000001:1042010102:1042202201:0	达人运动鞋:奇妙之心:奇妙宝石:汽车人之星:0	1:3:30:2:0	1	5	5	10000000	0	4200	7:14:18	物免：2970 魔免：2400 物防：3% 魔防：2%	7000:2500:500:0:0:0
90	1050402066	宗师运动鞋	1150402006	1050402065:1050000001:1042010105:1042200402:1042202201	大师运动鞋:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:3:1:4:3	1	6	5	20000000	0	5200	7:14:18	物免：3450 魔免：2785 物防：4% 魔防：3%	7000:2500:500:0:0:0
91	1050402067	天上运动鞋	1150402004	1050402066:1050000001:1042010105:1042200402:1042202201	宗师运动鞋:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:4:2:8:4	1	7	5	30000000	0	1500	14:18:0	物免：5500 魔免：4200 物防：5% 魔防：4%	7000:2500:500:0:0:0
92	1050401061	初心皮鞋	1150401004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	5	50000	0	1000	5:13:17	物免：714 魔免：383	7000:2500:500:0:0:0
93	1050401062	熟练皮鞋	1150401006	1050401061:1042200101:1042200201:1042010102:1042170601	初心皮鞋:素材之星·天上:素材之星·天下:奇妙宝石:功夫妹阴暗体之星	1:20:10:2:1	1	2	5	300000	0	1200	5:13:17	物免：2135 魔免：1288	7000:2500:500:0:0:0
94	1050401063	会心皮鞋	1150401003	1050401062:1042200101:1042200201:1042010102:1042201201	熟练皮鞋:素材之星·天上:素材之星·天下:奇妙宝石:鬼泣组合之星	1:60:30:6:1	1	3	5	1000000	0	2200	5:13:17	物免：3220 魔免：1975 物防：2%	7000:2500:500:0:0:0
95	1050401064	达人皮鞋	1150401007	1050401063:1050000001:1042010102:1042201801:0	会心皮鞋:奇妙之心:奇妙宝石:街霸卫队之星:0	1:2:20:2:0	1	4	5	3000000	0	3200	5:13:17	物免：3675 魔免：2200 物防：3%	7000:2500:500:0:0:0
96	1050401065	大师皮鞋	1150401004	1050401064:1050000001:1042010102:1042202201:0	达人皮鞋:奇妙之心:奇妙宝石:汽车人之星:0	1:3:30:2:0	1	5	5	10000000	0	4200	5:13:17	物免：4800 魔免：2450 物防：5%	7000:2500:500:0:0:0
97	1050401066	宗师皮鞋	1150401006	1050401065:1050000001:1042010105:1042200402:1042202201	大师皮鞋:奇妙之心:王国之心:真·无双碎片:汽车人之星	1:3:1:4:3	1	6	5	20000000	0	5200	5:13:17	物免：5100 魔免：2700 物防：7%	7000:2500:500:0:0:0
