\u6E38\u620F\u7BA1\u7406\u5458	游戏管理员
\u606D\u559C\u4F60\u7684\u5BA0\u7269\u5347\u7EA7\u4E86	恭喜你的宠物升级了
\u606d\u559c	恭喜
\u5728\u53c2\u52a0	在参加
\u5143\u5b9d\u4e00\u6b21\u7684[\u5947\u5999\u9B54\u65B9]\u4e2d\u5f97\u5230	元宝一次的[奇妙魔方]中得到
\u4EF7\u503C	价值
\u5143\u5B9D	元宝
\u6CA1\u627E\u5230\u73A9\u5BB6!!!	没找到玩家!!!
\u73A9\u5BB6\u6CA1\u5728\u7EBF!!!	玩家没在线!!!
\u6B63\u5728\u5220\u9664\u4E2D!!!	正在删除中!!!
\u4F60\u7684\u5BA0\u7269\u4EB2\u5BC6\u5EA6\u5DF2\u8FBE\u6700\u5927\u503C!	你的宠物亲密度已达最大值!
\u5582\u517B\u5BA0\u7269	喂养宠物
\u5BA0\u7269\u83B7\u5F97	宠物获得
\u70B9\u4EB2\u5BC6\u5EA6	点亲密度
\u4F60\u7684\u5BA0\u7269\u7B49\u7EA7\u5DF2\u8FBE\u6700\u5927\u503C!	你的宠物等级已达最大值!
\u70B9\u7ECF\u9A8C\u503C	点经验值
\u7533\u8BF7\u7EC4\u961F\u6210\u529F	申请组队成功
\u8BF7\u63D0\u53D6\u5B9D\u7BB1\u7684\u7269\u54C1!	请提取宝箱的物品!
\u6B63\u5728\u5F00\u5B9D\u7BB1!	正在开宝箱!
\u8BF7\u9009\u62E9\u8981\u52A0\u5165\u7684\u9635\u8425!	请选择要加入的阵营!
\u6B63\u5728\u9009\u62E9\u9635\u8425!	正在选择阵营!
\u8BF7\u9009\u62E9\u5BA0\u7269\u8FDB\u5316!	请选择宠物进化!
\u6B63\u5728\u9009\u62E9\u5BA0\u7269\u53D8\u8EAB!	正在选择宠物变身!
\u4F60\u7684\u5E74\u9F84\u672A\u6EE118!	你的年龄未满18!
\u8EAB\u4EFD\u8BC1\u9A8C\u8BC1\u5B98	身份证验证官
\u8EAB\u4EFD\u9A8C\u8BC1\u6210\u529F\u793C\u54C1	身份验证成功礼品
\u4F60\u5DF2\u6210\u529F\u901A\u8FC7\u8EAB\u4EFD\u9A8C\u8BC1	你已成功通过身份验证
\u7279\u6B64\u53D1\u653E\u5956\u52B1\u7ED9\u4F60!	特此发放奖励给你!
\u62D2\u7EDD\u4E86\u4F60\u7684\u5E2E\u52A9\u9080\u8BF7!	拒绝了你的帮助邀请!
\u5DF2\u7ECF\u6210\u4E3A\u4F60\u7684\u88AB\u5E2E\u52A9\u4EBA!	已经成为你的被帮助人!
\u5DF2\u7ECF\u6210\u4E3A\u4F60\u7684\u70ED\u5FC3\u4EBA!	已经成为你的热心人!
\u5947\u5999\u79BB\u5A5A\u767B\u8BB0\u5904	奇妙离婚登记处
\u79BB\u5A5A\u4FE1\u606F	离婚信息
\u5947\u5999\u6708\u8001	奇妙月老
\u6C42\u5A5A\u6212\u6307\u8FD4\u8FD8	求婚戒指返还
\u4E07\u80FD\u7BA1\u5BB6	万能管家
\u5BA0\u7269\u8F6C\u6362	宠物转换
\u5BA0\u7269\u5DF2\u6062\u590D\u5230\u521D\u59CB\u72B6\u6001!	宠物已恢复到初始状态!
\u5F88\u9057\u61BE	很遗憾
\u70BC\u91D1\u672F\u58EB\u610F\u5916\u8D70\u795E\u4E86	炼金术士意外走神了
\u4F60\u4EC0\u4E48\u4E5F\u6CA1\u83B7\u5F97	你什么也没获得
\u7531\u4E8E\u70BC\u91D1\u672F\u58EB\u4ECA\u5929RP\u610F\u5916\u7206\u53D1\u4E86	由于炼金术士今天RP意外爆发了
\u70BC\u91D1\u6210\u529F\u83B7\u5F97	炼金成功获得
\u597D\u6D88\u606F	好消息
\u70BC\u91D1\u672F\u58EB\u4ECA\u5929RP\u7206\u53D1\u4E86	炼金术士今天RP爆发了
\u4F60\u672C\u6B21\u70BC\u91D1\u6210\u529F	你本次炼金成功
\u4F60\u6253\u5F00\u4E86\u4E00\u4E2A\u7CBE\u81F4\u7684\u793C\u54C1\u76D2	你打开了一个精致的礼品盒
\u606D\u559C\u4F60\u5728\u5947\u5999\u5B9E\u9A8C\u4E2D\u83B7\u5F97\u7ECF\u9A8C\u5956\u52B1	恭喜你在奇妙实验中获得经验奖励
\u5947\u5999\u5C0F\u535A\u58EB	奇妙小博士
\u5B9E\u9A8C\u6210\u679C	实验成果
\u4F60\u6210\u529F\u5151\u6362\u4E86	你成功兑换了
\u4E2A	个
\u70B9	点
\u8D85\u8FC7\u6700\u5927\u5B58\u94B1\u9650\u5236!	超过最大存钱限制!
\u90AE\u4EF6\u5C06\u6EE1	邮件将满
\u672A\u514D\u9020\u6210\u635F\u5931\u8BF7\u53CA\u65F6\u6E05\u7406!!	未免造成损失请及时清理!!
\u5973\u795e\u8bd5\u7ec3\u5b9d\u7bb1	女神试练宝箱
\u5f00\u542f	开启
\u83B7\u5F97\u7269\u54c1	获得物品
\u4f60\u5f00\u542f\u4e86\u5973\u795e\u8bd5\u7ec3\u5b9d\u7bb1	你开启了女神试练宝箱
\u8BF7\u5148\u5173\u95ED\u4EA4\u6613!	请先关闭交易!
\u7684\u884C\u52A8\u503C\u4E0D\u591F,	的行动值不够,
\u4E0D\u80FD\u6362\u623F\u95F4	不能换房间
\u53D1\u9001\u79BB\u7EBF\u90AE\u4EF6\u5931\u8D25	发送离线邮件失败
\u51FA\u552E	出售
\u5F97\u5230	得到
\u4EE3\u91D1\u5238	代金券
\u65B0\u624B\u6307\u5BFC	新手指导
\u65B0\u624B\u6CE1\u6CE1\u5956\u52B1	新手泡泡奖励
\u56E0\u4E3A	因为
\u63D0\u51FA\u7533\u8BF7	提出申请
\u7684\u5A5A\u59FB\u5173\u7CFB\u7ED3\u675F\u4E86	的婚姻关系结束了
\u5E0C\u671B\u4F60\u4EEC\u4EE5\u540E\u80FD\u627E\u5230\u771F\u6B63\u5C5E\u4E8E\u81EA\u5DF1\u7684\u5E78\u798F!	希望你们以后能找到真正属于自己的幸福!
\u7ED3\u5A5A\u793C\u7269	结婚礼物
\u7684\u8001\u516C	的老公
\u7684\u8001\u5A46	的老婆
\u5B09\u620F	嬉戏
\u953B\u70BC	锻炼
\u63A2\u9669	探险
\u606D\u559C\u4F60\u7684\u5BA0\u7269\u5728\u521A\u624D\u7684	恭喜你的宠物在刚才的
\u4E2D\u83B7\u5F97	中获得
\u70B9\u4EB2\u5BC6\u5EA6!	点亲密度!
\u70B9\u7ECF\u9A8C\u503C!	点经验值!
\u5BA0\u7269\u4FE1\u606F	宠物信息
\u9053\u5177\u7F16\u53F7	道具编号
\u9053\u5177\u540D\u5B57	道具名字
\u9053\u5177\u6570\u91CF	道具数量
\u54C1\u8D28\u9650\u5B9A	品质限定
\u9886\u53D6\u6570\u91CF\u9650\u5236	领取数量限制
\u7B49\u7EA7\u9886\u53D6\u9650\u5236	等级领取限制
\u5BF9\u65B9\u62D2\u7EDD\u5E2E\u5FD9\u9080\u8BF7\u6216\u8D85\u65F6	对方拒绝帮忙邀请或超时
\u62D2\u7EDD\u4E86\u4F60\u7684\u7ED3\u5A5A\u9080\u8BF7!	拒绝了你的结婚邀请!
\u5BF9\u65B9\u62D2\u7EDD\u6C42\u5A5A\u9080\u8BF7\u6216\u8D85\u65F6	对方拒绝求婚邀请或超时
\u4E0E	与
\u643A\u624B\u6B65\u5165\u5A5A\u59FB\u7684\u6BBF\u5802	携手步入婚姻的殿堂
\u4ED6\u4EEC\u5BA3\u8A93\u76F8\u7231\u4E00\u751F\u4E00\u4E16	他们宣誓相爱一生一世
\u8BA9\u6211\u4EEC\u4E3A\u8FD9\u5E78\u798F\u7684\u4E00\u5BF9\u4EBA\u513F\u6B22\u547C\u5427!	让我们为这幸福的一对人儿欢呼吧!
\u7ED3\u4E3A\u592B\u59BB	结为夫妻
\u8BA9\u6211\u4EEC\u5927\u5BB6\u4E00\u8D77\u6765\u795D\u798F\u4ED6\u4EEC\u5427!	让我们大家一起来祝福他们吧!
\u5154\u603B\u70B8\u5F39	兔总炸弹
\u606D\u559C\u60A8\u83B7\u5F97\u5728\u7EBF\u7ECF\u9A8C	恭喜您获得在线经验
\u53F7\u5916!\u53F7\u5916!	号外!号外!
\u5BB6\u65CF\u5728\u672C\u6B21\u5BB6\u65CF\u6218\u4E2D\u83B7\u53D6\u80DC\u5229	家族在本次家族战中获取胜利
\u679C\u7136\u5B9E\u529B\u975E\u51E1!	果然实力非凡!
\u6709\u76F8\u540C\u89D2\u8272\u5728\u6E38\u620F\u4E2D!!!	有相同角色在游戏中!!!
\u6709\u76F8\u540C\u89D2\u8272\u5728\u6E38\u620F\u4E2D	有相同角色在游戏中
\u3067\u306F\u3042\u308A\u307E\u305B\u3093 	ではありません 
\u8BF7\u6E05\u7406\u7F13\u5B58\u6216\u5347\u7EA7Flash\u7248\u672C\u518D\u8BD5	请清理缓存或升级Flash版本再试
\u7CFB\u7EDF\u90AE\u4EF6	系统邮件
\u526F\u672C\u5DF2\u5237\u65B0,\u8BF7\u91CD\u65B0\u8FDB\u884C\u95EF\u5173!	副本已刷新,请重新进行闯关!
\u6302\u673A\u81EA\u52A8\u6253\u602A\u4E2D	挂机自动打怪中
\u4E0D\u80FD\u8FDB\u884C\u76F8\u5173\u64CD\u4F5C!	不能进行相关操作!
\u5BC4\u5356\u4E2D\u5FC3\u4E1C\u897F\u6389\u4E86	寄卖中心东西掉了
\u95EE\u7B54\u6392\u540D\u5956\u52B1	问答排名奖励
\u606D\u559C\u4F60\u5728\u5947\u5999\u95EE	恭喜你在奇妙问
\u7B54\u6D3B\u52A8\u4E2D\u83B7\u5F97\u7B2C	答活动中获得第
\u540D	名
\u7279\u6B64\u5956\u52B1	特此奖励
\u4EE5\u5179\u9F13\u52B1	以兹鼓励
\u95EE\u7B54\u5B8C\u6210\u5956\u52B1	问答完成奖励
\u606D\u559C\u4F60\u5B8C\u6210\u4E86\u7B2C	恭喜你完成了第
\u8F6E\u7684\u5947\u5999\u95EE\u7B54\u6D3B\u52A8	轮的奇妙问答活动
\u4EE5\u5179\u9F13\u52B1!	以兹鼓励!
