minLevel	maxLevel	exeExp	strInt	dropId
1276	1300	0:450:0	450:0:0	0:0:600026
1301	1325	0:450:0	450:0:0	0:0:600027
1326	1350	0:450:0	450:0:0	0:0:600027
1351	1375	0:450:0	450:0:0	0:0:600028
1376	1400	0:450:0	450:0:0	0:0:600028
1401	1425	0:450:0	450:0:0	0:0:600029
1426	1450	0:450:0	450:0:0	0:0:600029
1451	1475	0:450:0	450:0:0	0:0:600030
1476	1500	0:450:0	450:0:0	0:0:600030
1501	1525	0:450:0	450:0:0	0:0:600031
1526	1550	0:450:0	450:0:0	0:0:600031
1551	1575	0:450:0	450:0:0	0:0:600032
1576	1600	0:450:0	450:0:0	0:0:600032
1601	1625	0:450:0	450:0:0	0:0:600033
1626	1650	0:450:0	450:0:0	0:0:600033
1651	1675	0:450:0	450:0:0	0:0:600034
1676	1700	0:450:0	450:0:0	0:0:600034
1701	1725	0:450:0	450:0:0	0:0:600035
1726	1750	0:450:0	450:0:0	0:0:600035
1751	1775	0:450:0	450:0:0	0:0:600036
1776	1800	0:450:0	450:0:0	0:0:600036
1801	1825	0:450:0	450:0:0	0:0:600037
1826	1850	0:450:0	450:0:0	0:0:600037
1851	1875	0:450:0	450:0:0	0:0:600038
1876	1900	0:450:0	450:0:0	0:0:600038
1901	1925	0:450:0	450:0:0	0:0:600039
1926	1950	0:450:0	450:0:0	0:0:600039
1951	1975	0:450:0	450:0:0	0:0:600040
1976	2000	0:450:0	450:0:0	0:0:600040
2001	2025	0:450:0	450:0:0	0:0:600041
2026	2050	0:450:0	450:0:0	0:0:600041
2051	2075	0:450:0	450:0:0	0:0:600042
2076	2100	0:450:0	450:0:0	0:0:600042
2101	2125	0:450:0	450:0:0	0:0:600043
2126	2150	0:450:0	450:0:0	0:0:600043
2151	2175	0:450:0	450:0:0	0:0:600044
2176	2200	0:450:0	450:0:0	0:0:600044
2201	2225	0:450:0	450:0:0	0:0:600045
2226	2250	0:450:0	450:0:0	0:0:600045
2251	2275	0:450:0	450:0:0	0:0:600046
2276	2300	0:450:0	450:0:0	0:0:600046
2301	2325	0:450:0	450:0:0	0:0:600047
2326	2350	0:450:0	450:0:0	0:0:600047
2351	2375	0:450:0	450:0:0	0:0:600048
2376	2400	0:450:0	450:0:0	0:0:600048
2401	2425	0:450:0	450:0:0	0:0:600049
2426	2450	0:450:0	450:0:0	0:0:600049
2451	2475	0:450:0	450:0:0	0:0:600050
2476	2500	0:450:0	450:0:0	0:0:600050
2501	2525	0:450:0	450:0:0	0:0:600051
2526	2550	0:450:0	450:0:0	0:0:600051
2551	2575	0:450:0	450:0:0	0:0:600052
2576	2600	0:450:0	450:0:0	0:0:600052
2601	2625	0:450:0	450:0:0	0:0:600053
2626	2650	0:450:0	450:0:0	0:0:600053
2651	2675	0:450:0	450:0:0	0:0:600054
2676	2700	0:450:0	450:0:0	0:0:600054
2701	2725	0:450:0	450:0:0	0:0:600055
2726	2750	0:450:0	450:0:0	0:0:600055
2751	2775	0:450:0	450:0:0	0:0:600056
2776	2800	0:450:0	450:0:0	0:0:600056
2801	2825	0:450:0	450:0:0	0:0:600057
2826	2850	0:450:0	450:0:0	0:0:600057
2851	2875	0:450:0	450:0:0	0:0:600058
2876	2900	0:450:0	450:0:0	0:0:600058
2901	2925	0:450:0	450:0:0	0:0:600059
2926	2950	0:450:0	450:0:0	0:0:600059
2951	2975	0:450:0	450:0:0	0:0:600060
2976	3000	0:450:0	450:0:0	0:0:600060
3001	3025	0:450:0	450:0:0	0:0:600061
3026	3050	0:450:0	450:0:0	0:0:600061
3051	3075	0:450:0	450:0:0	0:0:600062
3076	3100	0:450:0	450:0:0	0:0:600062
3101	3125	0:450:0	450:0:0	0:0:600063
3126	3150	0:450:0	450:0:0	0:0:600063
3151	3175	0:450:0	450:0:0	0:0:600064
3176	3200	0:450:0	450:0:0	0:0:600064
3201	3225	0:450:0	450:0:0	0:0:600065
3226	3250	0:450:0	450:0:0	0:0:600065
3251	3275	0:450:0	450:0:0	0:0:600066
3276	3300	0:450:0	450:0:0	0:0:600066
3301	3325	0:450:0	450:0:0	0:0:600067
3326	3350	0:450:0	450:0:0	0:0:600067
3351	3375	0:450:0	450:0:0	0:0:600068
3376	3400	0:450:0	450:0:0	0:0:600068
3401	3425	0:450:0	450:0:0	0:0:600069
3426	3450	0:450:0	450:0:0	0:0:600069
3451	3475	0:450:0	450:0:0	0:0:600070
3476	3500	0:450:0	450:0:0	0:0:600070
3501	3525	0:450:0	450:0:0	0:0:600071
3526	3550	0:450:0	450:0:0	0:0:600071
3551	3575	0:450:0	450:0:0	0:0:600072
3576	3600	0:450:0	450:0:0	0:0:600072
3601	3625	0:450:0	450:0:0	0:0:600073
3626	3650	0:450:0	450:0:0	0:0:600073
3651	3675	0:450:0	450:0:0	0:0:600074
3676	3700	0:450:0	450:0:0	0:0:600074
3701	3725	0:450:0	450:0:0	0:0:600075
3726	3750	0:450:0	450:0:0	0:0:600075
3751	3775	0:450:0	450:0:0	0:0:600076
3776	3800	0:450:0	450:0:0	0:0:600076
3801	3825	0:450:0	450:0:0	0:0:600077
3826	3850	0:450:0	450:0:0	0:0:600077
3851	3875	0:450:0	450:0:0	0:0:600078
3876	3900	0:450:0	450:0:0	0:0:600078
3901	3925	0:450:0	450:0:0	0:0:600079
3926	3950	0:450:0	450:0:0	0:0:600079
3951	3975	0:450:0	450:0:0	0:0:600080
3976	4000	0:450:0	450:0:0	0:0:600080
4001	4025	0:450:0	450:0:0	0:0:600081
4026	4050	0:450:0	450:0:0	0:0:600081
4051	4075	0:450:0	450:0:0	0:0:600082
4076	4100	0:450:0	450:0:0	0:0:600082
4101	4125	0:450:0	450:0:0	0:0:600083
4126	4150	0:450:0	450:0:0	0:0:600083
4151	4175	0:450:0	450:0:0	0:0:600084
4176	4200	0:450:0	450:0:0	0:0:600084
4201	4225	0:450:0	450:0:0	0:0:600085
4226	4250	0:450:0	450:0:0	0:0:600085
4251	4275	0:450:0	450:0:0	0:0:600086
4276	4300	0:450:0	450:0:0	0:0:600086
4301	4325	0:450:0	450:0:0	0:0:600087
4326	4350	0:450:0	450:0:0	0:0:600087
4351	4375	0:450:0	450:0:0	0:0:600088
4376	4400	0:450:0	450:0:0	0:0:600088
4401	4425	0:450:0	450:0:0	0:0:600089
4426	4450	0:450:0	450:0:0	0:0:600089
4451	4475	0:450:0	450:0:0	0:0:600090
4476	4500	0:450:0	450:0:0	0:0:600090
4501	4525	0:450:0	450:0:0	0:0:600091
4526	4550	0:450:0	450:0:0	0:0:600091
4551	4575	0:450:0	450:0:0	0:0:600092
4576	4600	0:450:0	450:0:0	0:0:600092
4601	4625	0:450:0	450:0:0	0:0:600093
4626	4650	0:450:0	450:0:0	0:0:600093
4651	4675	0:450:0	450:0:0	0:0:600094
4676	4700	0:450:0	450:0:0	0:0:600094
4701	4725	0:450:0	450:0:0	0:0:600095
4726	4750	0:450:0	450:0:0	0:0:600095
4751	4775	0:450:0	450:0:0	0:0:600096
4776	4800	0:450:0	450:0:0	0:0:600096
4801	4825	0:450:0	450:0:0	0:0:600097
4826	4850	0:450:0	450:0:0	0:0:600097
4851	4875	0:450:0	450:0:0	0:0:600098
4876	4900	0:450:0	450:0:0	0:0:600098
4901	4925	0:450:0	450:0:0	0:0:600099
4926	4950	0:450:0	450:0:0	0:0:600099
4951	4975	0:450:0	450:0:0	0:0:600100
4976	5000	0:450:0	450:0:0	0:0:600100
5001	5050	0:450:0	450:0:0	0:0:600101
5051	5100	0:450:0	450:0:0	0:0:600101
5101	5150	0:450:0	450:0:0	0:0:600102
5151	5200	0:450:0	450:0:0	0:0:600102
5201	5250	0:450:0	450:0:0	0:0:600103
5251	5300	0:450:0	450:0:0	0:0:600103
5301	5350	0:450:0	450:0:0	0:0:600104
5351	5400	0:450:0	450:0:0	0:0:600104
5401	5450	0:450:0	450:0:0	0:0:600105
5451	5500	0:450:0	450:0:0	0:0:600105
5501	5550	0:450:0	450:0:0	0:0:600106
5551	5600	0:450:0	450:0:0	0:0:600106
5601	5650	0:450:0	450:0:0	0:0:600107
5651	5700	0:450:0	450:0:0	0:0:600107
5701	5750	0:450:0	450:0:0	0:0:600108
5751	5800	0:450:0	450:0:0	0:0:600108
5801	5850	0:450:0	450:0:0	0:0:600109
5851	5900	0:450:0	450:0:0	0:0:600109
5901	5950	0:450:0	450:0:0	0:0:600110
5951	6000	0:450:0	450:0:0	0:0:600110
