level	levelExp	total	totalInt
154	480	37920	0
155	480	38400	0
156	480	38880	0
157	480	39360	0
158	480	39840	0
159	480	40320	0
160	480	40800	0
161	480	41280	0
162	480	41760	0
163	480	42240	0
164	480	42720	0
165	480	43200	0
166	480	43680	0
167	480	44160	0
168	480	44640	0
169	480	45120	0
170	480	45600	0
171	480	46080	0
172	480	46560	0
173	480	47040	0
174	480	47520	0
175	480	48000	32500
176	560	48560	0
177	560	49120	0
178	560	49680	0
179	560	50240	0
180	560	50800	0
181	560	51360	0
182	560	51920	0
183	560	52480	0
184	560	53040	0
185	560	53600	0
186	560	54160	0
187	560	54720	0
188	560	55280	0
189	560	55840	0
190	560	56400	0
191	560	56960	0
192	560	57520	0
193	560	58080	0
194	560	58640	0
195	560	59200	0
196	560	59760	0
197	560	60320	0
198	560	60880	0
199	560	61440	0
200	560	62000	41500
201	640	62640	0
202	640	63280	0
203	640	63920	0
204	640	64560	0
205	640	65200	0
206	640	65840	0
207	640	66480	0
208	640	67120	0
209	640	67760	0
210	640	68400	0
211	640	69040	0
212	640	69680	0
213	640	70320	0
214	640	70960	0
215	640	71600	0
216	640	72240	0
217	640	72880	0
218	640	73520	0
219	640	74160	0
220	640	74800	0
221	640	75440	0
222	640	76080	0
223	640	76720	0
224	640	77360	0
225	640	78000	52000
226	720	78720	0
227	720	79440	0
228	720	80160	0
229	720	80880	0
230	720	81600	0
231	720	82320	0
232	720	83040	0
233	720	83760	0
234	720	84480	0
235	720	85200	0
236	720	85920	0
237	720	86640	0
238	720	87360	0
239	720	88080	0
240	720	88800	0
241	720	89520	0
242	720	90240	0
243	720	90960	0
244	720	91680	0
245	720	92400	0
246	720	93120	0
247	720	93840	0
248	720	94560	0
249	720	95280	0
250	720	96000	64000
251	800	96800	0
252	800	97600	0
253	800	98400	0
254	800	99200	0
255	800	100000	0
256	800	100800	0
257	800	101600	0
258	800	102400	0
259	800	103200	0
260	800	104000	0
261	800	104800	0
262	800	105600	0
263	800	106400	0
264	800	107200	0
265	800	108000	0
266	800	108800	0
267	800	109600	0
268	800	110400	0
269	800	111200	0
270	800	112000	0
271	800	112800	0
272	800	113600	0
273	800	114400	0
274	800	115200	0
275	800	116000	78000
276	900	116900	0
277	900	117800	0
278	900	118700	0
279	900	119600	0
280	900	120500	0
281	900	121400	0
282	900	122300	0
283	900	123200	0
284	900	124100	0
285	900	125000	0
286	900	125900	0
287	900	126800	0
288	900	127700	0
289	900	128600	0
290	900	129500	0
291	900	130400	0
292	900	131300	0
293	900	132200	0
294	900	133100	0
295	900	134000	0
296	900	134900	0
297	900	135800	0
298	900	136700	0
299	900	137600	0
300	900	138500	93000
301	900	139400	0
302	900	140300	0
303	900	141200	0
304	900	142100	0
305	900	143000	0
306	900	143900	0
307	900	144800	0
308	900	145700	0
309	900	146600	0
310	900	147500	0
311	900	148400	0
312	900	149300	0
313	900	150200	0
314	900	151100	0
315	900	152000	0
316	900	152900	0
317	900	153800	0
318	900	154700	0
319	900	155600	0
320	900	156500	0
321	900	157400	0
322	900	158300	0
323	900	159200	0
324	900	160100	0
325	900	161000	108000
326	900	161900	0
327	900	162800	0
328	900	163700	0
329	900	164600	0
330	900	165500	0
331	900	166400	0
332	900	167300	0
333	900	168200	0
334	900	169100	0
335	900	170000	0
336	900	170900	0
337	900	171800	0
338	900	172700	0
339	900	173600	0
340	900	174500	0
341	900	175400	0
342	900	176300	0
343	900	177200	0
344	900	178100	0
345	900	179000	0
346	900	179900	0
347	900	180800	0
348	900	181700	0
349	900	182600	0
350	900	183500	123000
351	900	184400	0
352	900	185300	0
353	900	186200	0
354	900	187100	0
355	900	188000	0
356	900	188900	0
357	900	189800	0
358	900	190700	0
359	900	191600	0
360	900	192500	0
361	900	193400	0
362	900	194300	0
363	900	195200	0
364	900	196100	0
365	900	197000	0
366	900	197900	0
367	900	198800	0
368	900	199700	0
369	900	200600	0
370	900	201500	0
371	900	202400	0
372	900	203300	0
373	900	204200	0
374	900	205100	0
375	900	206000	138000
376	900	206900	0
377	900	207800	0
378	900	208700	0
379	900	209600	0
380	900	210500	0
381	900	211400	0
382	900	212300	0
383	900	213200	0
384	900	214100	0
385	900	215000	0
386	900	215900	0
387	900	216800	0
388	900	217700	0
389	900	218600	0
390	900	219500	0
391	900	220400	0
392	900	221300	0
393	900	222200	0
394	900	223100	0
395	900	224000	0
396	900	224900	0
397	900	225800	0
398	900	226700	0
399	900	227600	0
400	900	228500	153000
401	900	229400	0
402	900	230300	0
403	900	231200	0
404	900	232100	0
405	900	233000	0
406	900	233900	0
407	900	234800	0
408	900	235700	0
409	900	236600	0
410	900	237500	0
411	900	238400	0
412	900	239300	0
413	900	240200	0
414	900	241100	0
415	900	242000	0
416	900	242900	0
417	900	243800	0
418	900	244700	0
419	900	245600	0
420	900	246500	0
421	900	247400	0
422	900	248300	0
423	900	249200	0
424	900	250100	0
425	900	251000	168000
426	900	251900	0
427	900	252800	0
428	900	253700	0
429	900	254600	0
430	900	255500	0
431	900	256400	0
432	900	257300	0
433	900	258200	0
434	900	259100	0
435	900	260000	0
436	900	260900	0
437	900	261800	0
438	900	262700	0
439	900	263600	0
440	900	264500	0
441	900	265400	0
442	900	266300	0
443	900	267200	0
444	900	268100	0
445	900	269000	0
446	900	269900	0
447	900	270800	0
448	900	271700	0
449	900	272600	0
450	900	273500	183000
451	900	274400	0
452	900	275300	0
453	900	276200	0
454	900	277100	0
455	900	278000	0
456	900	278900	0
457	900	279800	0
458	900	280700	0
459	900	281600	0
460	900	282500	0
461	900	283400	0
462	900	284300	0
463	900	285200	0
464	900	286100	0
465	900	287000	0
466	900	287900	0
467	900	288800	0
468	900	289700	0
469	900	290600	0
470	900	291500	0
471	900	292400	0
472	900	293300	0
473	900	294200	0
474	900	295100	0
475	900	296000	198000
476	900	296900	0
477	900	297800	0
478	900	298700	0
479	900	299600	0
480	900	300500	0
481	900	301400	0
482	900	302300	0
483	900	303200	0
484	900	304100	0
485	900	305000	0
486	900	305900	0
487	900	306800	0
488	900	307700	0
489	900	308600	0
490	900	309500	0
491	900	310400	0
492	900	311300	0
493	900	312200	0
494	900	313100	0
495	900	314000	0
496	900	314900	0
497	900	315800	0
498	900	316700	0
499	900	317600	0
500	900	318500	213000
501	940	319440	0
502	940	320380	0
503	940	321320	0
504	940	322260	0
505	940	323200	0
506	940	324140	0
507	940	325080	0
508	940	326020	0
509	940	326960	0
510	940	327900	0
511	940	328840	0
512	940	329780	0
513	940	330720	0
514	940	331660	0
515	940	332600	0
516	940	333540	0
517	940	334480	0
518	940	335420	0
519	940	336360	0
520	940	337300	0
521	940	338240	0
522	940	339180	0
523	940	340120	0
524	940	341060	0
525	940	342000	229000
526	940	342940	0
527	940	343880	0
528	940	344820	0
529	940	345760	0
530	940	346700	0
531	940	347640	0
532	940	348580	0
533	940	349520	0
534	940	350460	0
535	940	351400	0
536	940	352340	0
537	940	353280	0
538	940	354220	0
539	940	355160	0
540	940	356100	0
541	940	357040	0
542	940	357980	0
543	940	358920	0
544	940	359860	0
545	940	360800	0
546	940	361740	0
547	940	362680	0
548	940	363620	0
549	940	364560	0
550	940	365500	245000
551	940	366440	0
552	940	367380	0
553	940	368320	0
554	940	369260	0
555	940	370200	0
556	940	371140	0
557	940	372080	0
558	940	373020	0
559	940	373960	0
560	940	374900	0
561	940	375840	0
562	940	376780	0
563	940	377720	0
564	940	378660	0
565	940	379600	0
566	940	380540	0
567	940	381480	0
568	940	382420	0
569	940	383360	0
570	940	384300	0
571	940	385240	0
572	940	386180	0
573	940	387120	0
574	940	388060	0
575	940	389000	261000
576	940	389940	0
577	940	390880	0
578	940	391820	0
579	940	392760	0
580	940	393700	0
581	940	394640	0
582	940	395580	0
583	940	396520	0
584	940	397460	0
585	940	398400	0
586	940	399340	0
587	940	400280	0
588	940	401220	0
589	940	402160	0
590	940	403100	0
591	940	404040	0
592	940	404980	0
593	940	405920	0
594	940	406860	0
595	940	407800	0
596	940	408740	0
597	940	409680	0
598	940	410620	0
599	940	411560	0
600	940	412500	277000
601	940	413440	0
602	940	414380	0
603	940	415320	0
604	940	416260	0
605	940	417200	0
606	940	418140	0
607	940	419080	0
608	940	420020	0
609	940	420960	0
610	940	421900	0
611	940	422840	0
612	940	423780	0
613	940	424720	0
614	940	425660	0
615	940	426600	0
616	940	427540	0
617	940	428480	0
618	940	429420	0
619	940	430360	0
620	940	431300	0
621	940	432240	0
622	940	433180	0
623	940	434120	0
624	940	435060	0
625	940	436000	293000
626	940	436940	0
627	940	437880	0
628	940	438820	0
629	940	439760	0
630	940	440700	0
631	940	441640	0
632	940	442580	0
633	940	443520	0
634	940	444460	0
635	940	445400	0
636	940	446340	0
637	940	447280	0
638	940	448220	0
639	940	449160	0
640	940	450100	0
641	940	451040	0
642	940	451980	0
643	940	452920	0
644	940	453860	0
645	940	454800	0
646	940	455740	0
647	940	456680	0
648	940	457620	0
649	940	458560	0
650	940	459500	309000
651	940	460440	0
652	940	461380	0
653	940	462320	0
654	940	463260	0
655	940	464200	0
656	940	465140	0
657	940	466080	0
658	940	467020	0
659	940	467960	0
660	940	468900	0
661	940	469840	0
662	940	470780	0
663	940	471720	0
664	940	472660	0
665	940	473600	0
666	940	474540	0
667	940	475480	0
668	940	476420	0
669	940	477360	0
670	940	478300	0
671	940	479240	0
672	940	480180	0
673	940	481120	0
674	940	482060	0
675	940	483000	325000
676	1000	484000	0
677	1000	485000	0
678	1000	486000	0
679	1000	487000	0
680	1000	488000	0
681	1000	489000	0
682	1000	490000	0
683	1000	491000	0
684	1000	492000	0
685	1000	493000	0
686	1000	494000	0
687	1000	495000	0
688	1000	496000	0
689	1000	497000	0
690	1000	498000	0
691	1000	499000	0
692	1000	500000	0
693	1000	501000	0
694	1000	502000	0
695	1000	503000	0
696	1000	504000	0
697	1000	505000	0
698	1000	506000	0
699	1000	507000	0
700	1000	508000	342500
701	1000	509000	0
702	1000	510000	0
703	1000	511000	0
704	1000	512000	0
705	1000	513000	0
706	1000	514000	0
707	1000	515000	0
708	1000	516000	0
709	1000	517000	0
710	1000	518000	0
711	1000	519000	0
712	1000	520000	0
713	1000	521000	0
714	1000	522000	0
715	1000	523000	0
716	1000	524000	0
717	1000	525000	0
718	1000	526000	0
719	1000	527000	0
720	1000	528000	0
721	1000	529000	0
722	1000	530000	0
723	1000	531000	0
724	1000	532000	0
725	1000	533000	360000
726	1000	534000	0
727	1000	535000	0
728	1000	536000	0
729	1000	537000	0
730	1000	538000	0
731	1000	539000	0
732	1000	540000	0
733	1000	541000	0
734	1000	542000	0
735	1000	543000	0
736	1000	544000	0
737	1000	545000	0
738	1000	546000	0
739	1000	547000	0
740	1000	548000	0
741	1000	549000	0
742	1000	550000	0
743	1000	551000	0
744	1000	552000	0
745	1000	553000	0
746	1000	554000	0
747	1000	555000	0
748	1000	556000	0
749	1000	557000	0
750	1000	558000	377500
751	1000	559000	0
752	1000	560000	0
753	1000	561000	0
754	1000	562000	0
755	1000	563000	0
756	1000	564000	0
757	1000	565000	0
758	1000	566000	0
759	1000	567000	0
760	1000	568000	0
761	1000	569000	0
762	1000	570000	0
763	1000	571000	0
764	1000	572000	0
765	1000	573000	0
766	1000	574000	0
767	1000	575000	0
768	1000	576000	0
769	1000	577000	0
770	1000	578000	0
771	1000	579000	0
772	1000	580000	0
773	1000	581000	0
774	1000	582000	0
775	1000	583000	395000
776	1000	584000	0
777	1000	585000	0
778	1000	586000	0
779	1000	587000	0
780	1000	588000	0
781	1000	589000	0
782	1000	590000	0
783	1000	591000	0
784	1000	592000	0
785	1000	593000	0
786	1000	594000	0
787	1000	595000	0
788	1000	596000	0
789	1000	597000	0
790	1000	598000	0
791	1000	599000	0
792	1000	600000	0
793	1000	601000	0
794	1000	602000	0
795	1000	603000	0
796	1000	604000	0
797	1000	605000	0
798	1000	606000	0
799	1000	607000	0
800	1000	608000	412500
801	1000	609000	0
802	1000	610000	0
803	1000	611000	0
804	1000	612000	0
805	1000	613000	0
806	1000	614000	0
807	1000	615000	0
808	1000	616000	0
809	1000	617000	0
810	1000	618000	0
811	1000	619000	0
812	1000	620000	0
813	1000	621000	0
814	1000	622000	0
815	1000	623000	0
816	1000	624000	0
817	1000	625000	0
818	1000	626000	0
819	1000	627000	0
820	1000	628000	0
821	1000	629000	0
822	1000	630000	0
823	1000	631000	0
824	1000	632000	0
825	1000	633000	430000
826	1000	634000	0
827	1000	635000	0
828	1000	636000	0
829	1000	637000	0
830	1000	638000	0
831	1000	639000	0
832	1000	640000	0
833	1000	641000	0
834	1000	642000	0
835	1000	643000	0
836	1000	644000	0
837	1000	645000	0
838	1000	646000	0
839	1000	647000	0
840	1000	648000	0
841	1000	649000	0
842	1000	650000	0
843	1000	651000	0
844	1000	652000	0
845	1000	653000	0
846	1000	654000	0
847	1000	655000	0
848	1000	656000	0
849	1000	657000	0
850	1000	658000	447500
851	1000	659000	0
852	1000	660000	0
853	1000	661000	0
854	1000	662000	0
855	1000	663000	0
856	1000	664000	0
857	1000	665000	0
858	1000	666000	0
859	1000	667000	0
860	1000	668000	0
861	1000	669000	0
862	1000	670000	0
863	1000	671000	0
864	1000	672000	0
865	1000	673000	0
866	1000	674000	0
867	1000	675000	0
868	1000	676000	0
869	1000	677000	0
870	1000	678000	0
871	1000	679000	0
872	1000	680000	0
873	1000	681000	0
874	1000	682000	0
875	1000	683000	465000
876	1000	684000	0
877	1000	685000	0
878	1000	686000	0
879	1000	687000	0
880	1000	688000	0
881	1000	689000	0
882	1000	690000	0
883	1000	691000	0
884	1000	692000	0
885	1000	693000	0
886	1000	694000	0
887	1000	695000	0
888	1000	696000	0
889	1000	697000	0
890	1000	698000	0
891	1000	699000	0
892	1000	700000	0
893	1000	701000	0
894	1000	702000	0
895	1000	703000	0
896	1000	704000	0
897	1000	705000	0
898	1000	706000	0
899	1000	707000	0
900	1000	708000	482500
901	1000	709000	0
902	1000	710000	0
903	1000	711000	0
904	1000	712000	0
905	1000	713000	0
906	1000	714000	0
907	1000	715000	0
908	1000	716000	0
909	1000	717000	0
910	1000	718000	0
911	1000	719000	0
912	1000	720000	0
913	1000	721000	0
914	1000	722000	0
915	1000	723000	0
916	1000	724000	0
917	1000	725000	0
918	1000	726000	0
919	1000	727000	0
920	1000	728000	0
921	1000	729000	0
922	1000	730000	0
923	1000	731000	0
924	1000	732000	0
925	1000	733000	500000
926	1000	734000	0
927	1000	735000	0
928	1000	736000	0
929	1000	737000	0
930	1000	738000	0
931	1000	739000	0
932	1000	740000	0
933	1000	741000	0
934	1000	742000	0
935	1000	743000	0
936	1000	744000	0
937	1000	745000	0
938	1000	746000	0
939	1000	747000	0
940	1000	748000	0
941	1000	749000	0
942	1000	750000	0
943	1000	751000	0
944	1000	752000	0
945	1000	753000	0
946	1000	754000	0
947	1000	755000	0
948	1000	756000	0
949	1000	757000	0
950	1000	758000	517500
951	1000	759000	0
952	1000	760000	0
953	1000	761000	0
954	1000	762000	0
955	1000	763000	0
956	1000	764000	0
957	1000	765000	0
958	1000	766000	0
959	1000	767000	0
960	1000	768000	0
961	1000	769000	0
962	1000	770000	0
963	1000	771000	0
964	1000	772000	0
965	1000	773000	0
966	1000	774000	0
967	1000	775000	0
968	1000	776000	0
969	1000	777000	0
970	1000	778000	0
971	1000	779000	0
972	1000	780000	0
973	1000	781000	0
974	1000	782000	0
975	1000	783000	535000
976	1000	784000	0
977	1000	785000	0
978	1000	786000	0
979	1000	787000	0
980	1000	788000	0
981	1000	789000	0
982	1000	790000	0
983	1000	791000	0
984	1000	792000	0
985	1000	793000	0
986	1000	794000	0
987	1000	795000	0
988	1000	796000	0
989	1000	797000	0
990	1000	798000	0
991	1000	799000	0
992	1000	800000	0
993	1000	801000	0
994	1000	802000	0
995	1000	803000	0
996	1000	804000	0
997	1000	805000	0
998	1000	806000	0
999	1000	807000	0
1000	1000	808000	552500
1001	1100	809100	0
1002	1100	810200	0
1003	1100	811300	0
1004	1100	812400	0
1005	1100	813500	0
1006	1100	814600	0
1007	1100	815700	0
1008	1100	816800	0
1009	1100	817900	0
1010	1100	819000	0
1011	1100	820100	0
1012	1100	821200	0
1013	1100	822300	0
1014	1100	823400	0
1015	1100	824500	0
1016	1100	825600	0
1017	1100	826700	0
1018	1100	827800	0
1019	1100	828900	0
1020	1100	830000	0
1021	1100	831100	0
1022	1100	832200	0
1023	1100	833300	0
1024	1100	834400	0
1025	1100	835500	570000
1026	1100	836600	0
1027	1100	837700	0
1028	1100	838800	0
1029	1100	839900	0
1030	1100	841000	0
1031	1100	842100	0
1032	1100	843200	0
1033	1100	844300	0
1034	1100	845400	0
1035	1100	846500	0
1036	1100	847600	0
1037	1100	848700	0
1038	1100	849800	0
1039	1100	850900	0
1040	1100	852000	0
1041	1100	853100	0
1042	1100	854200	0
1043	1100	855300	0
1044	1100	856400	0
1045	1100	857500	0
1046	1100	858600	0
1047	1100	859700	0
1048	1100	860800	0
1049	1100	861900	0
1050	1100	863000	587500
1051	1100	864100	0
1052	1100	865200	0
1053	1100	866300	0
1054	1100	867400	0
1055	1100	868500	0
1056	1100	869600	0
1057	1100	870700	0
1058	1100	871800	0
1059	1100	872900	0
1060	1100	874000	0
1061	1100	875100	0
1062	1100	876200	0
1063	1100	877300	0
1064	1100	878400	0
1065	1100	879500	0
1066	1100	880600	0
1067	1100	881700	0
1068	1100	882800	0
1069	1100	883900	0
1070	1100	885000	0
1071	1100	886100	0
1072	1100	887200	0
1073	1100	888300	0
1074	1100	889400	0
1075	1100	890500	605000
1076	1100	891600	0
1077	1100	892700	0
1078	1100	893800	0
1079	1100	894900	0
1080	1100	896000	0
1081	1100	897100	0
1082	1100	898200	0
1083	1100	899300	0
1084	1100	900400	0
1085	1100	901500	0
1086	1100	902600	0
1087	1100	903700	0
1088	1100	904800	0
1089	1100	905900	0
1090	1100	907000	0
1091	1100	908100	0
1092	1100	909200	0
1093	1100	910300	0
1094	1100	911400	0
1095	1100	912500	0
1096	1100	913600	0
1097	1100	914700	0
1098	1100	915800	0
1099	1100	916900	0
1100	1100	918000	622500
1101	1100	919100	0
1102	1100	920200	0
1103	1100	921300	0
1104	1100	922400	0
1105	1100	923500	0
1106	1100	924600	0
1107	1100	925700	0
1108	1100	926800	0
1109	1100	927900	0
1110	1100	929000	0
1111	1100	930100	0
1112	1100	931200	0
1113	1100	932300	0
1114	1100	933400	0
1115	1100	934500	0
1116	1100	935600	0
1117	1100	936700	0
1118	1100	937800	0
1119	1100	938900	0
1120	1100	940000	0
1121	1100	941100	0
1122	1100	942200	0
1123	1100	943300	0
1124	1100	944400	0
1125	1100	945500	640000
1126	1100	946600	0
1127	1100	947700	0
1128	1100	948800	0
1129	1100	949900	0
1130	1100	951000	0
1131	1100	952100	0
1132	1100	953200	0
1133	1100	954300	0
1134	1100	955400	0
1135	1100	956500	0
1136	1100	957600	0
1137	1100	958700	0
1138	1100	959800	0
1139	1100	960900	0
1140	1100	962000	0
1141	1100	963100	0
1142	1100	964200	0
1143	1100	965300	0
1144	1100	966400	0
1145	1100	967500	0
1146	1100	968600	0
1147	1100	969700	0
1148	1100	970800	0
1149	1100	971900	0
1150	1100	973000	657500
1151	1100	974100	0
1152	1100	975200	0
1153	1100	976300	0
1154	1100	977400	0
1155	1100	978500	0
1156	1100	979600	0
1157	1100	980700	0
1158	1100	981800	0
1159	1100	982900	0
1160	1100	984000	0
1161	1100	985100	0
1162	1100	986200	0
1163	1100	987300	0
1164	1100	988400	0
1165	1100	989500	0
1166	1100	990600	0
1167	1100	991700	0
1168	1100	992800	0
1169	1100	993900	0
1170	1100	995000	0
1171	1100	996100	0
1172	1100	997200	0
1173	1100	998300	0
1174	1100	999400	0
1175	1100	1000500	675000
1176	1100	1001600	0
1177	1100	1002700	0
1178	1100	1003800	0
1179	1100	1004900	0
1180	1100	1006000	0
1181	1100	1007100	0
1182	1100	1008200	0
1183	1100	1009300	0
1184	1100	1010400	0
1185	1100	1011500	0
1186	1100	1012600	0
1187	1100	1013700	0
1188	1100	1014800	0
1189	1100	1015900	0
1190	1100	1017000	0
1191	1100	1018100	0
1192	1100	1019200	0
1193	1100	1020300	0
1194	1100	1021400	0
1195	1100	1022500	0
1196	1100	1023600	0
1197	1100	1024700	0
1198	1100	1025800	0
1199	1100	1026900	0
1200	1100	1028000	692500
1201	1100	1029100	0
1202	1100	1030200	0
1203	1100	1031300	0
1204	1100	1032400	0
1205	1100	1033500	0
1206	1100	1034600	0
1207	1100	1035700	0
1208	1100	1036800	0
1209	1100	1037900	0
1210	1100	1039000	0
1211	1100	1040100	0
1212	1100	1041200	0
1213	1100	1042300	0
1214	1100	1043400	0
1215	1100	1044500	0
1216	1100	1045600	0
1217	1100	1046700	0
1218	1100	1047800	0
1219	1100	1048900	0
1220	1100	1050000	0
1221	1100	1051100	0
1222	1100	1052200	0
1223	1100	1053300	0
1224	1100	1054400	0
1225	1100	1055500	710000
1226	1100	1056600	0
1227	1100	1057700	0
1228	1100	1058800	0
1229	1100	1059900	0
1230	1100	1061000	0
1231	1100	1062100	0
1232	1100	1063200	0
1233	1100	1064300	0
1234	1100	1065400	0
1235	1100	1066500	0
1236	1100	1067600	0
1237	1100	1068700	0
1238	1100	1069800	0
1239	1100	1070900	0
1240	1100	1072000	0
1241	1100	1073100	0
1242	1100	1074200	0
1243	1100	1075300	0
1244	1100	1076400	0
1245	1100	1077500	0
1246	1100	1078600	0
1247	1100	1079700	0
1248	1100	1080800	0
1249	1100	1081900	0
1250	1100	1083000	727500
1251	1100	1084100	0
1252	1100	1085200	0
1253	1100	1086300	0
1254	1100	1087400	0
1255	1100	1088500	0
1256	1100	1089600	0
1257	1100	1090700	0
1258	1100	1091800	0
1259	1100	1092900	0
1260	1100	1094000	0
1261	1100	1095100	0
1262	1100	1096200	0
1263	1100	1097300	0
1264	1100	1098400	0
1265	1100	1099500	0
1266	1100	1100600	0
1267	1100	1101700	0
1268	1100	1102800	0
1269	1100	1103900	0
1270	1100	1105000	0
1271	1100	1106100	0
1272	1100	1107200	0
1273	1100	1108300	0
1274	1100	1109400	0
1275	1100	1110500	745000
1276	1100	1111600	0
1277	1100	1112700	0
1278	1100	1113800	0
1279	1100	1114900	0
1280	1100	1116000	0
1281	1100	1117100	0
1282	1100	1118200	0
1283	1100	1119300	0
1284	1100	1120400	0
1285	1100	1121500	0
1286	1100	1122600	0
1287	1100	1123700	0
1288	1100	1124800	0
1289	1100	1125900	0
1290	1100	1127000	0
1291	1100	1128100	0
1292	1100	1129200	0
1293	1100	1130300	0
1294	1100	1131400	0
1295	1100	1132500	0
1296	1100	1133600	0
1297	1100	1134700	0
1298	1100	1135800	0
1299	1100	1136900	0
1300	1100	1138000	762500
1301	1200	1139200	0
1302	1200	1140400	0
1303	1200	1141600	0
1304	1200	1142800	0
1305	1200	1144000	0
1306	1200	1145200	0
1307	1200	1146400	0
1308	1200	1147600	0
1309	1200	1148800	0
1310	1200	1150000	0
1311	1200	1151200	0
1312	1200	1152400	0
1313	1200	1153600	0
1314	1200	1154800	0
1315	1200	1156000	0
1316	1200	1157200	0
1317	1200	1158400	0
1318	1200	1159600	0
1319	1200	1160800	0
1320	1200	1162000	0
1321	1200	1163200	0
1322	1200	1164400	0
1323	1200	1165600	0
1324	1200	1166800	0
1325	1200	1168000	782500
1326	1200	1169200	0
1327	1200	1170400	0
1328	1200	1171600	0
1329	1200	1172800	0
1330	1200	1174000	0
1331	1200	1175200	0
1332	1200	1176400	0
1333	1200	1177600	0
1334	1200	1178800	0
1335	1200	1180000	0
1336	1200	1181200	0
1337	1200	1182400	0
1338	1200	1183600	0
1339	1200	1184800	0
1340	1200	1186000	0
1341	1200	1187200	0
1342	1200	1188400	0
1343	1200	1189600	0
1344	1200	1190800	0
1345	1200	1192000	0
1346	1200	1193200	0
1347	1200	1194400	0
1348	1200	1195600	0
1349	1200	1196800	0
1350	1200	1198000	802500
1351	1200	1199200	0
1352	1200	1200400	0
1353	1200	1201600	0
1354	1200	1202800	0
1355	1200	1204000	0
1356	1200	1205200	0
1357	1200	1206400	0
1358	1200	1207600	0
1359	1200	1208800	0
1360	1200	1210000	0
1361	1200	1211200	0
1362	1200	1212400	0
1363	1200	1213600	0
1364	1200	1214800	0
1365	1200	1216000	0
1366	1200	1217200	0
1367	1200	1218400	0
1368	1200	1219600	0
1369	1200	1220800	0
1370	1200	1222000	0
1371	1200	1223200	0
1372	1200	1224400	0
1373	1200	1225600	0
1374	1200	1226800	0
1375	1200	1228000	822500
1376	1200	1229200	0
1377	1200	1230400	0
1378	1200	1231600	0
1379	1200	1232800	0
1380	1200	1234000	0
1381	1200	1235200	0
1382	1200	1236400	0
1383	1200	1237600	0
1384	1200	1238800	0
1385	1200	1240000	0
1386	1200	1241200	0
1387	1200	1242400	0
1388	1200	1243600	0
1389	1200	1244800	0
1390	1200	1246000	0
1391	1200	1247200	0
1392	1200	1248400	0
1393	1200	1249600	0
1394	1200	1250800	0
1395	1200	1252000	0
1396	1200	1253200	0
1397	1200	1254400	0
