level	levelExp	total
193	723264	32901950
194	734604	33636554
195	746062	34382616
196	757640	35140256
197	769337	35909593
198	781155	36690748
199	793094	37483842
200	805154	38288996
201	817337	39106333
202	829643	39935976
203	842072	40778048
204	854626	41632674
205	867304	42499978
206	880108	43380086
207	893038	44273124
208	906095	45179219
209	919279	46098498
210	932591	47031089
211	946032	47977121
212	959602	48936723
213	973302	49910025
214	987133	50897158
215	1001095	51898253
216	1015188	52913441
217	1029415	53942856
218	1043774	54986630
219	1058267	56044897
220	1072894	57117791
221	1087657	58205448
222	1102555	59308003
223	1117590	60425593
224	1132761	61558354
225	1148070	62706424
226	1163518	63869942
227	1179104	65049046
228	1194830	66243876
229	1210696	67454572
230	1226702	68681274
231	1242850	69924124
232	1259141	71183265
233	1275574	72458839
234	1292150	73750989
235	1308871	75059860
236	1325736	76385596
237	1342746	77728342
238	1359903	79088245
239	1377206	80465451
240	1394656	81860107
241	1412254	83272361
242	1430001	84702362
243	1447897	86150259
244	1465943	87616202
245	1484139	89100341
246	1502486	90602827
247	1520986	92123813
248	1539637	93663450
249	1558442	95221892
250	1577401	96799293
251	1596514	98395807
252	1615782	100011589
253	1635205	101646794
254	1654785	103301579
255	1674522	104976101
256	1694417	106670518
257	1714470	108384988
258	1734682	110119670
259	1755053	111874723
260	1775585	113650308
261	1796278	115446586
262	1817132	117263718
263	1838149	119101867
264	1859328	120961195
265	1880671	122841866
266	1902178	124744044
267	1923850	126667894
268	1945688	128613582
269	1967691	130581273
270	1989862	132571135
271	2012200	134583335
272	2034706	136618041
273	2057381	138675422
274	2080226	140755648
275	2103240	142858888
276	2126425	144985313
277	2149782	147135095
278	2173311	149308406
279	2197013	151505419
280	2220888	153726307
281	2244937	155971244
282	2269161	158240405
283	2293561	160533966
284	2318136	162852102
285	2342888	165194990
286	2367818	167562808
287	2392926	169955734
288	2418212	172373946
289	2443678	174817624
290	2469324	177286948
291	2495151	179782099
292	2521159	182303258
293	2547349	184850607
294	2573722	187424329
295	2600279	190024608
296	2627019	192651627
297	2653944	195305571
298	2681055	197986626
299	2708352	200694978
300	2735835	203430813
301	2763506	206194319
302	2791366	208985685
303	2819414	211805099
304	2847651	214652750
305	2876079	217528829
306	2904697	220433526
307	2933507	223367033
308	2962509	226329542
309	2991704	229321246
310	3021092	232342338
311	3050675	235393013
312	3080452	238473465
313	3110425	241583890
314	3140594	244724484
315	3170960	247895444
316	3201524	251096968
317	3232286	254329254
318	3263247	257592501
319	3294407	260886908
320	3325768	264212676
321	3357330	267570006
322	3389094	270959100
323	3421059	274380159
324	3453228	277833387
325	3485601	281318988
326	3518178	284837166
327	3550960	288388126
328	3583948	291972074
329	3617142	295589216
330	3650543	299239759
331	3684153	302923912
332	3717970	306641882
333	3751997	310393879
334	3786234	314180113
335	3820681	318000794
336	3855340	321856134
337	3890211	325746345
338	3925294	329671639
339	3960591	333632230
340	3996101	337628331
341	4031827	341660158
342	4067767	345727925
343	4103924	349831849
344	4140298	353972147
345	4176889	358149036
346	4213699	362362735
347	4250727	366613462
348	4287975	370901437
349	4325443	375226880
350	4363132	379590012
351	4401042	383991054
352	4439175	388430229
353	4477532	392907761
354	4516112	397423873
355	4554916	401978789
356	4593945	406572734
357	4633201	411205935
358	4672683	415878618
359	4712392	420591010
360	4752329	425343339
361	4792495	430135834
362	4832890	434968724
363	4873515	439842239
364	4914371	444756610
365	4955459	449712069
366	4996778	454708847
367	5038331	459747178
368	5080117	464827295
369	5122137	469949432
370	5164393	475113825
371	5206884	480320709
372	5249612	485570321
373	5292577	490862898
374	5335779	496198677
375	5379220	501577897
376	5422901	507000798
377	5466821	512467619
378	5510982	517978601
379	5555385	523533986
380	5600029	529134015
381	5644917	534778932
382	5690048	540468980
383	5735423	546204403
384	5781043	551985446
385	5826909	557812355
386	5873021	563685376
387	5919381	569604757
388	5965988	575570745
389	6012844	581583589
390	6059949	587643538
391	6107304	593750842
392	6154910	599905752
393	6202767	606108519
394	6250877	612359396
395	6299239	618658635
396	6347855	625006490
397	6396725	631403215
398	6445851	637849066
399	6495232	644344298
400	6544869	650889167
401	6594764	657483931
402	6644917	664128848
403	6695328	670824176
404	6745999	677570175
405	6796930	684367105
406	6848122	691215227
407	6899576	698114803
408	6951291	705066094
409	7003270	712069364
410	7055513	719124877
411	7108020	726232897
412	7160793	733393690
413	7213831	740607521
414	7267136	747874657
415	7320709	755195366
416	7374550	762569916
417	7428659	769998575
418	7483039	777481614
419	7537689	785019303
420	7592610	792611913
421	7647802	800259715
422	7703268	807962983
423	7759007	815721990
424	7815019	823537009
425	7871307	831408316
426	7927870	839336186
427	7984710	847320896
428	8041827	855362723
429	8099221	863461944
430	8156894	871618838
431	8214847	879833685
432	8273079	888106764
433	8331592	896438356
434	8390387	904828743
435	8449464	913278207
436	8508824	921787031
437	8568468	930355499
438	8628396	938983895
439	8688610	947672505
440	8749109	956421614
441	8809896	965231510
442	8870970	974102480
443	8932332	983034812
444	8993983	992028795
445	9055924	1001084719
446	9118156	1010202875
447	9180679	1019383554
448	9243494	1028627048
449	9306601	1037933649
450	9370003	1047303652
451	9433698	1056737350
452	9497689	1066235039
453	9561976	1075797015
454	9626559	1085423574
455	9691440	1095115014
456	9756619	1104871633
457	9822096	1114693729
458	9887874	1124581603
459	9953951	1134535554
460	10020330	1144555884
461	10087011	1154642895
462	10153995	1164796890
463	10221282	1175018172
464	10288873	1185307045
465	10356770	1195663815
466	10424972	1206088787
467	10493481	1216582268
468	10562297	1227144565
469	10631421	1237775986
470	10700854	1248476840
471	10770597	1259247437
472	10840650	1270088087
473	10911014	1280999101
474	10981690	1291980791
475	11052679	1303033470
476	11123982	1314157452
477	11195599	1325353051
478	11267531	1336620582
479	11339779	1347960361
480	11412343	1359372704
481	11485225	1370857929
482	11558425	1382416354
483	11631944	1394048298
484	11705783	1405754081
485	11779942	1417534023
486	11854423	1429388446
487	11929225	1441317671
488	12004351	1453322022
489	12079800	1465401822
490	12155574	1477557396
491	12231673	1489789069
492	12308098	1502097167
493	12384850	1514482017
494	12461929	1526943946
495	12539337	1539483283
496	12617074	1552100357
497	12695141	1564795498
498	12773539	1577569037
499	12852269	1590421306
500	12931331	1603352637
501	13010726	1616363363
502	13090454	1629453817
503	13170518	1642624335
504	13250917	1655875252
505	13331653	1669206905
506	13412726	1682619631
507	13494136	1696113767
508	13575886	1709689653
509	13657975	1723347628
510	13740404	1737088032
511	13823175	1750911207
512	13906287	1764817494
513	13989742	1778807236
514	14073541	1792880777
515	14157684	1807038461
516	14242172	1821280633
517	14327007	1835607640
518	14412188	1850019828
519	14497716	1864517544
520	14583593	1879101137
521	14669820	1893770957
522	14756396	1908527353
523	14843323	1923370676
524	14930602	1938301278
525	15018233	1953319511
526	15106218	1968425729
527	15194557	1983620286
528	15283250	1998903536
529	15372299	2014275835
530	15461705	2029737540
531	15551469	2045289009
532	15641590	2060930599
533	15732070	2076662669
534	15822911	2092485580
535	15914111	2108399691
536	16005674	2124405365
537	16097599	2140502964
538	16189886	2156692850
539	16282538	2172975388
540	16375554	2189350942
541	16468937	2205819879
542	16562685	2222382564
543	16656801	2239039365
544	16751285	2255790650
545	16846137	2272636787
546	16941360	2289578147
547	17036953	2306615100
548	17132917	2323748017
549	17229254	2340977271
550	17325964	2358303235
551	17423047	2375726282
552	17520506	2393246788
553	17618340	2410865128
554	17716550	2428581678
555	17815138	2446396816
556	17914103	2464310919
557	18013448	2482324367
558	18113173	2500437540
559	18213278	2518650818
560	18313764	2536964582
561	18414633	2555379215
562	18515885	2573895100
563	18617521	2592512621
564	18719541	2611232162
565	18821948	2630054110
566	18924741	2648978851
567	19027921	2668006772
568	19131490	2687138262
569	19235447	2706373709
570	19339795	2725713504
571	19444533	2745158037
572	19549663	2764707700
573	19655186	2784362886
574	19761102	2804123988
575	19867412	2823991400
576	19974117	2843965517
577	20081218	2864046735
578	20188715	2884235450
579	20296611	2904532061
580	20404904	2924936965
581	20513598	2945450563
582	20622691	2966073254
583	20732185	2986805439
584	20842082	3007647521
585	20952381	3028599902
586	21063084	3049662986
587	21174191	3070837177
588	21285704	3092122881
589	21397623	3113520504
590	21509949	3135030453
591	21622683	3156653136
592	21735826	3178388962
593	21849379	3200238341
594	21963342	3222201683
595	22077717	3244279400
596	22192504	3266471904
597	22307705	3288779609
598	22423319	3311202928
599	22539349	3333742277
600	22655794	3356398071
601	22772657	3379170728
602	22889936	3402060664
603	23007635	3425068299
604	23125752	3448194051
605	23244290	3471438341
606	23363249	3494801590
607	23482631	3518284221
608	23602435	3541886656
609	23722662	3565609318
610	23843315	3589452633
611	23964393	3613417026
612	24085898	3637502924
613	24207830	3661710754
614	24330190	3686040944
615	24452979	3710493923
616	24576199	3735070122
617	24699849	3759769971
618	24823931	3784593902
619	24948446	3809542348
620	25073395	3834615743
621	25198778	3859814521
622	25324596	3885139117
623	25450851	3910589968
624	25577543	3936167511
625	25704673	3961872184
626	25832242	3987704426
627	25960251	4013664677
628	26088701	4039753378
629	26217592	4065970970
630	26346926	4092317896
631	26476704	4118794600
632	26606926	4145401526
633	26737594	4172139120
634	26868707	4199007827
635	27000268	4226008095
636	27132277	4253140372
637	27264735	4280405107
638	27397643	4307802750
639	27531002	4335333752
640	27664812	4362998564
641	27799075	4390797639
642	27933792	4418731431
643	28068963	4446800394
644	28204590	4475004984
645	28340673	4503345657
646	28477213	4531822870
647	28614211	4560437081
648	28751669	4589188750
649	28889586	4618078336
650	29027965	4647106301
651	29166805	4676273106
652	29306108	4705579214
653	29445875	4735025089
654	29586106	4764611195
655	29726804	4794337999
656	29867967	4824205966
657	30009598	4854215564
658	30151698	4884367262
659	30294266	4914661528
660	30437305	4945098833
661	30580816	4975679649
662	30724798	5006404447
663	30869253	5037273700
664	31014183	5068287883
665	31159587	5099447470
666	31305467	5130752937
667	31451824	5162204761
668	31598659	5193803420
669	31745973	5225549393
670	31893766	5257443159
671	32042040	5289485199
672	32190795	5321675994
673	32340033	5354016027
674	32489754	5386505781
675	32639960	5419145741
676	32790651	5451936392
677	32941829	5484878221
678	33093493	5517971714
679	33245646	5551217360
680	33398288	5584615648
681	33551420	5618167068
682	33705044	5651872112
683	33859159	5685731271
684	34013767	5719745038
685	34168869	5753913907
686	34324467	5788238374
687	34480560	5822718934
688	34637150	5857356084
689	34794237	5892150321
690	34951824	5927102145
691	35109910	5962212055
692	35268497	5997480552
693	35427586	6032908138
694	35587177	6068495315
695	35747272	6104242587
696	35907872	6140150459
697	36068977	6176219436
698	36230589	6212450025
699	36392708	6248842733
700	36555336	6285398069
701	36718473	6322116542
702	36882121	6358998663
703	37046280	6396044943
704	37210951	6433255894
705	37376136	6470632030
706	37541835	6508173865
707	37708050	6545881915
708	37874781	6583756696
709	38042029	6621798725
710	38209796	6660008521
711	38378082	6698386603
712	38546888	6736933491
713	38716216	6775649707
714	38886066	6814535773
715	39056439	6853592212
716	39227336	6892819548
717	39398759	6932218307
718	39570708	6971789015
719	39743184	7011532199
720	39916188	7051448387
721	40089722	7091538109
722	40263786	7131801895
723	40438381	7172240276
724	40613509	7212853785
725	40789170	7253642955
726	40965365	7294608320
727	41142095	7335750415
728	41319361	7377069776
729	41497165	7418566941
730	41675507	7460242448
731	41854389	7502096837
732	42033810	7544130647
733	42213774	7586344421
734	42394279	7628738700
735	42575328	7671314028
736	42756921	7714070949
737	42939059	7757010008
738	43121744	7800131752
739	43304977	7843436729
740	43488758	7886925487
741	43673088	7930598575
742	43857969	7974456544
743	44043401	8018499945
744	44229386	8062729331
745	44415924	8107145255
746	44603017	8151748272
747	44790666	8196538938
748	44978871	8241517809
749	45167634	8286685443
750	45356956	8332042399
751	45546837	8377589236
752	45737279	8423326515
753	45928283	8469254798
754	46119850	8515374648
755	46311981	8561686629
756	46504677	8608191306
757	46697938	8654889244
758	46891767	8701781011
759	47086163	8748867174
760	47281129	8796148303
761	47476665	8843624968
762	47672772	8891297740
763	47869451	8939167191
764	48066704	8987233895
765	48264531	9035498426
766	48462933	9083961359
767	48661912	9132623271
768	48861468	9181484739
769	49061603	9230546342
770	49262317	9279808659
771	49463612	9329272271
772	49665488	9378937759
773	49867948	9428805707
774	50070991	9478876698
775	50274619	9529151317
776	50478833	9579630150
777	50683634	9630313784
778	50889023	9681202807
779	51095001	9732297808
780	51301569	9783599377
781	51508729	9835108106
782	51716481	9886824587
783	51924826	9938749413
784	52133766	9990883179
785	52343302	10043226481
786	52553433	10095779914
787	52764163	10148544077
788	52975492	10201519569
789	53187420	10254706989
790	53399949	10308106938
791	53613080	10361720018
792	53826814	10415546832
793	54041153	10469587985
794	54256097	10523844082
795	54471647	10578315729
796	54687804	10633003533
797	54904570	10687908103
798	55121945	10743030048
799	55339932	10798369980
800	55558530	10853928510
801	55777740	10909706250
802	55997565	10965703815
803	56218005	11021921820
804	56439061	11078360881
805	56660734	11135021615
806	56883026	11191904641
807	57105937	11249010578
808	57329468	11306340046
809	57553621	11363893667
810	57778397	11421672064
811	58003797	11479675861
812	58229821	11537905682
813	58456472	11596362154
814	58683750	11655045904
815	58911656	11713957560
816	59140192	11773097752
817	59369358	11832467110
818	59599155	11892066265
819	59829586	11951895851
820	60060650	12011956501
821	60292349	12072248850
822	60524684	12132773534
823	60757656	12193531190
824	60991267	12254522457
825	61225517	12315747974
826	61460408	12377208382
827	61695940	12438904322
828	61932115	12500836437
829	62168934	12563005371
830	62406398	12625411769
831	62644509	12688056278
832	62883266	12750939544
833	63122672	12814062216
834	63362728	12877424944
835	63603434	12941028378
836	63844792	13004873170
837	64086803	13068959973
838	64329468	13133289441
839	64572789	13197862230
840	64816765	13262678995
841	65061400	13327740395
842	65306693	13393047088
843	65552646	13458599734
844	65799259	13524398993
845	66046535	13590445528
846	66294474	13656740002
847	66543078	13723283080
848	66792347	13790075427
849	67042283	13857117710
850	67292887	13924410597
851	67544159	13991954756
852	67796102	14059750858
853	68048717	14127799575
854	68302003	14196101578
855	68555964	14264657542
856	68810599	14333468141
857	69065910	14402534051
858	69321898	14471855949
859	69578565	14541434514
860	69835911	14611270425
861	70093937	14681364362
862	70352646	14751717008
863	70612037	14822329045
864	70872112	14893201157
865	71132873	14964334030
866	71394320	15035728350
867	71656455	15107384805
868	71919279	15179304084
869	72182793	15251486877
870	72446998	15323933875
871	72711895	15396645770
872	72977486	15469623256
873	73243772	15542867028
874	73510753	15616377781
875	73778432	15690156213
876	74046809	15764203022
877	74315885	15838518907
878	74585662	15913104569
879	74856141	15987960710
880	75127323	16063088033
881	75399210	16138487243
882	75671801	16214159044
883	75945099	16290104143
884	76219106	16366323249
885	76493821	16442817070
886	76769246	16519586316
887	77045383	16596631699
888	77322232	16673953931
889	77599796	16751553727
890	77878074	16829431801
891	78157069	16907588870
892	78436781	16986025651
893	78717211	17064742862
894	78998362	17143741224
895	79280234	17223021458
896	79562828	17302584286
897	79846145	17382430431
898	80130187	17462560618
899	80414955	17542975573
900	80700451	17623676024
901	80986675	17704662699
902	81273628	17785936327
903	81561312	17867497639
904	81849728	17949347367
905	82138878	18031486245
906	82428762	18113915007
907	82719382	18196634389
908	83010739	18279645128
909	83302834	18362947962
910	83595668	18446543630
911	83889243	18530432873
912	84183560	18614616433
913	84478620	18699095053
914	84774425	18783869478
915	85070975	18868940453
916	85368272	18954308725
917	85666317	19039975042
918	85965112	19125940154
919	86264657	19212204811
920	86564954	19298769765
921	86866004	19385635769
922	87167808	19472803577
923	87470368	19560273945
924	87773685	19648047630
925	88077760	19736125390
926	88382594	19824507984
927	88688189	19913196173
928	88994545	20002190718
929	89301665	20091492383
930	89609549	20181101932
931	89918199	20271020131
932	90227616	20361247747
933	90537801	20451785548
934	90848755	20542634303
935	91160480	20633794783
936	91472977	20725267760
937	91786248	20817054008
938	92100292	20909154300
939	92415113	21001569413
940	92730711	21094300124
941	93047087	21187347211
942	93364242	21280711453
943	93682179	21374393632
944	94000898	21468394530
945	94320400	21562714930
946	94640687	21657355617
947	94961760	21752317377
948	95283620	21847600997
949	95606269	21943207266
950	95929708	22039136974
951	96253938	22135390912
952	96578960	22231969872
953	96904776	22328874648
954	97231388	22426106036
955	97558795	22523664831
956	97887001	22621551832
957	98216005	22719767837
958	98545809	22818313646
959	98876415	22917190061
960	99207824	23016397885
961	99540037	23115937922
962	99873056	23215810978
963	100206881	23316017859
964	100541515	23416559374
965	100876958	23517436332
966	101213211	23618649543
967	101550277	23720199820
968	101888156	23822087976
969	102226849	23924314825
970	102566359	24026881184
971	102906686	24129787870
972	103247831	24233035701
973	103589797	24336625498
974	103932583	24440558081
975	104276193	24544834274
976	104620626	24649454900
977	104965884	24754420784
978	105311969	24859732753
979	105658882	24965391635
980	106006625	25071398260
981	106355197	25177753457
982	106704602	25284458059
983	107054840	25391512899
984	107405912	25498918811
985	107757821	25606676632
986	108110567	25714787199
987	108464151	25823251350
988	108818575	25932069925
989	109173841	26041243766
990	109529949	26150773715
991	109886901	26260660616
992	110244699	26370905315
993	110603343	26481508658
994	110962835	26592471493
995	111323177	26703794670
996	111684370	26815479040
997	112046414	26927525454
998	112409312	27039934766
999	112773065	27152707831
1000	113137675	27265845506
1001	113503141	27379348647
1002	113869467	27493218114
1003	114236653	27607454767
1004	114604701	27722059468
1005	114973612	27837033080
1006	115343387	27952376467
1007	115714028	28068090495
1008	116085536	28184176031
1009	116457912	28300633943
1010	116831159	28417465102
1011	117205277	28534670379
1012	117580268	28652250647
1013	117956132	28770206779
1014	118332872	28888539651
1015	118710489	29007250140
1016	119088984	29126339124
1017	119468359	29245807483
1018	119848615	29365656098
1019	120229753	29485885851
1020	120611775	29606497626
1021	120994682	29727492308
1022	121378476	29848870784
1023	121763157	29970633941
1024	122148728	30092782669
1025	122535190	30215317859
1026	122922544	30338240403
1027	123310792	30461551195
1028	123699935	30585251130
1029	124089973	30709341103
1030	124480910	30833822013
1031	124872746	30958694759
1032	125265483	31083960242
1033	125659122	31209619364
1034	126053664	31335673028
1035	126449111	31462122139
1036	126845464	31588967603
1037	127242725	31716210328
1038	127640895	31843851223
1039	128039976	31971891199
1040	128439969	32100331168
1041	128840875	32229172043
1042	129242696	32358414739
1043	129645433	32488060172
1044	130049088	32618109260
1045	130453662	32748562922
1046	130859156	32879422078
1047	131265573	33010687651
1048	131672913	33142360564
1049	132081178	33274441742
1050	132490369	33406932111
1051	132900488	33539832599
1052	133311536	33673144135
1053	133723515	33806867650
1054	134136425	33941004075
1055	134550270	34075554345
1056	134965049	34210519394
1057	135380765	34345900159
1058	135797419	34481697578
1059	136215012	34617912590
1060	136633546	34754546136
1061	137053022	34891599158
1062	137473442	35029072600
1063	137894807	35166967407
1064	138317118	35305284525
1065	138740378	35444024903
1066	139164587	35583189490
1067	139589748	35722779238
1068	140015861	35862795099
1069	140442928	36003238027
1070	140870950	36144108977
1071	141299929	36285408906
1072	141729867	36427138773
1073	142160764	36569299537
1074	142592623	36711892160
1075	143025445	36854917605
1076	143459231	36998376836
1077	143893983	37142270819
1078	144329702	37286600521
1079	144766390	37431366911
1080	145204048	37576570959
1081	145642678	37722213637
1082	146082282	37868295919
1083	146522860	38014818779
1084	146964414	38161783193
1085	147406946	38309190139
1086	147850457	38457040596
1087	148294949	38605335545
1088	148740423	38754075968
1089	149186881	38903262849
1090	149634324	39052897173
1091	150082754	39202979927
1092	150532172	39353512099
1093	150982580	39504494679
1094	151433979	39655928658
1095	151886371	39807815029
1096	152339757	39960154786
1097	152794139	40112948925
1098	153249519	40266198444
1099	153705897	40419904341
1100	154163276	40574067617
1101	154621657	40728689274
1102	155081041	40883770315
1103	155541430	41039311745
1104	156002825	41195314570
1105	156465229	41351779799
1106	156928642	41508708441
1107	157393066	41666101507
1108	157858503	41823960010
1109	158324953	41982284963
1110	158792420	42141077383
1111	159260904	42300338287
1112	159730406	42460068693
1113	160200929	42620269622
1114	160672474	42780942096
1115	161145042	42942087138
1116	161618636	43103705774
1117	162093255	43265799029
1118	162568903	43428367932
1119	163045580	43591413512
1120	163523289	43754936801
1121	164002030	43918938831
1122	164481805	44083420636
1123	164962617	44248383253
1124	165444466	44413827719
1125	165927353	44579755072
1126	166411282	44746166354
1127	166896252	44913062606
1128	167382266	45080444872
1129	167869325	45248314197
1130	168357431	45416671628
1131	168846586	45585518214
1132	169336790	45754855004
1133	169828046	45924683050
1134	170320355	46095003405
1135	170813719	46265817124
1136	171308139	46437125263
1137	171803617	46608928880
1138	172300154	46781229034
1139	172797753	46954026787
1140	173296414	47127323201
1141	173796139	47301119340
1142	174296930	47475416270
1143	174798789	47650215059
1144	175301716	47825516775
1145	175805714	48001322489
1146	176310785	48177633274
1147	176816929	48354450203
1148	177324148	48531774351
1149	177832445	48709606796
1150	178341820	48887948616
1151	178852275	49066800891
1152	179363812	49246164703
1153	179876433	49426041136
1154	180390139	49606431275
1155	180904931	49787336206
1156	181420812	49968757018
1157	181937782	50150694800
1158	182455844	50333150644
1159	182974999	50516125643
1160	183495249	50699620892
1161	184016596	50883637488
1162	184539040	51068176528
1163	185062584	51253239112
1164	185587230	51438826342
1165	186112978	51624939320
1166	186639831	51811579151
1167	187167790	51998746941
1168	187696857	52186443798
1169	188227033	52374670831
1170	188758321	52563429152
1171	189290721	52752719873
1172	189824236	52942544109
1173	190358867	53132902976
1174	190894615	53323797591
1175	191431483	53515229074
1176	191969472	53707198546
1177	192508583	53899707129
1178	193048819	54092755948
1179	193590180	54286346128
1180	194132670	54480478798
1181	194676288	54675155086
1182	195221038	54870376124
1183	195766920	55066143044
1184	196313937	55262456981
1185	196862089	55459319070
1186	197411379	55656730449
1187	197961808	55854692257
1188	198513379	56053205636
1189	199066092	56252271728
1190	199619949	56451891677
1191	200174952	56652066629
1192	200731103	56852797732
1193	201288404	57054086136
1194	201846855	57255932991
1195	202406459	57458339450
1196	202967218	57661306668
1197	203529132	57864835800
1198	204092205	58068928005
1199	204656437	58273584442
1200	205221830	58478806272
1201	205788386	58684594658
1202	206356106	58890950764
1203	206924993	59097875757
1204	207495048	59305370805
1205	208066273	59513437078
1206	208638669	59722075747
1207	209212238	59931287985
1208	209786982	60141074967
1209	210362902	60351437869
1210	210940001	60562377870
1211	211518280	60773896150
1212	212097740	60985993890
1213	212678384	61198672274
1214	213260213	61411932487
1215	213843228	61625775715
1216	214427433	61840203148
1217	215012827	62055215975
1218	215599414	62270815389
1219	216187194	62487002583
1220	216776170	62703778753
1221	217366343	62921145096
1222	217957715	63139102811
1223	218550288	63357653099
1224	219144063	63576797162
1225	219739042	63796536204
1226	220335227	64016871431
1227	220932620	64237804051
1228	221531223	64459335274
1229	222131036	64681466310
1230	222732062	64904198372
1231	223334303	65127532675
1232	223937761	65351470436
1233	224542436	65576012872
1234	225148332	65801161204
1235	225755449	66026916653
1236	226363789	66253280442
1237	226973355	66480253797
1238	227584148	66707837945
1239	228196170	66936034115
1240	228809422	67164843537
1241	229423906	67394267443
1242	230039624	67624307067
1243	230656579	67854963646
1244	231274770	68086238416
1245	231894202	68318132618
1246	232514874	68550647492
1247	233136789	68783784281
1248	233759949	69017544230
1249	234384356	69251928586
1250	235010011	69486938597
1251	235636916	69722575513
1252	236265073	69958840586
1253	236894483	70195735069
1254	237525149	70433260218
1255	238157072	70671417290
1256	238790255	70910207545
1257	239424698	71149632243
1258	240060404	71389692647
1259	240697374	71630390021
1260	241335611	71871725632
1261	241975116	72113700748
1262	242615890	72356316638
1263	243257937	72599574575
1264	243901256	72843475831
1265	244545852	73088021683
1266	245191724	73333213407
1267	245838876	73579052283
1268	246487308	73825539591
1269	247137023	74072676614
1270	247788022	74320464636
1271	248440308	74568904944
1272	249093881	74817998825
1273	249748745	75067747570
1274	250404900	75318152470
1275	251062350	75569214820
1276	251721094	75820935914
1277	252381136	76073317050
1278	253042477	76326359527
1279	253705119	76580064646
1280	254369064	76834433710
1281	255034313	77089468023
1282	255700869	77345168892
1283	256368733	77601537625
1284	257037908	77858575533
1285	257708395	78116283928
1286	258380195	78374664123
1287	259053311	78633717434
1288	259727746	78893445180
1289	260403499	79153848679
1290	261080574	79414929253
1291	261758972	79676688225
1292	262438695	79939126920
1293	263119746	80202246666
1294	263802125	80466048791
1295	264485835	80730534626
1296	265170877	80995705503
1297	265857254	81261562757
1298	266544968	81528107725
1299	267234019	81795341744
1300	267924411	82063266155
1301	268616145	82331882300
1302	269309223	82601191523
1303	270003646	82871195169
1304	270699417	83141894586
1305	271396538	83413291124
1306	272095010	83685386134
1307	272794836	83958180970
1308	273496017	84231676987
1309	274198555	84505875542
1310	274902452	84780777994
1311	275607710	85056385704
1312	276314331	85332700035
1313	277022317	85609722352
1314	277731670	85887454022
1315	278442391	86165896413
1316	279154483	86445050896
