id	skillType	skillLevel	needPoint	needMoney	needGoods	needTime	proofGoods	proofPoint	needExp	needPetLevel	needPetJob
174	112	9	0	0	1045010407:1	0	1045010408:30|1042200301:60	0	15000	1000	104
175	112	10	0	0	1045010407:1	0	1042010106:60	0	15000	2000	104
176	112	11	0	0	1045010407:1	0	1050000001:10	0	16000	3000	104
177	112	12	0	0	1045010407:1	0	1045030002:10	0	17000	4000	104
178	112	13	0	0	1045010407:1	0	1042010105:5	0	18000	5000	104
179	112	14	0	0	1045010407:1	0	1045000294:2	0	19000	6000	104
180	112	15	0	0	1045010407:1	0	1045010406:2	0	20000	6500	104
181	113	1	0	0	1045010407:1	0	0	0	500	1	7:107
182	113	2	0	0	1045010407:1	0	0	100000	1500	1000	7:107
183	113	3	0	0	1045010407:1	0	0	500000	2500	2000	7:107
184	113	4	0	0	1045010407:1	0	0	1000000	4000	3000	7:107
185	113	5	0	0	1045010407:1	0	0	2000000	6000	4000	7:107
186	113	6	0	0	1045010407:1	0	0	3000000	8000	4500	7:107
187	113	7	0	0	1045010407:1	0	0	4000000	10000	5000	7:107
188	113	8	0	0	1045010407:1	0	0	5000000	15000	5500	7:107
189	113	9	0	0	1045010407:1	0	1045010408:30|1042200301:60	0	15000	1000	107
190	113	10	0	0	1045010407:1	0	1042010106:60	0	15000	2000	107
191	113	11	0	0	1045010407:1	0	1050000001:10	0	16000	3000	107
192	113	12	0	0	1045010407:1	0	1045030002:10	0	17000	4000	107
193	113	13	0	0	1045010407:1	0	1042010105:5	0	18000	5000	107
194	113	14	0	0	1045010407:1	0	1045000294:2	0	19000	6000	107
195	113	15	0	0	1045010407:1	0	1045010406:2	0	20000	6500	107
196	114	1	0	0	1045010407:1	0	0	0	500	1	8:108
197	114	2	0	0	1045010407:1	0	0	100000	1500	1000	8:108
198	114	3	0	0	1045010407:1	0	0	500000	2500	2000	8:108
199	114	4	0	0	1045010407:1	0	0	1000000	4000	3000	8:108
200	114	5	0	0	1045010407:1	0	0	2000000	6000	4000	8:108
201	114	6	0	0	1045010407:1	0	0	3000000	8000	4500	8:108
202	114	7	0	0	1045010407:1	0	0	4000000	10000	5000	8:108
203	114	8	0	0	1045010407:1	0	0	5000000	15000	5500	8:108
204	114	9	0	0	1045010407:1	0	1045010408:30|1042200301:60	0	15000	1000	108
205	114	10	0	0	1045010407:1	0	1042010106:60	0	15000	2000	108
206	114	11	0	0	1045010407:1	0	1050000001:10	0	16000	3000	108
207	114	12	0	0	1045010407:1	0	1045030002:10	0	17000	4000	108
208	114	13	0	0	1045010407:1	0	1042010105:5	0	18000	5000	108
209	114	14	0	0	1045010407:1	0	1045000294:2	0	19000	6000	108
210	114	15	0	0	1045010407:1	0	1045010406:2	0	20000	6500	108
211	115	1	0	0	1045010407:1	0	0	0	500	1	11:111
212	115	2	0	0	1045010407:1	0	0	100000	1500	1000	11:111
213	115	3	0	0	1045010407:1	0	0	500000	2500	2000	11:111
214	115	4	0	0	1045010407:1	0	0	1000000	4000	3000	11:111
215	115	5	0	0	1045010407:1	0	0	2000000	6000	4000	11:111
216	115	6	0	0	1045010407:1	0	0	3000000	8000	4500	11:111
217	115	7	0	0	1045010407:1	0	0	4000000	10000	5000	11:111
218	115	8	0	0	1045010407:1	0	0	5000000	15000	5500	11:111
219	115	9	0	0	1045010407:1	0	1045010408:30|1042200301:60	0	15000	1000	111
220	115	10	0	0	1045010407:1	0	1042010106:60	0	15000	2000	111
221	115	11	0	0	1045010407:1	0	1050000001:10	0	16000	3000	111
222	115	12	0	0	1045010407:1	0	1045030002:10	0	17000	4000	111
223	115	13	0	0	1045010407:1	0	1042010105:5	0	18000	5000	111
224	115	14	0	0	1045010407:1	0	1045000294:2	0	19000	6000	111
225	115	15	0	0	1045010407:1	0	1045010406:2	0	20000	6500	111
226	116	1	0	0	1045010407:1	0	0	0	500	1	12:112
227	116	2	0	0	1045010407:1	0	0	100000	1500	1000	12:112
228	116	3	0	0	1045010407:1	0	0	500000	2500	2000	12:112
229	116	4	0	0	1045010407:1	0	0	1000000	4000	3000	12:112
230	116	5	0	0	1045010407:1	0	0	2000000	6000	4000	12:112
231	116	6	0	0	1045010407:1	0	0	3000000	8000	4500	12:112
232	116	7	0	0	1045010407:1	0	0	4000000	10000	5000	12:112
233	116	8	0	0	1045010407:1	0	0	5000000	15000	5500	12:112
234	116	9	0	0	1045010407:1	0	1045010408:30|1042200301:60	0	15000	1000	112
235	116	10	0	0	1045010407:1	0	1042010106:60	0	15000	2000	112
236	116	11	0	0	1045010407:1	0	1050000001:10	0	16000	3000	112
237	116	12	0	0	1045010407:1	0	1045030002:10	0	17000	4000	112
238	116	13	0	0	1045010407:1	0	1042010105:5	0	18000	5000	112
239	116	14	0	0	1045010407:1	0	1045000294:2	0	19000	6000	112
240	116	15	0	0	1045010407:1	0	1045010406:2	0	20000	6500	112
241	11	1	10000	0	0	600000	0	0	500	1	5:105
242	11	2	10000	0	0	600000	0	100000	1500	1000	5:105
243	11	3	10000	0	0	600000	0	500000	2500	2000	5:105
244	11	4	10000	0	0	600000	0	1000000	4000	3000	5:105
245	11	5	50000	0	0	600000	0	2000000	6000	4000	5:105
246	11	6	50000	0	0	600000	0	3000000	8000	4500	5:105
247	11	7	50000	0	0	600000	0	4000000	10000	5000	5:105
248	11	8	50000	0	0	600000	0	5000000	15000	5500	5:105
249	11	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1000	105
250	11	10	200000	0	0	600000	1042010106:60	0	15000	2000	105
251	11	11	200000	0	0	600000	1050000001:10	0	16000	3000	105
252	11	12	200000	0	0	600000	1045030002:10	0	17000	4000	105
253	11	13	200000	0	0	600000	1042010105:5	0	18000	5000	105
254	11	14	200000	0	0	600000	1045000294:2	0	19000	6000	105
255	11	15	200000	0	0	600000	1045010406:2	0	20000	6500	105
256	12	1	0	0	1045010407:1	0	0	0	500	1	5:105
257	12	2	0	0	1045010407:1	0	0	100000	1500	1000	5:105
258	12	3	0	0	1045010407:1	0	0	500000	2500	2000	5:105
259	12	4	0	0	1045010407:1	0	0	1000000	4000	3000	5:105
260	12	5	0	0	1045010407:1	0	0	2000000	6000	4000	5:105
261	12	6	0	0	1045010407:1	0	0	3000000	8000	4500	5:105
262	12	7	0	0	1045010407:1	0	0	4000000	10000	5000	5:105
263	12	8	0	0	1045010407:1	0	0	5000000	15000	5500	5:105
264	12	9	0	0	1045010407:1	0	1045010408:30|1042200301:60	0	15000	1000	105
265	12	10	0	0	1045010407:1	0	1042010106:60	0	15000	2000	105
266	12	11	0	0	1045010407:1	0	1050000001:10	0	16000	3000	105
267	12	12	0	0	1045010407:1	0	1045030002:10	0	17000	4000	105
268	12	13	0	0	1045010407:1	0	1042010105:5	0	18000	5000	105
269	12	14	0	0	1045010407:1	0	1045000294:2	0	19000	6000	105
270	12	15	0	0	1045010407:1	0	1045010406:2	0	20000	6500	105
271	13	1	10000	0	0	600000	0	0	500	1	5:105
272	13	2	10000	0	0	600000	0	100000	1500	1	5:105
273	13	3	10000	0	0	600000	0	500000	2500	1	5:105
274	13	4	10000	0	0	600000	0	1000000	4000	1	5:105
275	13	5	50000	0	0	600000	0	2000000	6000	1	5:105
276	13	6	50000	0	0	600000	0	3000000	8000	1	5:105
277	13	7	50000	0	0	600000	0	4000000	10000	1	5:105
278	13	8	50000	0	0	600000	0	5000000	15000	1	5:105
279	13	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1	5:105
280	13	10	200000	0	0	600000	1042010106:60	0	15000	1	5:105
281	13	11	200000	0	0	600000	1050000001:10	0	16000	1	5:105
282	13	12	200000	0	0	600000	1045030002:10	0	17000	1	5:105
283	13	13	200000	0	0	600000	1042010105:5	0	18000	1	5:105
284	13	14	200000	0	0	600000	1045000294:2	0	19000	1	5:105
285	13	15	200000	0	0	600000	1045010406:2	0	20000	1	5:105
286	14	1	10000	0	0	600000	0	0	500	1	6:106
287	14	2	10000	0	0	600000	0	100000	1500	1000	6:106
288	14	3	10000	0	0	600000	0	500000	2500	2000	6:106
289	14	4	10000	0	0	600000	0	1000000	4000	3000	6:106
290	14	5	50000	0	0	600000	0	2000000	6000	4000	6:106
291	14	6	50000	0	0	600000	0	3000000	8000	4500	6:106
292	14	7	50000	0	0	600000	0	4000000	10000	5000	6:106
293	14	8	50000	0	0	600000	0	5000000	15000	5500	6:106
294	14	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1000	106
295	14	10	200000	0	0	600000	1042010106:60	0	15000	2000	106
296	14	11	200000	0	0	600000	1050000001:10	0	16000	3000	106
297	14	12	200000	0	0	600000	1045030002:10	0	17000	4000	106
298	14	13	200000	0	0	600000	1042010105:5	0	18000	5000	106
299	14	14	200000	0	0	600000	1045000294:2	0	19000	6000	106
300	14	15	200000	0	0	600000	1045010406:2	0	20000	6500	106
301	15	1	0	0	1045010407:1	0	0	0	500	1	6:106
302	15	2	0	0	1045010407:1	0	0	100000	1500	1000	6:106
303	15	3	0	0	1045010407:1	0	0	500000	2500	2000	6:106
304	15	4	0	0	1045010407:1	0	0	1000000	4000	3000	6:106
305	15	5	0	0	1045010407:1	0	0	2000000	6000	4000	6:106
306	15	6	0	0	1045010407:1	0	0	3000000	8000	4500	6:106
307	15	7	0	0	1045010407:1	0	0	4000000	10000	5000	6:106
308	15	8	0	0	1045010407:1	0	0	5000000	15000	5500	6:106
309	15	9	0	0	1045010407:1	0	1045010408:30|1042200301:60	0	15000	1000	106
310	15	10	0	0	1045010407:1	0	1042010106:60	0	15000	2000	106
311	15	11	0	0	1045010407:1	0	1050000001:10	0	16000	3000	106
312	15	12	0	0	1045010407:1	0	1045030002:10	0	17000	4000	106
313	15	13	0	0	1045010407:1	0	1042010105:5	0	18000	5000	106
314	15	14	0	0	1045010407:1	0	1045000294:2	0	19000	6000	106
315	15	15	0	0	1045010407:1	0	1045010406:2	0	20000	6500	106
316	16	1	10000	0	0	600000	0	0	500	1	6:106
317	16	2	10000	0	0	600000	0	100000	1500	1	6:106
318	16	3	10000	0	0	600000	0	500000	2500	1	6:106
319	16	4	10000	0	0	600000	0	1000000	4000	1	6:106
320	16	5	50000	0	0	600000	0	2000000	6000	1	6:106
321	16	6	50000	0	0	600000	0	3000000	8000	1	6:106
322	16	7	50000	0	0	600000	0	4000000	10000	1	6:106
323	16	8	50000	0	0	600000	0	5000000	15000	1	6:106
324	16	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1	6:106
325	16	10	200000	0	0	600000	1042010106:60	0	15000	1	6:106
326	16	11	200000	0	0	600000	1050000001:10	0	16000	1	6:106
327	16	12	200000	0	0	600000	1045030002:10	0	17000	1	6:106
328	16	13	200000	0	0	600000	1042010105:5	0	18000	1	6:106
329	16	14	200000	0	0	600000	1045000294:2	0	19000	1	6:106
330	16	15	200000	0	0	600000	1045010406:2	0	20000	1	6:106
331	17	1	10000	0	0	600000	0	0	500	1	7:107
332	17	2	10000	0	0	600000	0	100000	1500	1000	7:107
333	17	3	10000	0	0	600000	0	500000	2500	2000	7:107
334	17	4	10000	0	0	600000	0	1000000	4000	3000	7:107
335	17	5	50000	0	0	600000	0	2000000	6000	4000	7:107
336	17	6	50000	0	0	600000	0	3000000	8000	4500	7:107
337	17	7	50000	0	0	600000	0	4000000	10000	5000	7:107
338	17	8	50000	0	0	600000	0	5000000	15000	5500	7:107
339	17	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1000	107
340	17	10	200000	0	0	600000	1042010106:60	0	15000	2000	107
341	17	11	200000	0	0	600000	1050000001:10	0	16000	3000	107
342	17	12	200000	0	0	600000	1045030002:10	0	17000	4000	107
343	17	13	200000	0	0	600000	1042010105:5	0	18000	5000	107
344	17	14	200000	0	0	600000	1045000294:2	0	19000	6000	107
345	17	15	200000	0	0	600000	1045010406:2	0	20000	6500	107
346	18	1	10000	0	0	600000	0	0	500	1	7:107
347	18	2	10000	0	0	600000	0	100000	1500	1	7:107
348	18	3	10000	0	0	600000	0	500000	2500	1	7:107
349	18	4	10000	0	0	600000	0	1000000	4000	1	7:107
350	18	5	50000	0	0	600000	0	2000000	6000	1	7:107
351	18	6	50000	0	0	600000	0	3000000	8000	1	7:107
352	18	7	50000	0	0	600000	0	4000000	10000	1	7:107
353	18	8	50000	0	0	600000	0	5000000	15000	1	7:107
354	18	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1	7:107
355	18	10	200000	0	0	600000	1042010106:60	0	15000	1	7:107
356	18	11	200000	0	0	600000	1050000001:10	0	16000	1	7:107
357	18	12	200000	0	0	600000	1045030002:10	0	17000	1	7:107
358	18	13	200000	0	0	600000	1042010105:5	0	18000	1	7:107
359	18	14	200000	0	0	600000	1045000294:2	0	19000	1	7:107
360	18	15	200000	0	0	600000	1045010406:2	0	20000	1	7:107
361	19	1	10000	0	0	600000	0	0	500	1	8:108
362	19	2	10000	0	0	600000	0	100000	1500	1000	8:108
363	19	3	10000	0	0	600000	0	500000	2500	2000	8:108
364	19	4	10000	0	0	600000	0	1000000	4000	3000	8:108
365	19	5	50000	0	0	600000	0	2000000	6000	4000	8:108
366	19	6	50000	0	0	600000	0	3000000	8000	4500	8:108
367	19	7	50000	0	0	600000	0	4000000	10000	5000	8:108
368	19	8	50000	0	0	600000	0	5000000	15000	5500	8:108
369	19	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1000	108
370	19	10	200000	0	0	600000	1042010106:60	0	15000	2000	108
371	19	11	200000	0	0	600000	1050000001:10	0	16000	3000	108
372	19	12	200000	0	0	600000	1045030002:10	0	17000	4000	108
373	19	13	200000	0	0	600000	1042010105:5	0	18000	5000	108
374	19	14	200000	0	0	600000	1045000294:2	0	19000	6000	108
375	19	15	200000	0	0	600000	1045010406:2	0	20000	6500	108
376	20	1	10000	0	0	600000	0	0	500	1	8:108
377	20	2	10000	0	0	600000	0	100000	1500	1	8:108
378	20	3	10000	0	0	600000	0	500000	2500	1	8:108
379	20	4	10000	0	0	600000	0	1000000	4000	1	8:108
380	20	5	50000	0	0	600000	0	2000000	6000	1	8:108
381	20	6	50000	0	0	600000	0	3000000	8000	1	8:108
382	20	7	50000	0	0	600000	0	4000000	10000	1	8:108
383	20	8	50000	0	0	600000	0	5000000	15000	1	8:108
384	20	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1	8:108
385	20	10	200000	0	0	600000	1042010106:60	0	15000	1	8:108
386	20	11	200000	0	0	600000	1050000001:10	0	16000	1	8:108
387	20	12	200000	0	0	600000	1045030002:10	0	17000	1	8:108
388	20	13	200000	0	0	600000	1042010105:5	0	18000	1	8:108
389	20	14	200000	0	0	600000	1045000294:2	0	19000	1	8:108
390	20	15	200000	0	0	600000	1045010406:2	0	20000	1	8:108
391	21	1	10000	0	0	600000	0	0	500	1	9:109
392	21	2	10000	0	0	600000	0	100000	1500	1000	9:109
393	21	3	10000	0	0	600000	0	500000	2500	2000	9:109
394	21	4	10000	0	0	600000	0	1000000	4000	3000	9:109
395	21	5	50000	0	0	600000	0	2000000	6000	4000	9:109
396	21	6	50000	0	0	600000	0	3000000	8000	4500	9:109
397	21	7	50000	0	0	600000	0	4000000	10000	5000	9:109
398	21	8	50000	0	0	600000	0	5000000	15000	5500	9:109
399	21	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1000	109
400	21	10	200000	0	0	600000	1042010106:60	0	15000	2000	109
401	21	11	200000	0	0	600000	1050000001:10	0	16000	3000	109
402	21	12	200000	0	0	600000	1045030002:10	0	17000	4000	109
403	21	13	200000	0	0	600000	1042010105:5	0	18000	5000	109
404	21	14	200000	0	0	600000	1045000294:2	0	19000	6000	109
405	21	15	200000	0	0	600000	1045010406:2	0	20000	6500	109
406	22	1	10000	0	0	600000	0	0	500	1	9:109
407	22	2	10000	0	0	600000	0	100000	1500	1	9:109
408	22	3	10000	0	0	600000	0	500000	2500	1	9:109
409	22	4	10000	0	0	600000	0	1000000	4000	1	9:109
410	22	5	50000	0	0	600000	0	2000000	6000	1	9:109
