monsterId	firstCondition	firstTarget	firstSkill	secondCondition	secondTarget	secondSkill	thirdCondition	thirdTarget	thirdSkill	fourthCondition	fourthTarget	fourthSkill
1061000015	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001015	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000016	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001016	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000017	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001017	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150101	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000018	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001018	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150101	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000019	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001020	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000021	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000020	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001021	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000022	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001022	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150102	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000023	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001023	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150102	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000024	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150004	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001024	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000025	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001025	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000026	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001026	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000027	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001027	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000028	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001028	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000029	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001029	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000030	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061001030	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000031	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000131	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000032	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000132	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000033	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000133	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000134	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000035	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000036	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000136	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000037	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000137	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000038	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000138	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000039	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000139	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000040	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000140	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000041	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000141	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000042	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000142	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000043	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000143	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000044	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000144	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000045	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000046	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000047	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000048	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000103	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000049	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000050	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000104	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000051	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000052	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000105	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000053	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000054	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000106	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000055	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000056	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000107	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000057	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000058	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000108	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000059	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000060	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000109	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000110	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000061	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000062	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000111	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000063	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000064	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000112	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000065	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000066	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000114	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000067	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000068	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000069	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000070	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000071	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000072	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000073	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000074	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000075	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000076	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000077	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000078	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000079	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000080	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000081	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000082	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000083	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000084	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000085	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000086	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000087	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000088	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150103	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
1061000089	3:3:3	2:2:2	1031150002:1031150002:1031150002	0:0:0	0:0:0	1031000001:1031000001:1031150003	0:0:0	0:0:0	1031000001:1031000001:1031000001	0:0:0	0:0:0	0:0:0
