id	name	iconId	level	buffType	dataType	dataPattern	effectPoint	effectTarget	profession	order
1032060303	挑衅	1132060301	3	1	19:0:0	2:0:0	3500:0:0	1	-1:0:0	3
1032030001	潜能激发	1132020501	1	1	11:0:0	1:0:0	400:0:0	1	10:0:0	7
1032030002	潜能激发	1132020501	2	1	11:0:0	1:0:0	400:0:0	1	10:0:0	7
1032030003	潜能激发	1132020501	3	1	11:0:0	1:0:0	400:0:0	1	10:0:0	7
1032030101	基础药理	1132030101	1	1	15:0:0	2:0:0	5000:0:0	1	-1:0:0	3
1032030201	营养学	1132030201	1	1	4:0:0	1:0:0	20000:0:0	1	10:0:0	11
1032030202	营养学	1132030201	2	1	4:0:0	1:0:0	20000:0:0	1	10:0:0	11
1032030203	营养学	1132030201	3	1	4:0:0	1:0:0	20000:0:0	1	10:0:0	11
1032030204	营养学	1132030201	4	1	4:0:0	1:0:0	20000:0:0	1	10:0:0	11
1032030205	营养学	1132030201	5	1	4:0:0	1:0:0	20000:0:0	1	10:0:0	11
1032030206	营养学	1132030201	6	1	4:0:0	1:0:0	20000:0:0	1	10:0:0	11
1032030207	营养学	1132030201	7	1	4:0:0	1:0:0	20000:0:0	1	10:0:0	11
1032030208	营养学	1132030201	8	1	4:0:0	1:0:0	20000:0:0	1	10:0:0	11
1032030301	肌肉组织改造	1132030301	1	1	7:9:0	1:1:0	700:700:0	1	-1:0:0	12
1032030302	肌肉组织改造	1132030301	2	1	7:9:0	1:1:0	200:200:0	1	-1:0:0	12
1032030303	肌肉组织改造	1132030301	3	1	7:9:0	1:1:0	200:200:0	1	-1:0:0	12
1032030304	肌肉组织改造	1132030301	4	1	7:9:0	1:1:0	200:200:0	1	-1:0:0	12
1032030401	神经组织改造	1132030401	1	1	19:0:0	1:0:0	1000:0:0	1	-1:0:0	14
1032030402	神经组织改造	1132030401	2	1	19:0:0	1:0:0	200:0:0	1	-1:0:0	14
1032030403	神经组织改造	1132030401	3	1	19:0:0	1:0:0	200:0:0	1	-1:0:0	14
1032040001	超能力觉醒	1132040001	1	1	5:0:0	1:0:0	200:0:0	1	11:0:0	5
1032040002	超能力觉醒	1132040001	2	1	5:0:0	1:0:0	200:0:0	1	11:0:0	5
1032040003	超能力觉醒	1132040001	3	1	5:0:0	1:0:0	200:0:0	1	11:0:0	5
1032040004	超能力觉醒	1132040001	4	1	5:0:0	1:0:0	200:0:0	1	11:0:0	5
1032040101	第六感	1132040101	1	1	15:0:0	2:0:0	5000:0:0	1	-1:0:0	4
1032040201	极限	1132040201	1	1	18:19:0	1:1:0	1000:200:0	1	-1:0:0	9
1032040202	极限	1132040201	2	1	18:19:0	1:1:0	200:200:0	1	-1:0:0	9
1032040203	极限	1132040201	3	1	18:19:0	1:1:0	200:200:0	1	-1:0:0	9
1032110001	灵感	1132110001	1	1	5:0:0	1:0:0	80:0:0	1	-1:0:0	3
1032110101	能量聚合	1132110101	1	1	11:0:0	1:0:0	400:0:0	1	11:0:0	6
1032110102	能量聚合	1132110101	2	1	11:0:0	1:0:0	400:0:0	1	11:0:0	6
1032110103	能量聚合	1132110101	3	1	11:0:0	1:0:0	400:0:0	1	11:0:0	6
1032120001	异体体能	1132120001	1	1	4:0:0	1:0:0	20000:0:0	1	11:0:0	9
1032120002	异体体能	1132120001	2	1	4:0:0	1:0:0	20000:0:0	1	11:0:0	9
1032120003	异体体能	1132120001	3	1	4:0:0	1:0:0	20000:0:0	1	11:0:0	9
1032120004	异体体能	1132120001	4	1	4:0:0	1:0:0	20000:0:0	1	11:0:0	9
1032120005	异体体能	1132120001	5	1	4:0:0	1:0:0	20000:0:0	1	11:0:0	9
1032120006	异体体能	1132120001	6	1	4:0:0	1:0:0	20000:0:0	1	11:0:0	9
1032120007	异体体能	1132120001	7	1	4:0:0	1:0:0	20000:0:0	1	11:0:0	9
1032120008	异体体能	1132120001	8	1	4:0:0	1:0:0	20000:0:0	1	11:0:0	9
1032120101	超异体能量	1132120101	1	1	8:0:0	2:0:0	500:0:0	1	-1:0:0	5
1032140001	超级呼吸节奏	1132140001	1	1	10:0:0	1:0:0	2000:0:0	1	14:0:0	3
1032140101	超级体能训练	1132140101	1	1	4:0:0	1:0:0	20000:0:0	1	14:0:0	5
1032140102	超级体能训练	1132140101	2	1	4:0:0	1:0:0	20000:0:0	1	14:0:0	5
1032140103	超级体能训练	1132140101	3	1	4:0:0	1:0:0	20000:0:0	1	14:0:0	5
1032140104	超级体能训练	1132140101	4	1	4:0:0	1:0:0	20000:0:0	1	14:0:0	5
1032140105	超级体能训练	1132140101	5	1	4:0:0	1:0:0	20000:0:0	1	14:0:0	5
1032140106	超级体能训练	1132140101	6	1	4:0:0	1:0:0	20000:0:0	1	14:0:0	5
1032140107	超级体能训练	1132140101	7	1	4:0:0	1:0:0	20000:0:0	1	14:0:0	5
1032140108	超级体能训练	1132140101	8	1	4:0:0	1:0:0	20000:0:0	1	14:0:0	5
1032140109	超级体能训练	1132140101	9	1	4:0:0	1:0:0	10000:0:0	1	14:0:0	5
1032140110	超级体能训练	1132140101	10	1	4:0:0	1:0:0	10000:0:0	1	14:0:0	5
1032150001	超级能量聚合	1132150001	1	1	11:0:0	1:0:0	1500:0:0	1	16:0:0	3
1032150101	超级异体体能	1132150101	1	1	4:0:0	1:0:0	20000:0:0	1	16:0:0	5
1032150102	超级异体体能	1132150101	2	1	4:0:0	1:0:0	20000:0:0	1	16:0:0	5
1032150103	超级异体体能	1132150101	3	1	4:0:0	1:0:0	20000:0:0	1	16:0:0	5
1032150104	超级异体体能	1132150101	4	1	4:0:0	1:0:0	20000:0:0	1	16:0:0	5
1032150105	超级异体体能	1132150101	5	1	4:0:0	1:0:0	20000:0:0	1	16:0:0	5
1032150106	超级异体体能	1132150101	6	1	4:0:0	1:0:0	20000:0:0	1	16:0:0	5
1032150107	超级异体体能	1132150101	7	1	4:0:0	1:0:0	20000:0:0	1	16:0:0	5
1032150108	超级异体体能	1132150101	8	1	4:0:0	1:0:0	20000:0:0	1	16:0:0	5
1032150109	超级异体体能	1132150101	9	1	4:0:0	1:0:0	10000:0:0	1	16:0:0	5
1032150110	超级异体体能	1132150101	10	1	4:0:0	1:0:0	10000:0:0	1	16:0:0	5
1032160001	超级爆破科技	1132160001	1	1	10:0:0	1:0:0	1500:0:0	1	13:0:0	3
1032160101	超级国防身体	1132160101	1	1	4:0:0	1:0:0	20000:0:0	1	13:0:0	8
1032160102	超级国防身体	1132160101	2	1	4:0:0	1:0:0	20000:0:0	1	13:0:0	8
1032160103	超级国防身体	1132160101	3	1	4:0:0	1:0:0	20000:0:0	1	13:0:0	8
1032160104	超级国防身体	1132160101	4	1	4:0:0	1:0:0	20000:0:0	1	13:0:0	8
1032160105	超级国防身体	1132160101	5	1	4:0:0	1:0:0	20000:0:0	1	13:0:0	8
1032160106	超级国防身体	1132160101	6	1	4:0:0	1:0:0	20000:0:0	1	13:0:0	8
1032160107	超级国防身体	1132160101	7	1	4:0:0	1:0:0	20000:0:0	1	13:0:0	8
1032160108	超级国防身体	1132160101	8	1	4:0:0	1:0:0	20000:0:0	1	13:0:0	8
1032160109	超级国防身体	1132160101	9	1	4:0:0	1:0:0	10000:0:0	1	13:0:0	8
1032160110	超级国防身体	1132160101	10	1	4:0:0	1:0:0	10000:0:0	1	13:0:0	8
1032170001	超级潜能激发	1132170001	1	1	11:0:0	1:0:0	1500:0:0	1	15:0:0	3
1032170101	超级营养学	1132170101	1	1	4:0:0	1:0:0	20000:0:0	1	15:0:0	9
1032170102	超级营养学	1132170101	2	1	4:0:0	1:0:0	20000:0:0	1	15:0:0	9
1032170103	超级营养学	1132170101	3	1	4:0:0	1:0:0	20000:0:0	1	15:0:0	9
1032170104	超级营养学	1132170101	4	1	4:0:0	1:0:0	20000:0:0	1	15:0:0	9
1032170105	超级营养学	1132170101	5	1	4:0:0	1:0:0	20000:0:0	1	15:0:0	9
1032170106	超级营养学	1132170101	6	1	4:0:0	1:0:0	20000:0:0	1	15:0:0	9
1032170107	超级营养学	1132170101	7	1	4:0:0	1:0:0	20000:0:0	1	15:0:0	9
1032170108	超级营养学	1132170101	8	1	4:0:0	1:0:0	20000:0:0	1	15:0:0	9
1032170109	超级营养学	1132170101	9	1	4:0:0	1:0:0	10000:0:0	1	15:0:0	9
1032170110	超级营养学	1132170101	10	1	4:0:0	1:0:0	10000:0:0	1	15:0:0	9
1032180001	超级呼吸锻炼	1132180001	1	1	10:0:0	1:0:0	2000:0:0	1	18:0:0	3
1032180101	超级体育精神	1132180101	1	1	7:0:0	1:0:0	200:0:0	1	18:0:0	4
1032180102	超级体育精神	1132180101	2	1	7:0:0	1:0:0	200:0:0	1	18:0:0	4
1032180201	超级体能锻炼	1132180201	1	1	4:0:0	1:0:0	20000:0:0	1	18:0:0	5
1032180202	超级体能锻炼	1132180201	2	1	4:0:0	1:0:0	20000:0:0	1	18:0:0	5
1032180203	超级体能锻炼	1132180201	3	1	4:0:0	1:0:0	20000:0:0	1	18:0:0	5
1032180204	超级体能锻炼	1132180201	4	1	4:0:0	1:0:0	20000:0:0	1	18:0:0	5
1032180205	超级体能锻炼	1132180201	5	1	4:0:0	1:0:0	20000:0:0	1	18:0:0	5
1032180206	超级体能锻炼	1132180201	6	1	4:0:0	1:0:0	20000:0:0	1	18:0:0	5
1032180207	超级体能锻炼	1132180201	7	1	4:0:0	1:0:0	20000:0:0	1	18:0:0	5
1032180208	超级体能锻炼	1132180201	8	1	4:0:0	1:0:0	20000:0:0	1	18:0:0	5
1032180209	超级体能锻炼	1132180201	9	1	4:0:0	1:0:0	20000:0:0	1	18:0:0	5
1032180210	超级体能锻炼	1132180201	10	1	4:0:0	1:0:0	20000:0:0	1	18:0:0	5
1032180211	超级体能锻炼	1132180201	11	1	4:0:0	1:0:0	20000:0:0	1	18:0:0	5
1032190001	超级精神聚合	1132190001	1	1	11:0:0	1:0:0	1500:0:0	1	20:0:0	3
1032190101	超级精神屏障	1132040201	1	1	7:9:0	1:1:0	100:100:0	1	20:0:0	4
1032190102	超级精神屏障	1132040201	2	1	7:9:0	1:1:0	100:100:0	1	20:0:0	4
1032190201	超级异体体能	1132190201	1	1	4:0:0	1:0:0	20000:0:0	1	20:0:0	5
1032190202	超级异体体能	1132190201	2	1	4:0:0	1:0:0	20000:0:0	1	20:0:0	5
1032190203	超级异体体能	1132190201	3	1	4:0:0	1:0:0	20000:0:0	1	20:0:0	5
1032190204	超级异体体能	1132190201	4	1	4:0:0	1:0:0	20000:0:0	1	20:0:0	5
1032190205	超级异体体能	1132190201	5	1	4:0:0	1:0:0	20000:0:0	1	20:0:0	5
1032190206	超级异体体能	1132190201	6	1	4:0:0	1:0:0	20000:0:0	1	20:0:0	5
1032190207	超级异体体能	1132190201	7	1	4:0:0	1:0:0	20000:0:0	1	20:0:0	5
1032190208	超级异体体能	1132190201	8	1	4:0:0	1:0:0	20000:0:0	1	20:0:0	5
1032190209	超级异体体能	1132190201	9	1	4:0:0	1:0:0	20000:0:0	1	20:0:0	5
1032190210	超级异体体能	1132190201	10	1	4:0:0	1:0:0	20000:0:0	1	20:0:0	5
1032190211	超级异体体能	1132190201	11	1	4:0:0	1:0:0	20000:0:0	1	20:0:0	5
1032200001	超级爆破	1132200001	1	1	10:0:0	1:0:0	1500:0:0	1	17:0:0	3
1032200101	超级国防	1132200101	1	1	4:0:0	1:0:0	20000:0:0	1	17:0:0	8
1032200102	超级国防	1132200101	2	1	4:0:0	1:0:0	20000:0:0	1	17:0:0	8
1032200103	超级国防	1132200101	3	1	4:0:0	1:0:0	20000:0:0	1	17:0:0	8
1032200104	超级国防	1132200101	4	1	4:0:0	1:0:0	20000:0:0	1	17:0:0	8
1032200105	超级国防	1132200101	5	1	4:0:0	1:0:0	20000:0:0	1	17:0:0	8
1032200106	超级国防	1132200101	6	1	4:0:0	1:0:0	20000:0:0	1	17:0:0	8
1032200107	超级国防	1132200101	7	1	4:0:0	1:0:0	20000:0:0	1	17:0:0	8
1032200108	超级国防	1132200101	8	1	4:0:0	1:0:0	20000:0:0	1	17:0:0	8
1032200109	超级国防	1132200101	9	1	4:0:0	1:0:0	20000:0:0	1	17:0:0	8
1032200110	超级国防	1132200101	10	1	4:0:0	1:0:0	20000:0:0	1	17:0:0	8
1032200111	超级国防	1132200101	11	1	4:0:0	1:0:0	20000:0:0	1	17:0:0	8
1032210001	超级潜能	1132210001	1	1	11:0:0	1:0:0	1500:0:0	1	19:0:0	3
1032210101	超级营养	1132210101	1	1	4:0:0	1:0:0	20000:0:0	1	19:0:0	9
1032210102	超级营养	1132210101	2	1	4:0:0	1:0:0	20000:0:0	1	19:0:0	9
1032210103	超级营养	1132210101	3	1	4:0:0	1:0:0	20000:0:0	1	19:0:0	9
1032210104	超级营养	1132210101	4	1	4:0:0	1:0:0	20000:0:0	1	19:0:0	9
1032210105	超级营养	1132210101	5	1	4:0:0	1:0:0	20000:0:0	1	19:0:0	9
1032210106	超级营养	1132210101	6	1	4:0:0	1:0:0	20000:0:0	1	19:0:0	9
1032210107	超级营养	1132210101	7	1	4:0:0	1:0:0	20000:0:0	1	19:0:0	9
1032210108	超级营养	1132210101	8	1	4:0:0	1:0:0	20000:0:0	1	19:0:0	9
1032210109	超级营养	1132210101	9	1	4:0:0	1:0:0	20000:0:0	1	19:0:0	9
1032210110	超级营养	1132210101	10	1	4:0:0	1:0:0	20000:0:0	1	19:0:0	9
1032210111	超级营养	1132210101	11	1	4:0:0	1:0:0	20000:0:0	1	19:0:0	9
