id	name	level	priority	influenceType	buffType	dataType	dataPattern	effectPoint	dealMode	isOutBattle	duration	interval	type	cureType	haloType
1033011302	抗生素注射	2	2	1	1	physique:0:0	1:0:0	65:0:0	3:0:0	1	1800000	0	12	0	0
1033011001	格斗技巧	1	1	1	1	phsAtt:sptAtt:0	2:2:0	10:10:0	3:3:0	2	60000	0	13	0	0
1033011002	格斗技巧	2	2	1	1	phsAtt:sptAtt:0	2:2:0	15:15:0	3:3:0	2	60000	0	13	0	0
1033011003	格斗技巧	3	3	1	1	phsAtt:sptAtt:0	2:2:0	20:20:0	3:3:0	2	60000	0	13	0	0
1033011004	格斗技巧	4	4	1	1	phsAtt:sptAtt:0	2:2:0	25:25:0	3:3:0	2	60000	0	13	0	0
1033011005	超级格斗技巧	4	4	1	1	phsAtt:sptAtt:0	2:2:0	25:25:0	3:3:0	2	60000	0	13	0	0
1033011006	超级格斗	4	4	1	1	phsAtt:sptAtt:0	2:2:0	25:25:0	3:3:0	2	60000	0	13	0	0
1033011101	心灵启示	1	1	1	1	battleMaxMP:0:0	2:0:0	20:0:0	3:0:0	1	600000	0	14	0	0
1033011102	心灵启示	2	2	1	1	battleMaxMP:0:0	2:0:0	25:0:0	3:0:0	1	600000	0	14	0	0
1033011103	心灵启示	3	3	1	1	battleMaxMP:0:0	2:0:0	30:0:0	3:0:0	1	600000	0	14	0	0
1033011104	心灵启示	4	4	1	1	battleMaxMP:0:0	2:0:0	35:0:0	3:0:0	1	600000	0	14	0	0
1033011105	心灵启示	5	5	1	1	battleMaxMP:0:0	2:0:0	40:0:0	3:0:0	1	600000	0	14	0	0
1033011106	超级心灵启示	5	5	1	1	battleMaxMP:0:0	2:0:0	40:0:0	3:0:0	1	600000	0	14	0	0
1033011107	超级心灵	5	5	1	1	battleMaxMP:0:0	2:0:0	40:0:0	3:0:0	1	600000	0	14	0	0
1033011201	兴奋剂	1	1	1	1	speed:0:0	1:0:0	-500:0:0	3:0:0	1	1800000	0	15	0	0
1033011202	兴奋剂	2	2	1	1	speed:0:0	1:0:0	-600:0:0	3:0:0	1	1800000	0	15	0	0
1033011203	兴奋剂	3	3	1	1	speed:0:0	1:0:0	-700:0:0	3:0:0	1	1800000	0	15	0	0
1033010201	肌肉注射	1	1	1	1	power:0:0	1:0:0	63:0:0	3:0:0	1	1800000	0	16	0	0
1033010202	肌肉注射	2	2	1	1	power:0:0	1:0:0	105:0:0	3:0:0	1	1800000	0	16	0	0
1033011401	热血药剂	1	1	1	1	nimble:0:0	1:0:0	67:0:0	3:0:0	1	1800000	0	17	0	0
1033011801	静脉注射	1	1	1	1	currentHP:0:0	1:0:0	2400:0:0	1:0:0	2	30000	6	21	0	0
1033011802	静脉注射	2	2	1	1	currentHP:0:0	1:0:0	3600:0:0	1:0:0	2	30000	6	21	0	0
1033011803	静脉注射	3	3	1	1	currentHP:0:0	1:0:0	4800:0:0	1:0:0	2	30000	6	21	0	0
1033011804	静脉注射	4	4	1	1	currentHP:0:0	1:0:0	6000:0:0	1:0:0	2	30000	6	21	0	0
1033011805	静脉注射	5	5	1	1	currentHP:0:0	1:0:0	7200:0:0	1:0:0	2	30000	6	21	0	0
1033011806	静脉注射	6	6	1	1	currentHP:0:0	1:0:0	8400:0:0	1:0:0	2	30000	6	21	0	0
1033011501	强心针	8	8	1	1	currentHP:0:0	1:0:0	120000:0:0	1:0:0	2	30000	6	21	0	0
1033011502	强心针	9	9	1	1	currentHP:0:0	1:0:0	150000:0:0	1:0:0	2	30000	6	21	0	0
1033011503	强心针	10	10	1	1	currentHP:0:0	1:0:0	180000:0:0	1:0:0	2	30000	6	21	0	0
1033011504	强心针	11	11	1	1	currentHP:0:0	1:0:0	210000:0:0	1:0:0	2	30000	6	21	0	0
1033011505	强心针	12	12	1	1	currentHP:0:0	1:0:0	240000:0:0	1:0:0	2	30000	6	21	0	0
1033011506	超级强心针	7	7	1	1	currentHP:0:0	1:0:0	18000:0:0	1:0:0	2	30000	6	21	0	0
1033011507	超级强心针	11	11	1	1	currentHP:0:0	1:0:0	210000:0:0	1:0:0	2	30000	6	21	0	0
1033011508	超级强心针	12	12	1	1	currentHP:0:0	1:0:0	240000:0:0	1:0:0	2	30000	6	21	0	0
1033011509	超级强心针	13	13	1	1	currentHP:0:0	1:0:0	270000:0:0	1:0:0	2	30000	6	21	0	0
1033011510	超级强心针	14	14	1	1	currentHP:0:0	1:0:0	300000:0:0	1:0:0	2	30000	6	21	0	0
1033011511	超级强心剂	15	15	1	1	currentHP:0:0	1:0:0	360000:0:0	1:0:0	2	30000	6	21	0	0
1033011901	回血果冻	1	1	1	1	currentHP:0:0	1:0:0	32000:0:0	1:0:0	2	20000	4	22	0	0
1033012401	局部麻醉	1	1	1	1	damageModify:0:0	2:0:0	10:0:0	3:0:0	2	300000	0	27	0	0
1033012501	小宇宙爆发	1	1	1	1	phsAtt:0:0	2:0:0	50:0:0	3:0:0	2	17000	0	47	0	0
1033012502	小宇宙爆发	2	2	1	1	phsAtt:0:0	2:0:0	50:0:0	3:0:0	2	17000	0	47	0	0
1033012601	人体学	1	1	1	1	nimble:wisdom:0	1:1:0	50:50:0	3:3:0	1	600000	0	55	1	0
1033012602	人体学	2	2	1	1	nimble:wisdom:0	1:1:0	80:80:0	3:3:0	1	600000	0	55	1	0
1033012603	人体学	3	3	1	1	nimble:wisdom:0	1:1:0	120:120:0	3:3:0	1	600000	0	55	1	0
1033012604	人体学	4	4	1	1	nimble:wisdom:0	1:1:0	160:160:0	3:3:0	1	600000	0	55	1	0
1033012605	人体学	5	5	1	1	nimble:wisdom:0	1:1:0	200:200:0	3:3:0	1	600000	0	55	1	0
1033012606	人体学	6	6	1	1	nimble:wisdom:0	1:1:0	240:240:0	3:3:0	1	600000	0	55	1	0
1033012607	人体学	7	7	1	1	nimble:wisdom:0	1:1:0	280:280:0	3:3:0	1	600000	0	55	1	0
1033012608	人体学	8	8	1	1	nimble:wisdom:0	1:1:0	320:320:0	3:3:0	1	600000	0	55	1	0
1033012609	人体学	9	9	1	1	nimble:wisdom:0	1:1:0	360:360:0	3:3:0	1	600000	0	55	1	0
1033012610	人体学	10	10	1	1	nimble:wisdom:0	1:1:0	400:400:0	3:3:0	1	600000	0	55	1	0
1033012611	超级人体学	10	10	1	1	nimble:wisdom:0	1:1:0	400:400:0	3:3:0	1	600000	0	55	1	0
1033012612	超级人体	10	10	1	1	nimble:wisdom:0	1:1:0	400:400:0	3:3:0	1	600000	0	55	1	0
1033013101	强攻光环	1	1	1	1	phsAtt:0:0	2:0:0	20:0:0	3:0:0	1	0	0	32	0	1
1033013102	强攻光环	2	2	1	1	phsAtt:0:0	2:0:0	22:0:0	3:0:0	1	0	0	32	0	1
1033013103	强攻光环	3	3	1	1	phsAtt:0:0	2:0:0	24:0:0	3:0:0	1	0	0	32	0	1
1033013201	激励光环	1	1	1	1	sptAtt:0:0	2:0:0	20:0:0	3:0:0	1	0	0	33	0	1
1033013202	激励光环	2	2	1	1	sptAtt:0:0	2:0:0	22:0:0	3:0:0	1	0	0	33	0	1
1033013203	激励光环	3	3	1	1	sptAtt:0:0	2:0:0	24:0:0	3:0:0	1	0	0	33	0	1
1033020101	糨糊灌鼎	1	1	1	2	phsAtt:sptAtt:0	2:2:0	-50:-50:0	3:3:0	2	17000	0	36	0	0
1033020102	糨糊灌鼎	2	2	1	2	phsAtt:sptAtt:0	2:2:0	-50:-50:0	3:3:0	2	17000	0	36	0	0
1033020103	糨糊灌鼎	3	3	1	2	phsAtt:sptAtt:0	2:2:0	-50:-50:0	3:3:0	2	17000	0	36	0	0
1033020104	异能旋涡	1	1	1	2	currentHP:0:0	1:0:0	-600:0:0	1:0:0	2	15000	5	48	0	0
1033020105	异能旋涡	2	2	1	2	currentHP:0:0	1:0:0	-1500:0:0	1:0:0	2	15000	5	48	0	0
1033020106	异能旋涡	3	3	1	2	currentHP:0:0	1:0:0	-3250:0:0	1:0:0	2	15000	5	48	0	0
1033020107	异能旋涡	4	4	1	2	currentHP:0:0	1:0:0	-6000:0:0	1:0:0	2	15000	5	48	0	0
1033020108	异能旋涡	5	5	1	2	currentHP:0:0	1:0:0	-8000:0:0	1:0:0	2	15000	5	48	0	0
1033020201	眩晕	1	1	1	2	dizzy:0:0	0:0:0	0:0:0	3:0:0	2	2000	1	38	0	0
1033020301	重伤	1	1	1	2	speed:0:0	1:0:0	2000:0:0	3:0:0	2	14000	0	39	0	0
1033020302	重伤	2	2	1	2	speed:0:0	1:0:0	2000:0:0	3:0:0	2	21000	0	39	0	0
1033020303	重伤	3	3	1	2	speed:0:0	1:0:0	2000:0:0	3:0:0	2	28000	0	40	0	0
1033020901	十香软胫散	1	1	1	2	phsAtt:0:0	2:0:0	-50:0:0	3:0:0	2	22000	0	44	0	0
1033020801	精神震荡波	1	1	1	2	sptAtt:0:0	2:0:0	-50:0:0	3:0:0	2	22000	0	28	0	0
1033020802	衰弱	2	2	1	2	damageModify:0:0	2:0:0	-15:0:0	3:0:0	2	15000	1	28	0	0
1033020803	衰弱	3	3	1	2	damageModify:0:0	2:0:0	-20:0:0	3:0:0	2	15000	1	28	0	0
1033020401	致命诱惑	1	1	1	2	nimble:wisdom:0	2:2:0	-50:-50:0	3:0:0	2	22000	0	29	0	0
1033021001	瓦解意志	1	1	1	2	sptAtt:0:0	2:0:0	-10:0:0	3:0:0	2	20000	0	45	0	0
1033021002	瓦解意志	2	2	1	2	sptAtt:0:0	2:0:0	-13:0:0	3:0:0	2	20000	0	45	0	0
1033021003	瓦解意志	3	3	1	2	sptAtt:0:0	2:0:0	-16:0:0	3:0:0	2	20000	0	45	0	0
1033020501	伤口感染	1	1	1	2	phsAtt:0:0	2:0:0	-10:0:0	3:0:0	2	20000	0	1	0	0
1033020502	伤口感染	2	2	1	2	phsAtt:0:0	2:0:0	-13:0:0	3:0:0	2	20000	0	1	0	0
1033020503	伤口感染	3	3	1	2	phsAtt:0:0	2:0:0	-16:0:0	3:0:0	2	20000	0	1	0	0
