id	212	minMoney	maxMoney	propId	dropRate	minNumber	maxNumber																																																																																																																																																																																																																																
组ID	掉钱数	最小钱	最大钱	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数
				素材之星·天上				素材之星·天下				蛇妖足球				蛇妖手枪				蛇妖针筒				蛇妖墨镜				蛇妖护腕				蛇妖肩章				蛇妖腕饰				蛇妖手镯				特效生命药水				特效精力药水				流星火球（四级）				战斗号角（四级）				人体学（四级）				魔幻飞牌（四级）				千年蛇妖宝石				千年蛇妖宝石				风和日丽				形象进化宝石				四百点宠物经验包				四百点宠物玩具				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																																											
800006	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050007006	250	1	1	1050005006	250	1	1	1050010006	250	1	1	1050011006	250	1	1	1050502005	250	1	1	1050501005	250	1	1	1050503005	250	1	1	1050504005	250	1	1	1041010006	100	1	2	1041020006	100	1	2	1044070404	250	1	1	1044050102	250	1	1	1044030704	250	1	1	1044110203	250	1	1	1045010161	250	1	1	1045010162	250	1	1	1050900024	500	1	1	1045011002	100	1	1	1045000004	950	1	1	1045000079	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																																								
				素材之星·天上				素材之星·天下				嗜血运动服				嗜血风衣				嗜血制服				嗜血牛仔服				巨型生命药水				巨型精力药水	200			回旋踢（四级）				铲射（二级）				生锈火箭筒射击（五级）				导弹追踪（二级）				爆炸汽油弹（二级）				急救（五级）				静脉注射（二级）				小李飞刀（二级）				意识流（四级）				飞骰冲击（二级）				嗜血古藤怪宝石				嗜血古藤怪宝石				飘渺空间				形象进化宝石				四百点宠物经验包				四百点宠物玩具				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																																			
800007	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050202006	500	1	1	1050201006	500	1	1	1050203006	500	1	1	1050204006	500	1	1	1041010007	100	1	1	1041020007	100	1	1	1044070203	100	1	1	1044070302	100	1	1	1044050005	100	1	1	1044050302	100	1	1	1044060002	100	1	1	1044030005	100	1	1	1044100202	100	1	1	1044100402	100	1	1	1044110504	100	1	1	1044110602	100	1	1	1045010173	250	1	1	1045010174	250	1	1	1050900023	500	1	1	1045011002	100	1	1	1045000004	950	1	1	1045000079	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																																
				素材之星·天上				素材之星·天下				炫丽运动短裤				炫丽西裤				炫丽休闲裤				炫丽牛仔裤				巨型生命药水	200			巨型精力药水	200			流星火球（五级）				战斗号角（五级）				人体学（五级）				飞针（三级）				魔幻飞牌（五级）				炫丽女魔头宝石				炫丽女魔头宝石				触动心悬				形象进化宝石				四百点宠物经验包				四百点宠物玩具				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																																																							
800008	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050302007	500	1	1	1050301007	500	1	1	1050303007	500	1	1	1050304007	500	1	1	1041010007	100	1	1	1041020007	100	1	1	1044070405	200	1	1	1044050103	200	1	1	1044030705	200	1	1	1044100003	200	1	1	1044110204	200	1	1	1045010185	250	1	1	1045010186	250	1	1	1050900022	500	1	1	1045011002	100	1	1	1045000004	950	1	1	1045000079	500	1	1	1045000257	1000	2	2	1045000258	200	2	2	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																																																				
				素材之星·天上				素材之星·天下				鞭女王运动鞋				鞭女王皮鞋				鞭女王短靴				鞭女王板鞋				鞭女王手套				鞭女王皮手套				鞭女王橡胶手套				鞭女王霹雳手套				巨型生命药水				巨型精力药水				回旋踢（五级）				生锈火箭筒射击（六级）				格斗技巧（一级）				急救（六级）				爆炸汽油弹（三级）				连锁注射（一级				小李飞刀（三级）				意识流（五级）				呼吸节奏（一级）				超能力觉醒（一级）				兰色韵律				神秘鞭女王宝石·天				神秘鞭女王宝石·地				形象进化宝石				四百点宠物经验包				四百点宠物玩具				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																			
800009	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050402008	250	1	1	1050401008	250	1	1	1050403008	250	1	1	1050404008	250	1	1	1050602008	250	1	1	1050601008	250	1	1	1050603008	250	1	1	1050604008	250	1	1	1041010007	100	1	2	1041020007	100	1	2	1044070204	100	1	1	1044050006	100	1	1	1044050201	100	1	1	1044030006	100	1	1	1044060003	100	1	1	1044100301	100	1	1	1044100403	100	1	1	1044110505	100	1	1	1044020101	100	1	1	1044040201	100	1	1	1050900021	500	1	1	1045010208	250	1	1	1045010209	250	1	1	1045011002	100	1	1	1045000004	950	1	1	1045000079	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																
				素材之星·天上				素材之星·天下				金蝙蝠足球				金蝙蝠手枪				金蝙蝠针筒				金蝙蝠墨镜				金蝙蝠护腕				金蝙蝠肩章				金蝙蝠腕饰				金蝙蝠手镯				超级血瓶				超级蓝瓶				流星火球（六级）				铲射（三级）				战斗号角（六级）				导弹追踪（三级）				人体学（六级）				静脉注射（三级）				魔幻飞牌（六级）				飞骰冲击（三级）				神秘传说				罪恶金蝙蝠宝石·天				罪恶金蝙蝠宝石·地				形象进化宝石				豪华宠物经验包				豪华宠物玩具球				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																											
800010	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050007010	250	1	1	1050005010	250	1	1	1050010010	250	1	1	1050011010	250	1	1	1050502009	250	1	1	1050501009	250	1	1	1050503009	250	1	1	1050504009	250	1	1	1041010008	100	1	2	1041020008	100	1	2	1044070406	125	1	1	1044070303	125	1	1	1044050104	125	1	1	1044050303	125	1	1	1044030706	125	1	1	1044100203	125	1	1	1044110205	125	1	1	1044110603	125	1	1	1050900020	500	1	1	1045010220	250	1	1	1045010221	250	1	1	1045011002	100	1	1	1045000004	950	1	1	1045000079	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																								
				素材之星·天上				素材之星·天下				天剑运动服				天剑风衣				天剑制服				天剑牛仔服				超级血瓶				超级蓝瓶				回旋踢（六级）				生锈火箭筒射击（七级）				爆炸汽油弹（四级）				急救（七级）				飞针（四级）				小李飞刀（四级）				意识流（六级）				天剑女侠宝石·天				天剑女侠宝石·地				形象进化宝石				豪华宠物经验包				豪华宠物玩具球				神秘传说				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																																															
800011	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050202010	500	1	1	1050201010	500	1	1	1050203010	500	1	1	1050204010	500	1	1	1041010008	100	1	1	1041020008	100	1	1	1044070205	148	1	1	1044050007	142	1	1	1044060004	142	1	1	1044030007	142	1	1	1044100004	142	1	1	1044100404	142	1	1	1044110506	142	1	1	1045010232	250	1	1	1045010233	250	1	1	1045011002	100	1	1	1045000004	950	1	1	1045000079	500	1	1	1050900020	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																																												
				素材之星·天上				素材之星·天下				地狱运动短裤				地狱西裤				地狱休闲裤				地狱牛仔裤				超级血瓶				超级蓝瓶				流星火球（七级）				呼吸节奏（二级）				战斗号角（七级）				格斗技巧（二级）				人体学（七级）				连锁注射（二级）				魔幻飞牌（七级）				超能力觉醒（二级）				地狱夺命狂宝石·天				地狱夺命狂宝石·地				形象进化宝石				精华宠物经验包				精华宠物玩具车				兰色韵律				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																																											
800012	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050302011	500	1	1	1050301011	500	1	1	1050303011	500	1	1	1050304011	500	1	1	1041010008	100	1	1	1041020008	100	1	1	1044070407	125	1	1	1044020102	125	1	1	1044050105	125	1	1	1044050202	125	1	1	1044030707	125	1	1	1044100302	125	1	1	1044110206	125	1	1	1044040202	125	1	1	1045010244	250	1	1	1045010245	250	1	1	1045011002	100	1	1	1045000178	950	1	1	1045000180	500	1	1	1050900021	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																																								
				素材之星·天上				素材之星·天下				致命运动鞋				致命皮鞋				致命短靴				致命板鞋				致命手套				致命皮手套				致命皮橡胶手套				致命皮霹雳手套				巨型血瓶				巨型蓝瓶				回旋踢（七级）				铲射（四级）				生锈火箭筒射击（八级）				导弹追踪（四级）				爆炸汽油弹（五级）				急救（八级）				静脉注射（四级）				小李飞刀（五级）				意识流（七级）				飞骰冲击（四级）				致命发光体宝石·天				致命发光体宝石·地				形象进化宝石				精华宠物经验包				精华宠物玩具车				触动心悬				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																			
800013	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050402012	250	1	1	1050401012	250	1	1	1050403012	250	1	1	1050404012	250	1	1	1050602012	250	1	1	1050601012	250	1	1	1050603012	250	1	1	1050604012	250	1	1	1041010009	100	1	2	1041020009	100	1	2	1044070206	100	1	1	1044070304	100	1	1	1044050008	100	1	1	1044050304	100	1	1	1044060005	100	1	1	1044030008	100	1	1	1044100204	100	1	1	1044100405	100	1	1	1044110507	100	1	1	1044110604	100	1	1	1045010256	250	1	1	1045010257	250	1	1	1045011002	100	1	1	1045000178	950	1	1	1045000180	500	1	1	1050900022	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																
				素材之星·天上				素材之星·天下				黑衣足球				黑衣手枪				黑衣针筒				黑衣墨镜				黑衣护腕				黑衣肩章				黑衣腕饰				黑衣手镯				巨型血瓶				巨型蓝瓶				流星火球（八级）				战斗号角（八级）				飞针（五级）				人体学（八级）				魔幻飞牌（八级）				黑衣风行者宝石·天				黑衣风行者宝石·地				形象进化宝石				精华宠物经验包				精华宠物玩具车				飘渺空间				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																																							
800014	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050007014	250	1	1	1050005014	250	1	1	1050010014	250	1	1	1050011014	250	1	1	1050502013	250	1	1	1050501013	250	1	1	1050503013	250	1	1	1050504013	250	1	1	1041010009	100	1	2	1041020009	100	1	2	1044070408	200	1	1	1044050108	200	1	1	1044100005	200	1	1	1044030708	200	1	1	1044110208	200	1	1	1045010268	250	1	1	1045010269	250	1	1	1045011002	100	1	1	1045000178	950	1	1	1045000180	500	1	1	1050900023	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																																				
				素材之星·天上				素材之星·天下				牛魔王运动服				牛魔王风衣				牛魔王制服				牛魔王牛仔服				巨型血瓶				巨型蓝瓶				回旋踢（八级）				呼吸节奏（三级）				生锈火箭筒射击（九级）				格斗技巧（三级）				爆炸汽油弹（六级）				急救（九级）				连锁注射（三级）				小李飞刀（六级）				意识流（八级）				超能力觉醒（三级）				终极牛魔王宝石·天				终极牛魔王宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				风和日丽				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																																			
800015	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050202014	500	1	1	1050201014	500	1	1	1050203014	500	1	1	1050204014	500	1	1	1041010009	100	1	1	1041020009	100	1	1	1044070208	100	1	1	1044020103	100	1	1	1044050009	100	1	1	1044050203	100	1	1	1044060006	100	1	1	1044030009	100	1	1	1044100303	100	1	1	1044100406	100	1	1	1044110508	100	1	1	1044040203	100	1	1	1045010280	250	1	1	1045010281	250	1	1	1045011002	100	1	1	1045000179	950	1	1	1045000181	500	1	1	1050900024	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																																
				素材之星·天上				素材之星·天下				邪树运动短裤				邪树西裤				邪树休闲裤				邪树牛仔裤				秘制血瓶				秘制蓝瓶				铲射（五级）				流星火球（九级）				战斗号角（九级）				导弹追踪（五级）				人体学（九级）				静脉注射（五级）				魔幻飞牌（九级）				飞骰冲击（五级）				参天邪树宝石·天				参天邪树宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				随风飘落				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																																											
800016	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050302015	500	1	1	1050301015	500	1	1	1050303015	500	1	1	1050304015	500	1	1	1041010010	100	1	1	1041020010	100	1	1	1044070305	125	1	1	1044070409	125	1	1	1044050109	125	1	1	1044050305	125	1	1	1044030709	125	1	1	1044100205	125	1	1	1044110209	125	1	1	1044110605	125	1	1	1045010292	250	1	1	1045010293	250	1	1	1045011002	100	1	1	1045000179	950	1	1	1045000181	500	1	1	1050900025	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																																								
				素材之星·天上				素材之星·天下				卡哇伊运动鞋				卡哇伊皮鞋				卡哇伊短靴				卡哇伊板鞋				卡哇伊手套				卡哇伊皮手套				卡哇伊橡胶手套				卡哇伊霹雳手套				秘制血瓶				秘制蓝瓶				回旋踢（九级）				生锈火箭筒射击（十级）				爆炸汽油弹（七级）				急救（十级）				小李飞刀（七级）				意识流（九级）				流星火球（十级）				战斗号角（十级）				格斗技巧（四级）				飞针（六级）				人体学（十级）				连锁注射（四级）				魔幻飞牌（十级）				呼吸节奏（四级）				超能力觉醒（四级）				变身卡哇伊宝石·天				变身卡哇伊宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				风花雪月				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																															
800017	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050402016	250	1	1	1050401016	250	1	1	1050403016	250	1	1	1050404016	250	1	1	1050602016	250	1	1	1050601016	250	1	1	1050603016	250	1	1	1050604016	250	1	1	1041010010	100	1	2	1041020010	100	1	2	1044070209	70	1	1	1044050010	70	1	1	1044060007	70	1	1	1044030010	70	1	1	1044100407	70	1	1	1044110509	70	1	1	1044070410	70	1	1	1044050110	70	1	1	1044050204	70	1	1	1044100006	70	1	1	1044030710	60	1	1	1044100304	60	1	1	1044110210	60	1	1	1044020104	60	1	1	1044040204	60	1	1	1045010304	250	1	1	1045010305	250	1	1	1045011002	100	1	1	1045000179	950	1	1	1045000181	500	1	1	1050900026	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																												
				素材之星·天上				素材之星·天下				心灵足球				心灵手枪				心灵针筒				心灵墨镜				心灵护腕				心灵肩章				心灵腕饰				心灵手镯				秘制血瓶				秘制蓝瓶				回旋踢（十级）				铲射（六级）				导弹追踪（六级）				爆炸汽油弹（八级）				静脉注射（六级）				浪漫飞刀（八级）				意识流（十级）				飞骰冲击（六级）				潜能激发（一级）				能量聚合（一级）				爆破科技（一级）				心灵操控者·天				心灵操控者·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				生锈火箭筒射击（十一级）				遥远视觉				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				二十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																															
800018	0	0	0	1042200101	300	1	1	1042200201	200	1	1	1050007022	150	1	1	1050005022	150	1	1	1050010022	150	1	1	1050011022	150	1	1	1050502022	150	1	1	1050501022	150	1	1	1050503022	150	1	1	1050504022	150	1	1	1041010010	200	1	2	1041020010	150	1	2	1044070210	110	1	1	1044070306	110	1	1	1044050306	110	1	1	1044060008	110	1	1	1044100206	110	1	1	1044100408	110	1	1	1044110510	110	1	1	1044110606	110	1	1	1044031001	100	1	1	1044040301	100	1	1	1044010301	100	1	1	1045010324	250	1	1	1045010325	250	1	1	1045011002	100	1	1	1045000179	800	1	1	1045000181	210	1	1	1044050011	110	1	1	1050900027	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1000	1	1	1041010013	700	1	1	1042200301	500	1	1	1045010412	50	1	1	1042010106	300	1	1	1045000229	800	1	1																																																																												
				素材之星·天上				素材之星·天下				假面运动服				假面风衣				假面制服				假面牛仔服				秘制血瓶				秘制蓝瓶				曲线式射门（一级）				贝式弧线射门（一级）				特种兵体能训练（一级）				野性激发（一级）				高级急救（一级）				心灵启示（一级）				纸牌旋涡（一级）				纸牌风暴（一级）				假面魔导士宝石·天				假面魔导士宝石·地				形象进化宝石				稀有宠物经验包				稀有宠物玩具球				高级连锁注射（一级）				生锈火箭筒射击（十二级）				爆炸汽油弹（九级）				飞针（七级）				浪漫飞刀（九级）				星悬月				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				二十万点生命药水				素材之星·天地				进化原石				王国之心碎片				奇妙精华																																																																																											
