id	minLevel	maxLevel	type	boxType	rate	qualityRate
600098	4851	4900	6	0	0	3000:6500:500:0:0:0
600099	4901	4950	6	0	0	3000:6500:500:0:0:0
600100	4951	5000	6	0	0	3000:6500:500:0:0:0
600101	5001	5100	6	0	0	3000:6500:500:0:0:0
600102	5101	5200	6	0	0	3000:6500:500:0:0:0
600103	5201	5300	6	0	0	3000:6500:500:0:0:0
600104	5301	5400	6	0	0	3000:6500:500:0:0:0
600105	5401	5500	6	0	0	3000:6500:500:0:0:0
600106	5501	5600	6	0	0	3000:6500:500:0:0:0
600107	5601	5700	6	0	0	3000:6500:500:0:0:0
600108	5701	5800	6	0	0	3000:6500:500:0:0:0
600109	5801	5900	6	0	0	3000:6500:500:0:0:0
600110	5901	6000	6	0	0	3000:6500:500:0:0:0
500101	10	10	5	5	9553	0:0:0:0:0:0:0
500201	500	500	5	5	220	0:0:0:0:0:0:0
500301	1000	1000	5	5	150	0:0:0:0:0:0:0
500401	2000	2000	5	5	40	0:0:0:0:0:0:0
500501	4000	4000	5	5	15	0:0:0:0:0:0:0
500601	6000	6000	5	5	10	0:0:0:0:0:0:0
500701	8000	8000	5	5	8	0:0:0:0:0:0:0
500801	10000	10000	5	5	4	0:0:0:0:0:0:0
400101	0	0	4	6	1500	0:0:0:0:0:0:0
400201	0	0	4	6	2000	0:0:0:0:0:0:0
400301	0	0	4	6	2000	0:0:0:0:0:0:0
400401	0	0	4	6	2000	0:0:0:0:0:0:0
400501	0	0	4	6	800	0:0:0:0:0:0:0
400601	0	0	4	6	800	0:0:0:0:0:0:0
400701	0	0	4	6	400	0:0:0:0:0:0:0
400801	0	0	4	6	500	0:0:0:0:0:0:0
100101	0	0	1	7	4500	0:0:0:0:0:0:0
100201	0	0	1	7	4500	0:0:0:0:0:0:0
100301	0	0	1	7	350	0:0:0:0:0:0:0
100401	0	0	1	7	350	0:0:0:0:0:0:0
100501	0	0	1	7	100	0:0:0:0:0:0:0
100601	0	0	1	7	100	0:0:0:0:0:0:0
100701	0	0	1	7	50	0:0:0:0:0:0:0
100801	0	0	1	7	50	0:0:0:0:0:0:0
200101	0	0	2	8	2300	0:0:0:0:0:0:0
200201	0	0	2	8	3000	0:0:0:0:0:0:0
200301	0	0	2	8	3000	0:0:0:0:0:0:0
200401	0	0	2	8	800	0:0:0:0:0:0:0
200501	0	0	2	8	600	0:0:0:0:0:0:0
200601	0	0	2	8	200	0:0:0:0:0:0:0
200701	0	0	2	8	80	0:0:0:0:0:0:0
200801	0	0	2	8	20	0:0:0:0:0:0:0
300101	0	0	3	9	3400	0:0:0:0:0:0:0
300201	0	0	3	9	3100	0:0:0:0:0:0:0
300301	0	0	3	9	700	0:0:0:0:0:0:0
300401	0	0	3	9	800	0:0:0:0:0:0:0
300501	0	0	3	9	1000	0:0:0:0:0:0:0
300601	0	0	3	9	400	0:0:0:0:0:0:0
300701	0	0	3	9	300	0:0:0:0:0:0:0
300801	0	0	3	9	300	0:0:0:0:0:0:0
700101	0	0	7	10	2000	0:0:0:0:0:0:0
700201	0	0	7	10	2000	0:0:0:0:0:0:0
700301	0	0	7	10	2000	0:0:0:0:0:0:0
700401	0	0	7	10	2500	0:0:0:0:0:0:0
700501	0	0	7	10	600	0:0:0:0:0:0:0
700601	0	0	7	10	700	0:0:0:0:0:0:0
700701	0	0	7	10	100	0:0:0:0:0:0:0
700801	0	0	7	10	100	0:0:0:0:0:0:0
1000101	0	0	10	11	7500	0:0:0:0:0:0:0
1000102	0	0	10	11	500	0:0:0:0:0:0:0
1000103	0	0	10	11	500	0:0:0:0:0:0:0
1000104	0	0	10	11	500	0:0:0:0:0:0:0
1000105	0	0	10	11	500	0:0:0:0:0:0:0
1000106	0	0	10	11	500	0:0:0:0:0:0:0
1000201	0	0	10	12	2000	0:0:0:0:0:0:0
1000202	0	0	10	12	4500	0:0:0:0:0:0:0
1000203	0	0	10	12	1000	0:0:0:0:0:0:0
1000204	0	0	10	12	1000	0:0:0:0:0:0:0
1000205	0	0	10	12	300	0:0:0:0:0:0:0
1000206	0	0	10	12	300	0:0:0:0:0:0:0
1000207	0	0	10	12	300	0:0:0:0:0:0:0
1000208	0	0	10	12	300	0:0:0:0:0:0:0
1000209	0	0	10	12	300	0:0:0:0:0:0:0
1000301	0	0	10	14	2500	0:0:0:0:0:0:0
1000302	0	0	10	14	2000	0:0:0:0:0:0:0
1000303	0	0	10	14	1000	0:0:0:0:0:0:0
1000304	0	0	10	14	500	0:0:0:0:0:0:0
1000305	0	0	10	14	500	0:0:0:0:0:0:0
1000306	0	0	10	14	500	0:0:0:0:0:0:0
1000307	0	0	10	14	500	0:0:0:0:0:0:0
1000308	0	0	10	14	500	0:0:0:0:0:0:0
1000309	0	0	10	14	500	0:0:0:0:0:0:0
1000310	0	0	10	14	500	0:0:0:0:0:0:0
1000311	0	0	10	14	500	0:0:0:0:0:0:0
1000312	0	0	10	14	500	0:0:0:0:0:0:0
1000401	0	0	10	15	2000	0:0:0:0:0:0:0
1000402	0	0	10	15	2000	0:0:0:0:0:0:0
1000403	0	0	10	15	1500	0:0:0:0:0:0:0
1000404	0	0	10	15	1500	0:0:0:0:0:0:0
1000405	0	0	10	15	1500	0:0:0:0:0:0:0
1000406	0	0	10	15	1500	0:0:0:0:0:0:0
1000501	0	0	10	16	2000	0:0:0:0:0:0:0
1000502	0	0	10	16	2500	0:0:0:0:0:0:0
1000503	0	0	10	16	3000	0:0:0:0:0:0:0
1000504	0	0	10	16	1000	0:0:0:0:0:0:0
1000505	0	0	10	16	300	0:0:0:0:0:0:0
1000506	0	0	10	16	300	0:0:0:0:0:0:0
1000507	0	0	10	16	300	0:0:0:0:0:0:0
1000508	0	0	10	16	300	0:0:0:0:0:0:0
1000509	0	0	10	16	300	0:0:0:0:0:0:0
1000601	0	0	10	17	3000	0:0:0:0:0:0:0
1000602	0	0	10	17	2000	0:0:0:0:0:0:0
1000603	0	0	10	17	1700	0:0:0:0:0:0:0
1000604	0	0	10	17	800	0:0:0:0:0:0:0
1000605	0	0	10	17	1000	0:0:0:0:0:0:0
1000606	0	0	10	17	500	0:0:0:0:0:0:0
1000607	0	0	10	17	200	0:0:0:0:0:0:0
1000608	0	0	10	17	200	0:0:0:0:0:0:0
1000609	0	0	10	17	200	0:0:0:0:0:0:0
1000610	0	0	10	17	200	0:0:0:0:0:0:0
1000611	0	0	10	17	200	0:0:0:0:0:0:0
