id	212	minMoney	maxMoney	minHonor	maxHonor	propId	dropRate	minNumber	maxNumber																																																																																																																																																																																																																																
组ID	掉钱数	最小钱	最大钱	最小荣誉	最大荣誉	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数
10013	15	11	18	0	0	1041010002	260	1	1	1041020002	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10014	16	11	19	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10015	17	12	20	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10016	18	13	22	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10017	19	13	23	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10018	20	14	24	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10019	21	15	25	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10020	22	15	26	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10021	22	15	26	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10022	22	15	26	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10023	23	16	28	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10024	23	16	28	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10025	24	17	29	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10026	24	17	29	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10027	24	17	29	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10028	24	17	29	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10029	25	18	30	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10030	25	18	30	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10031	25	18	30	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10032	25	18	30	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10033	25	18	30	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10034	25	18	30	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10035	26	18	31	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10036	26	18	31	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10037	26	18	31	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10038	27	19	32	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10039	27	19	32	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10040	27	19	32	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10041	28	20	34	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10042	28	20	34	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10043	28	20	34	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10044	29	20	35	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10045	29	20	35	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			中型生命药水				中型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10046	29	20	35	0	0	1041010003	260	1	1	1041020003	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10047	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10048	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	2	1	2			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10049	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	2	1	2			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10050	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	2	1	2			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10051	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	2	1	2			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10052	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
	2	1	2			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10053	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10054	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10055	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10056	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10057	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10058	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10059	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10060	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10061	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10062	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10063	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10064	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10065	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10066	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10067	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10068	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10069	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10070	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10071	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			大型生命药水				大型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10072	30	21	36	0	0	1041010004	260	1	1	1041020004	260	1	1	1041000001	10	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
