id	name	level	type	iconId	minQuality	maxQuality	point	token	money	repeatNumber	bindMode	remark	eType	job	equipLocation	equipType	equipLevel	maxEquipLevel	phyAtt	phyAttRate	sptAtt	sptAttRate	phyDefWhite	phyDefGreen	phyDefBlue	phyDefPurple	phyDefRate	sptDefWhite	sptDefGreen	sptDefBlue	sptDefPurple	sptDefRate	modValueWhite	modValueGreen	power	agility	spirit	wisdom	lifePoint	magicPoint	curePoint	phySmiteRate	sptSmiteRate	phySmiteParm	sptSmiteParm	phyHurtAvoid	sptHurtAvoid	clearPhySmite	clearSptSmite	clearPhySmiteParm	clearSptSmiteParm	taskColor	modelId	startLevel	phyAttExt	sptAttExt	powerExt	agilityExt	spiritExt	wisdomExt	lifePointExt	magicPointExt	curePointExt	phySmiteRateExt	sptSmiteRateExt	phyHurtAvoidExt	sptHurtAvoidExt	phySmiteParmExt	sptSmiteParmExt	isVIP	adornBackgroud	isDel 
1050007016	邪树足球	800	1	1150007007	0	5	90000	0	0	1	0	0	0	7:14:18	0	1	1	10	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:320	1:320	1:98	1:98	1:98	1:98	1:2200	1:2200	50:400	0:0	0:0	1:98	1:98	0:0	0:0	0	0	1
1050007017	卡哇伊足球	850	1	1150007008	0	5	100000	0	0	1	0	0	0	7:14:18	0	1	1	10	2650	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:340	1:340	1:104	1:104	1:104	1:104	1:2320	1:2320	50:420	0:0	0:0	1:104	1:104	0:0	0:0	0	0	1
1050007022	心灵足球	900	1	1150007008	0	5	110000	0	0	1	0	0	0	7:14:18	0	1	1	10	2800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:360	1:360	1:110	1:110	1:110	1:110	1:2440	1:2440	50:440	0:0	0:0	1:110	1:110	0:0	0:0	0	0	1
1050007023	假面足球	1000	1	1150007001	0	5	120000	0	0	1	0	0	0	7:14:18	0	1	1	10	3100	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:400	1:400	1:116	1:116	1:116	1:116	1:2560	1:2560	50:460	0:0	0:0	1:116	1:116	0:0	0:0	0	0	1
1050007024	时间足球	1100	1	1150007002	0	5	130000	0	0	1	0	0	0	7:14:18	0	1	1	10	3400	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:440	1:440	1:122	1:122	1:122	1:122	1:2680	1:2680	50:480	0:0	0:0	1:122	1:122	0:0	0:0	0	0	1
1050007025	侵略足球	1200	1	1150007003	0	5	140000	0	0	1	0	0	0	7:14:18	0	1	1	10	3700	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:480	1:480	1:128	1:128	1:128	1:128	1:2800	1:2800	50:500	0:0	0:0	1:128	1:128	0:0	0:0	0	0	1
1050007026	雷电足球	1300	1	1150007004	0	5	150000	0	0	1	0	0	0	7:14:18	0	1	1	10	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:520	1:520	1:134	1:134	1:134	1:134	1:2920	1:2920	50:520	0:0	0:0	1:134	1:134	0:0	0:0	0	0	1
1050007027	穿孔足球	1400	1	1150007005	0	5	160000	0	0	1	0	0	0	7:14:18	0	1	1	10	4300	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:560	1:560	1:140	1:140	1:140	1:140	1:3040	1:3040	50:540	0:0	0:0	1:140	1:140	0:0	0:0	0	0	1
1050007028	巨神足球	1500	1	1150007006	0	5	170000	0	0	1	0	0	0	7:14:18	0	1	1	10	4600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:600	1:600	1:146	1:146	1:146	1:146	1:3160	1:3160	50:560	0:0	0:0	1:146	1:146	0:0	0:0	0	0	1
1050007029	怨念足球	1600	1	1150007007	0	5	180000	0	0	1	0	0	0	7:14:18	0	1	1	10	4900	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:640	1:640	1:152	1:152	1:152	1:152	1:3280	1:3280	50:580	0:0	0:0	1:152	1:152	0:0	0:0	0	0	1
1050007030	超音足球	1700	1	1150007008	0	5	190000	0	0	1	0	0	0	7:14:18	0	1	1	10	5200	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:680	1:680	1:158	1:158	1:158	1:158	1:3400	1:3400	50:600	0:0	0:0	1:158	1:158	0:0	0:0	0	0	1
1050007031	黑暗足球	1800	1	1150007008	0	5	200000	0	0	1	0	0	0	7:14:18	0	1	1	10	5500	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:720	1:720	1:164	1:164	1:164	1:164	1:3520	1:3520	50:620	0:0	0:0	1:164	1:164	0:0	0:0	0	0	1
1050007032	炎火足球	1900	1	1150007008	0	5	210000	0	0	1	0	0	0	7:14:18	0	1	1	10	5800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:760	1:760	1:170	1:170	1:170	1:170	1:3680	1:3680	50:640	0:0	0:0	1:170	1:170	0:0	0:0	0	0	1
1050007033	传奇足球	2000	1	1150007008	0	5	220000	0	0	1	0	0	0	7:14:18	0	1	1	10	6100	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:800	1:800	1:176	1:176	1:176	1:176	1:3800	1:3800	50:660	0:0	0:0	1:176	1:176	0:0	0:0	0	0	1
1050007042	上古邪树足球	2100	1	1150007001	0	5	230000	0	0	1	0	0	0	7:14:18	0	1	1	10	6400	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:840	1:840	1:182	1:182	1:182	1:182	1:3920	1:3920	50:680	0:0	0:0	1:182	1:182	0:0	0:0	0	0	1
1050007043	邪恶之灵足球	2300	1	1150007002	0	5	240000	0	0	1	0	0	0	7:14:18	0	1	1	10	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:920	1:920	1:194	1:194	1:194	1:194	1:4160	1:4160	50:720	0:0	0:0	1:194	1:194	0:0	0:0	0	0	1
1050007044	镇山魔王足球	2500	1	1150007003	0	5	250000	0	0	1	0	0	0	7:14:18	0	1	1	10	7600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:1000	1:1000	1:206	1:206	1:206	1:206	1:4400	1:4400	50:760	0:0	0:0	1:206	1:206	0:0	0:0	0	0	1
1050007045	远古邪树足球	2700	1	1150007004	0	5	260000	0	0	1	0	0	0	7:14:18	0	1	1	10	8200	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:1080	1:1080	1:218	1:218	1:218	1:218	1:4640	1:4640	50:800	0:0	0:0	1:218	1:218	0:0	0:0	0	0	1
1050007046	袖珍怪猫足球	2900	1	1150007005	0	5	270000	0	0	1	0	0	0	7:14:18	0	1	1	10	8800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:1160	1:1160	1:230	1:230	1:230	1:230	1:4880	1:4880	50:840	0:0	0:0	1:230	1:230	0:0	0:0	0	0	1
1050007047	月玲珑足球	3200	1	1150007006	0	5	280000	0	0	1	0	0	0	7:14:18	0	1	1	10	9215	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:1240	1:1240	1:242	1:242	1:242	1:242	1:5120	1:5120	50:880	0:0	0:0	1:242	1:242	0:0	0:0	0	0	1
1050007048	疯牛足球	3500	1	1150007007	0	5	290000	0	0	1	0	0	0	7:14:18	0	1	1	10	9540	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:1320	1:1320	1:254	1:254	1:254	1:254	1:5360	1:5360	50:920	0:0	0:0	1:254	1:254	0:0	0:0	0	0	1
1050007049	深渊足球	3800	1	1150007008	0	5	300000	0	0	1	0	0	0	7:14:18	0	1	1	10	9775	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:1320	1:1320	1:254	1:254	1:254	1:254	1:5360	1:5360	50:920	0:0	0:0	1:254	1:254	0:0	0:0	0	0	1
1050007050	海底邪树足球	4100	1	1150007008	0	5	310000	0	0	1	0	0	0	7:14:18	0	1	1	10	10540	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:1320	1:1320	1:254	1:254	1:254	1:254	1:5360	1:5360	50:920	0:0	0:0	1:254	1:254	0:0	0:0	0	0	1
1050007051	森林足球	4400	1	1150007008	0	5	320000	0	0	1	0	0	0	7:14:18	0	1	1	10	11305	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:1400	1:1400	1:260	1:260	1:260	1:260	1:5600	1:5600	50:960	0:0	0:0	1:260	1:260	0:0	0:0	0	0	1
1050007018	环保足球	150	1	1150007004	0	5	20000	0	0	1	0	0	0	7:14:18	0	1	1	10	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:120	1:120	1:38	1:38	1:38	1:38	1:1000	1:1000	50:200	0:0	0:0	1:38	1:38	0:0	0:0	0	0	1
1050007019	火星足球	350	1	1150007008	0	5	40000	0	0	1	0	0	0	7:14:18	0	1	1	10	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:200	1:200	1:62	1:62	1:62	1:62	1:1480	1:1480	50:280	0:0	0:0	1:62	1:62	0:0	0:0	0	0	1
1050007020	彗星足球	550	1	1150007003	0	5	70000	0	0	1	0	0	0	7:14:18	0	1	1	10	2200	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:280	1:280	1:86	1:86	1:86	1:86	1:1960	1:1960	50:360	0:0	0:0	1:86	1:86	0:0	0:0	0	0	1
1050007021	银河足球	750	1	1150007007	0	5	110000	0	0	1	0	0	0	7:14:18	0	1	1	10	2800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:360	1:360	1:110	1:110	1:110	1:110	1:2440	1:2440	50:440	0:0	0:0	1:110	1:110	0:0	0:0	0	0	1
1050007036	青龙足球	1000	1	1150007004	0	5	140000	0	0	1	0	0	0	7:14:18	0	1	1	10	3700	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:480	1:480	1:128	1:128	1:128	1:128	1:2800	1:2800	50:500	0:0	0:0	1:128	1:128	0:0	0:0	0	0	1
1050007037	白虎足球	1200	1	1150007008	0	5	170000	0	0	1	0	0	0	7:14:18	0	1	1	10	4600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:600	1:600	1:146	1:146	1:146	1:146	1:3160	1:3160	50:560	0:0	0:0	1:146	1:146	0:0	0:0	0	0	1
1050007038	朱雀足球	1500	1	1150007003	0	5	200000	0	0	1	0	0	0	7:14:18	0	1	1	10	5200	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:720	1:720	1:164	1:164	1:164	1:164	1:3520	1:3520	50:620	0:0	0:0	1:164	1:164	0:0	0:0	0	0	1
1050007039	玄武足球	1700	1	1150007007	0	5	230000	0	0	1	0	0	0	7:14:18	0	1	1	10	6100	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:800	1:800	1:176	1:176	1:176	1:176	1:3800	1:3800	50:660	0:0	0:0	1:176	1:176	0:0	0:0	0	0	1
1050007054	缤纷足球	2100	1	1150007004	0	5	260000	0	0	1	0	0	0	7:14:18	0	1	1	10	7600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:880	1:880	1:188	1:188	1:188	1:188	1:4080	1:4080	50:720	0:0	0:0	1:188	1:188	0:0	0:0	0	0	1
1050007055	异能足球	2500	1	1150007008	0	5	290000	0	0	1	0	0	0	7:14:18	0	1	1	10	8800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:960	1:960	1:200	1:200	1:200	1:200	1:4360	1:4360	50:780	0:0	0:0	1:200	1:200	0:0	0:0	0	0	1
1050007056	黑蝙蝠足球	2900	1	1150007003	0	5	320000	0	0	1	0	0	0	7:14:18	0	1	1	10	9540	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:1040	1:1041	1:212	1:212	1:212	1:212	1:4640	1:4640	50:840	0:0	0:0	1:212	1:212	0:0	0:0	0	0	1
1050007057	街霸足球	3500	1	1150007007	0	5	350000	0	0	1	0	0	0	7:14:18	0	1	1	10	10540	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:1120	1:1120	1:224	1:224	1:224	1:224	1:4920	1:4920	50:900	0:0	0:0	1:224	1:224	0:0	0:0	0	0	1
1050007060	绝战足球	4100	1	1150007004	0	5	400000	0	0	1	0	0	0	7:14:18	0	1	1	10	12070	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:1200	1:1199	1:236	1:236	1:236	1:236	1:5200	1:5200	50:960	0:0	0:0	1:236	1:236	0:0	0:0	0	0	1
1050007034	无双足球	350	1	1150007004	0	5	60000	0	0	1	0	0	0	7:14:18	0	1	1	10	2650	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	5	1:340	1:340	1:104	1:104	1:104	1:104	1:2320	1:2320	50:420	0:0	0:0	1:104	1:104	0:0	0:0	0	0	1
1050007035	天下无双足球	750	1	1150007007	0	5	240000	0	0	1	0	0	0	7:14:18	0	1	1	10	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	5	1:520	1:520	1:134	1:134	1:134	1:134	1:2960	1:2960	50:520	0:0	0:0	1:134	1:134	0:0	0:0	0	0	1
1050007040	天上天下无双足球	1000	1	1150007004	0	5	280000	0	0	1	0	0	0	7:14:18	0	1	1	10	5200	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	5	1:720	1:720	1:164	1:164	1:164	1:164	1:3520	1:3520	50:620	0:0	0:0	1:164	1:164	0:0	0:0	0	0	1
1050007041	天上天下天地无双足球	1500	1	1150007007	0	5	320000	0	0	1	0	0	0	7:14:18	0	1	1	10	7320	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	5	1:800	1:800	1:176	1:176	1:176	1:176	1:3800	1:3800	50:660	0:0	0:0	1:176	1:176	0:0	0:0	0	0	1
1050007052	绝世靓女足球	1000	1	1150007004	0	5	280000	0	0	1	0	0	0	7:14:18	0	1	1	10	6100	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	5	1:720	1:720	1:164	1:164	1:164	1:164	1:3520	1:3520	50:620	0:0	0:0	1:164	1:164	0:0	0:0	0	0	1
1050007053	流行巨星足球	2000	1	1150007007	0	5	350000	0	0	1	0	0	0	7:14:18	0	1	1	10	8052	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	5	1:1080	1:1080	1:218	1:218	1:218	1:218	1:4640	1:4640	50:800	0:0	0:0	1:218	1:218	0:0	0:0	0	0	1
1050007058	黑骑士足球	2000	1	1150007004	0	5	350000	0	0	1	0	0	0	7:14:18	0	1	1	10	8800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	5	1:1080	1:1080	1:218	1:218	1:218	1:218	1:4640	1:4640	50:800	0:0	0:0	1:218	1:218	0:0	0:0	0	0	1
1050007059	格斗天王足球	2900	1	1150007007	0	5	410000	0	0	1	0	0	0	7:14:18	0	1	1	10	10540	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	5	1:1440	1:1440	1:272	1:272	1:272	1:272	1:5760	1:5760	50:980	0:0	0:0	1:272	1:272	0:0	0:0	0	0	1
1050007061	初心足球	200	1	1150007004	0	5	20000	0	0	1	0	0	0	7:14:18	0	1	1	10	1900	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	5	1:540	1:540	1:180	1:180	1:180	1:180	1:4000	1:4000	100:500	50:100	50:100	1:180	1:180	100:500	100:500	0	0	1
1050007062	熟练足球	1200	1	1150007008	0	5	200000	0	0	1	0	0	0	7:14:18	0	1	1	10	5400	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	5	1:540	1:540	1:180	1:180	1:180	1:180	1:8000	1:8000	100:500	50:100	50:100	1:180	1:180	100:500	100:500	0	0	1
1050007063	会心足球	2200	1	1150007003	0	5	600000	0	0	1	0	0	0	7:14:18	0	1	1	10	8200	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	6	1:720	1:720	1:200	1:200	1:200	1:200	1:11200	1:11200	100:800	50:100	50:100	1:200	1:200	100:800	100:800	0	0	1
