id	name	iconId	level	dataType	dataPattern	effectPoint	effectTarget	petJob	order	skillType	isVIP
1032130807	铜墙铁壁	1132130004	7	24:25:23	1:1:1	200:1000:500	1	4:104:0	1	9	0
1032130808	铜墙铁壁	1132130004	8	24:25:23	1:1:1	200:1000:0	1	4:104:0	1	9	0
1032130809	铜墙铁壁	1132130004	9	24:25:23	1:1:1	200:1000:0	1	104:0:0	1	9	0
1032130810	铜墙铁壁	1132130004	10	24:25:23	1:1:1	200:1000:0	1	104:0:0	1	9	0
1032130811	铜墙铁壁	1132130004	11	24:25:23	1:1:1	200:1000:0	1	104:0:0	1	9	0
1032130812	铜墙铁壁	1132130004	12	24:25:23	1:1:1	200:1000:500	1	104:0:0	1	9	0
1032130813	铜墙铁壁	1132130004	13	24:25:23	1:1:1	200:1000:0	1	104:0:0	1	9	0
1032130814	铜墙铁壁	1132130004	14	24:25:23	1:1:1	200:1000:0	1	104:0:0	1	9	0
1032130815	铜墙铁壁	1132130004	15	24:25:23	1:1:1	200:1000:0	1	104:0:0	1	9	0
1032130901	经验吸收	1132130003	1	22:0:0	2:0:0	4000:0:0	1	4:104:0	3	10	0
1032130902	经验吸收	1132130003	2	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130903	经验吸收	1132130003	3	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130904	经验吸收	1132130003	4	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130905	经验吸收	1132130003	5	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130906	经验吸收	1132130003	6	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130907	经验吸收	1132130003	7	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130908	经验吸收	1132130003	8	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130909	经验吸收	1132130003	9	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130910	经验吸收	1132130003	10	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130911	经验吸收	1132130003	11	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130912	经验吸收	1132130003	12	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130913	经验吸收	1132130003	13	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130914	经验吸收	1132130003	14	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032130915	经验吸收	1132130003	15	22:0:0	2:0:0	200:0:0	1	4:104:0	3	10	0
1032131001	大力前踢	1132130006	1	6:0:0	1:0:0	3000:0:0	1	5:105:0	1	11	0
1032131002	大力前踢	1132130006	2	6:0:0	1:0:0	1000:0:0	1	5:105:0	1	11	0
1032131003	大力前踢	1132130006	3	6:0:0	1:0:0	1000:0:0	1	5:105:0	1	11	0
1032131004	大力前踢	1132130006	4	6:12:0	1:1:0	0:600:0	1	5:105:0	1	11	0
1032131005	大力前踢	1132130006	5	6:12:0	1:1:0	0:600:0	1	5:105:0	1	11	0
1032131006	大力前踢	1132130006	6	6:12:0	1:1:0	0:600:0	1	5:105:0	1	11	0
1032131007	大力前踢	1132130006	7	6:12:0	1:1:0	0:600:0	1	5:105:0	1	11	0
1032131008	大力前踢	1132130006	8	6:12:0	1:1:0	0:600:0	1	5:105:0	1	11	0
1032131009	大力前踢	1132130006	9	6:12:0	1:1:0	1000:0:0	1	105:0:0	1	11	0
1032131010	大力前踢	1132130006	10	6:12:0	1:1:0	1000:0:0	1	105:0:0	1	11	0
1032131011	大力前踢	1132130006	11	6:12:0	1:1:0	1000:0:0	1	105:0:0	1	11	0
1032131012	大力前踢	1132130006	12	6:12:0	1:1:0	0:600:0	1	105:0:0	1	11	0
1032131013	大力前踢	1132130006	13	6:12:0	1:1:0	0:600:0	1	105:0:0	1	11	0
1032131014	大力前踢	1132130006	14	6:12:0	1:1:0	0:600:0	1	105:0:0	1	11	0
1032131015	大力前踢	1132130006	15	6:12:0	1:1:0	0:600:0	1	105:0:0	1	11	0
1032131101	野蛮冲撞	1132130007	1	20:21:12	1:1:1	400:400:300	1	5:105:0	2	12	1
1032131102	野蛮冲撞	1132130007	2	20:21:12	1:1:1	400:400:300	1	5:105:0	2	12	1
1032131103	野蛮冲撞	1132130007	3	20:21:12	1:1:1	400:400:400	1	5:105:0	2	12	1
1032131104	野蛮冲撞	1132130007	4	20:21:12	1:1:1	0:0:600	1	5:105:0	2	12	1
1032131105	野蛮冲撞	1132130007	5	20:21:12	1:1:1	0:0:600	1	5:105:0	2	12	1
1032131106	野蛮冲撞	1132130007	6	20:21:12	1:1:1	0:0:600	1	5:105:0	2	12	1
1032131107	野蛮冲撞	1132130007	7	20:21:12	1:1:1	0:0:600	1	5:105:0	2	12	1
1032131108	野蛮冲撞	1132130007	8	20:21:12	1:1:1	0:0:600	1	5:105:0	2	12	1
1032131109	野蛮冲撞	1132130007	9	20:21:12	1:1:1	200:200:0	1	105:0:0	2	12	1
1032131110	野蛮冲撞	1132130007	10	20:21:12	1:1:1	200:200:0	1	105:0:0	2	12	1
1032131111	野蛮冲撞	1132130007	11	20:21:12	1:1:1	200:200:0	1	105:0:0	2	12	1
1032131112	野蛮冲撞	1132130007	12	20:21:12	1:1:1	0:0:600	1	105:0:0	2	12	1
1032131113	野蛮冲撞	1132130007	13	20:21:12	1:1:1	0:0:600	1	105:0:0	2	12	1
1032131114	野蛮冲撞	1132130007	14	20:21:12	1:1:1	0:0:600	1	105:0:0	2	12	1
1032131115	野蛮冲撞	1132130007	15	20:21:12	1:1:1	0:0:600	1	105:0:0	2	12	1
1032131201	经验吸收	1132130003	1	22:0:0	2:0:0	4000:0:0	1	5:105:0	3	13	0
1032131202	经验吸收	1132130003	2	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131203	经验吸收	1132130003	3	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131204	经验吸收	1132130003	4	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131205	经验吸收	1132130003	5	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131206	经验吸收	1132130003	6	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131207	经验吸收	1132130003	7	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131208	经验吸收	1132130003	8	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131209	经验吸收	1132130003	9	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131210	经验吸收	1132130003	10	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131211	经验吸收	1132130003	11	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131212	经验吸收	1132130003	12	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131213	经验吸收	1132130003	13	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131214	经验吸收	1132130003	14	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131215	经验吸收	1132130003	15	22:0:0	2:0:0	200:0:0	1	5:105:0	3	13	0
1032131301	大力前踢	1132130006	1	8:0:0	1:0:0	3000:0:0	1	6:106:0	1	14	0
1032131302	大力前踢	1132130006	2	8:0:0	1:0:0	1000:0:0	1	6:106:0	1	14	0
1032131303	大力前踢	1132130006	3	8:0:0	1:0:0	1000:0:0	1	6:106:0	1	14	0
1032131304	大力前踢	1132130006	4	8:13:0	1:1:0	0:600:0	1	6:106:0	1	14	0
1032131305	大力前踢	1132130006	5	8:13:0	1:1:0	0:600:0	1	6:106:0	1	14	0
1032131306	大力前踢	1132130006	6	8:13:0	1:1:0	0:600:0	1	6:106:0	1	14	0
1032131307	大力前踢	1132130006	7	8:13:0	1:1:0	0:600:0	1	6:106:0	1	14	0
1032131308	大力前踢	1132130006	8	8:13:0	1:1:0	0:600:0	1	6:106:0	1	14	0
1032131309	大力前踢	1132130006	9	8:13:0	1:1:0	1000:0:0	1	106:0:0	1	14	0
1032131310	大力前踢	1132130006	10	8:13:0	1:1:0	1000:0:0	1	106:0:0	1	14	0
1032131311	大力前踢	1132130006	11	8:13:0	1:1:0	1000:0:0	1	106:0:0	1	14	0
1032131312	大力前踢	1132130006	12	8:13:0	1:1:0	0:600:0	1	106:0:0	1	14	0
1032131313	大力前踢	1132130006	13	8:13:0	1:1:0	0:600:0	1	106:0:0	1	14	0
1032131314	大力前踢	1132130006	14	8:13:0	1:1:0	0:600:0	1	106:0:0	1	14	0
1032131315	大力前踢	1132130006	15	8:13:0	1:1:0	0:600:0	1	106:0:0	1	14	0
1032131401	野蛮冲撞	1132130007	1	20:21:13	1:1:1	400:400:300	1	6:106:0	2	15	1
1032131402	野蛮冲撞	1132130007	2	20:21:13	1:1:1	400:400:300	1	6:106:0	2	15	1
1032131403	野蛮冲撞	1132130007	3	20:21:13	1:1:1	400:400:400	1	6:106:0	2	15	1
1032131404	野蛮冲撞	1132130007	4	20:21:13	1:1:1	0:0:600	1	6:106:0	2	15	1
1032131405	野蛮冲撞	1132130007	5	20:21:13	1:1:1	0:0:600	1	6:106:0	2	15	1
1032131406	野蛮冲撞	1132130007	6	20:21:13	1:1:1	0:0:600	1	6:106:0	2	15	1
1032131407	野蛮冲撞	1132130007	7	20:21:13	1:1:1	0:0:600	1	6:106:0	2	15	1
1032131408	野蛮冲撞	1132130007	8	20:21:13	1:1:1	0:0:600	1	6:106:0	2	15	1
1032131409	野蛮冲撞	1132130007	9	20:21:13	1:1:1	200:200:0	1	106:0:0	2	15	1
1032131410	野蛮冲撞	1132130007	10	20:21:13	1:1:1	200:200:0	1	106:0:0	2	15	1
1032131411	野蛮冲撞	1132130007	11	20:21:13	1:1:1	200:200:0	1	106:0:0	2	15	1
1032131412	野蛮冲撞	1132130007	12	20:21:13	1:1:1	0:0:600	1	106:0:0	2	15	1
1032131413	野蛮冲撞	1132130007	13	20:21:13	1:1:1	0:0:600	1	106:0:0	2	15	1
1032131414	野蛮冲撞	1132130007	14	20:21:13	1:1:1	0:0:600	1	106:0:0	2	15	1
1032131415	野蛮冲撞	1132130007	15	20:21:13	1:1:1	0:0:600	1	106:0:0	2	15	1
1032131501	经验吸收	1132130003	1	22:0:0	2:0:0	4000:0:0	1	6:106:0	3	16	0
1032131502	经验吸收	1132130003	2	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131503	经验吸收	1132130003	3	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131504	经验吸收	1132130003	4	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131505	经验吸收	1132130003	5	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131506	经验吸收	1132130003	6	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131507	经验吸收	1132130003	7	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131508	经验吸收	1132130003	8	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131509	经验吸收	1132130003	9	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131510	经验吸收	1132130003	10	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131511	经验吸收	1132130003	11	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131512	经验吸收	1132130003	12	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131513	经验吸收	1132130003	13	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131514	经验吸收	1132130003	14	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131515	经验吸收	1132130003	15	22:0:0	2:0:0	200:0:0	1	6:106:0	3	16	0
1032131601	灵动舞步	1132130008	1	20:21:23	1:1:1	600:600:600	1	7:107:0	1	17	0
1032131602	灵动舞步	1132130008	2	20:21:23	1:1:1	200:200:0	1	7:107:0	1	17	0
1032131603	灵动舞步	1132130008	3	20:21:23	1:1:1	200:200:0	1	7:107:0	1	17	0
1032131604	灵动舞步	1132130008	4	24:25:23	1:1:1	200:1000:600	1	7:107:0	1	17	0
1032131605	灵动舞步	1132130008	5	24:25:23	1:1:1	200:1000:0	1	7:107:0	1	17	0
1032131606	灵动舞步	1132130008	6	24:25:23	1:1:1	200:1000:0	1	7:107:0	1	17	0
1032131607	灵动舞步	1132130008	7	24:25:23	1:1:1	200:1000:600	1	7:107:0	1	17	0
1032131608	灵动舞步	1132130008	8	24:25:23	1:1:1	200:1000:0	1	7:107:0	1	17	0
1032131609	灵动舞步	1132130008	9	24:25:23	1:1:1	200:1000:0	1	107:0:0	1	17	0
1032131610	灵动舞步	1132130008	10	24:25:23	1:1:1	200:1000:0	1	107:0:0	1	17	0
1032131611	灵动舞步	1132130008	11	24:25:23	1:1:1	200:1000:0	1	107:0:0	1	17	0
1032131612	灵动舞步	1132130008	12	24:25:23	1:1:1	200:1000:600	1	107:0:0	1	17	0
1032131613	灵动舞步	1132130008	13	24:25:23	1:1:1	200:1000:0	1	107:0:0	1	17	0
1032131614	灵动舞步	1132130008	14	24:25:23	1:1:1	200:1000:0	1	107:0:0	1	17	0
1032131615	灵动舞步	1132130008	15	24:25:23	1:1:1	200:1000:0	1	107:0:0	1	17	0
1032131701	经验吸收	1132130003	1	22:0:0	2:0:0	4000:0:0	1	7:107:0	3	18	0
1032131702	经验吸收	1132130003	2	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131703	经验吸收	1132130003	3	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131704	经验吸收	1132130003	4	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131705	经验吸收	1132130003	5	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131706	经验吸收	1132130003	6	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131707	经验吸收	1132130003	7	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131708	经验吸收	1132130003	8	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131709	经验吸收	1132130003	9	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131710	经验吸收	1132130003	10	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131711	经验吸收	1132130003	11	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131712	经验吸收	1132130003	12	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131713	经验吸收	1132130003	13	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131714	经验吸收	1132130003	14	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
1032131715	经验吸收	1132130003	15	22:0:0	2:0:0	200:0:0	1	7:107:0	3	18	0
