id	name	level	type	dataType	dataPattern	effectPoint	cureType
1034020183	360%攻击	1	1	1	2	-360	0
1034020184	365%攻击	1	1	1	2	-365	0
1034020185	370%攻击	1	1	1	2	-370	0
1034020186	375%攻击	1	1	1	2	-375	0
1034020187	380%攻击	1	1	1	2	-380	0
1034020188	223%攻击	1	1	1	2	-223	0
1034020189	226%攻击	1	1	1	2	-226	0
1034020190	232%攻击	1	1	1	2	-232	0
1034020191	238%攻击	1	1	1	2	-238	0
1034020192	241%攻击	1	1	1	2	-241	0
1034020193	244%攻击	1	1	1	2	-244	0
1034020194	247%攻击	1	1	1	2	-247	0
1034020195	400%攻击	1	1	1	2	-400	0
1034020196	420%攻击	1	1	1	2	-420	0
1034020197	440%攻击	1	1	1	2	-440	0
1034020198	460%攻击	1	1	1	2	-460	0
1034020301	固定伤害	1	3	1	1	-100	1
1034020302	固定伤害	1	3	1	1	-150	1
1034020303	固定伤害	2	3	1	1	-200	1
1034020304	固定伤害	3	3	1	1	-250	1
1034020305	固定伤害	4	3	1	1	-300	1
1034020306	固定伤害	5	3	1	1	-350	1
1034020307	固定伤害	6	3	1	1	-400	1
1034020308	固定伤害	3	3	1	1	-600	1
1034020309	固定伤害	4	3	1	1	-500	1
1034020310	固定伤害	2	3	1	1	-50	1
1034020311	固定伤害	3	3	1	1	-75	1
1034020312	固定伤害	4	3	1	1	-100	1
1034020313	固定伤害	5	3	1	1	-450	1
1034020314	固定伤害	6	3	1	1	-800	1
1034020315	固定伤害	7	3	1	1	-1500	1
1034020316	固定伤害	8	3	1	1	-2000	1
1034020317	固定伤害	1	3	1	1	-700	1
1034020318	固定伤害	2	3	1	1	-800	1
1034020319	固定伤害	3	3	1	1	-900	1
1034020320	固定伤害	4	3	1	1	-1000	1
1034020321	固定伤害	5	3	1	1	-2500	1
1034020322	固定伤害	6	3	1	1	-3000	1
1034020323	固定伤害	7	3	1	1	-4500	1
1034020324	固定伤害	8	3	1	1	-6000	1
1034020325	固定伤害	1	3	1	1	-7500	1
1034020326	固定伤害（怪物）	2	3	1	1	-45000	0
1034020327	固定伤害	3	3	1	1	-9000	1
1034020328	固定伤害（怪物）	4	3	1	1	-5000	0
1034020340	固定伤害	1	3	1	1	-15000	1
1034020329	固定伤害	1	3	1	1	-20000	1
1034020330	固定伤害	2	3	1	1	-25000	1
1034020331	固定伤害	3	3	1	1	-30000	1
1034020332	固定伤害	4	3	1	1	-35000	1
1034020339	固定伤害	5	3	1	1	-40000	1
1034020341	固定伤害	1	3	1	1	-3500	1
1034020342	固定伤害	1	3	1	1	-12000	1
1034020343	固定伤害	1	3	1	1	-17000	1
1034020344	固定伤害	1	3	1	1	-22000	1
1034020345	固定伤害	1	3	1	1	-27000	1
1034020346	固定伤害	1	3	1	1	-32000	1
1034020347	固定伤害	1	3	1	1	-18000	1
1034020348	固定伤害	1	3	1	1	-21000	1
1034020349	固定伤害	1	3	1	1	-24000	1
1034020350	固定伤害	1	3	1	1	-27000	1
1034020351	固定伤害	1	3	1	1	-30000	1
1034020352	固定伤害	1	3	1	1	-33000	1
1034020353	固定伤害	1	3	1	1	-36000	1
1034020354	固定伤害	1	3	1	1	-39000	1
1034020355	固定伤害	1	3	1	1	-40000	1
1034020356	固定伤害	1	3	1	1	-41000	1
1034020357	固定伤害	1	3	1	1	-42000	1
1034020358	固定伤害	1	3	1	1	-43000	1
1034020359	固定伤害	1	3	1	1	-44000	1
1034020360	固定伤害	1	3	1	1	-45000	1
1034020361	固定伤害	1	3	1	1	-37000	1
1034020362	固定伤害	1	3	1	1	-38000	1
1034020363	固定伤害	1	3	1	1	-8000	1
1034020364	固定伤害	1	3	1	1	-11000	1
1034020365	固定伤害	1	3	1	1	-14000	1
1034020366	固定伤害	1	3	1	1	-17000	1
1034020367	固定伤害	1	3	1	1	-20000	1
1034020368	固定伤害	1	3	1	1	-23000	1
1034020369	固定伤害	1	3	1	1	-26000	1
1034020370	固定伤害	1	3	1	1	-29000	1
1034020371	固定伤害	1	3	1	1	-32000	1
1034020372	固定伤害	1	3	1	1	-33000	1
1034020373	固定伤害	1	3	1	1	-34000	1
1034020374	固定伤害	1	3	1	1	-35000	1
1034020375	固定伤害	1	3	1	1	-36000	1
1034020376	固定伤害	1	3	1	1	-37000	1
1034020377	固定伤害	1	3	1	1	-38000	1
1034020378	固定伤害	1	3	1	1	-10000000	1
1034020379	固定伤害（怪物）	1	3	1	1	-30000	0
1034020380	固定伤害（怪物）	1	3	1	1	-100000	0
1034020381	固定伤害（怪物）	1	3	1	1	-180000	0
1034020382	固定伤害（怪物）	1	3	1	1	-280000	0
1034020383	固定伤害（怪物）	1	3	1	1	-400000	0
1034020384	固定伤害（怪物）	1	3	1	1	-20000	0
1034020385	固定伤害（怪物）	1	3	1	1	-80000	0
1034020386	固定伤害（怪物）	1	3	1	1	-150000	0
1034020387	固定伤害（怪物）	1	3	1	1	-250000	0
1034020388	固定伤害（怪物）	1	3	1	1	-350000	0
1034020389	固定伤害	1	3	1	1	-47000	1
1034020390	固定伤害	1	3	1	1	-49000	1
1034020391	固定伤害	1	3	1	1	-52000	1
1034020392	固定伤害	1	3	1	1	-46000	1
1034020393	固定伤害	1	3	1	1	-48000	1
1034020394	固定伤害	1	3	1	1	-50000	1
1034020395	固定伤害	1	3	1	1	-28000	1
1034020333	固定百分比伤害	1	11	1	2	-10	0
1034020334	固定百分比伤害	2	11	1	2	-12	0
1034020335	固定百分比伤害	3	11	1	2	-14	0
1034020336	固定百分比伤害	4	11	1	2	-16	0
1034020337	固定百分比伤害	5	11	1	2	-18	0
1034020338	固定百分比伤害	6	11	1	2	-20	0
1034020396	固定百分比伤害	7	11	1	2	-30	0
1034020397	固定伤害（怪物）	1	3	1	1	-500000	0
1034020398	固定伤害（怪物）	1	3	1	1	-600000	0
1034020399	固定伤害（怪物）	1	3	1	1	-1000000	0
1034020501	调用精神伤害	1	5	1	2	-220	0
1034010601	复活	1	6	0	2	20	0
1034010602	复活	2	6	0	2	35	0
1034010201	加血	1	2	1	1	3000	1
1034010202	加血	2	2	1	1	5000	1
1034010203	加血	3	2	1	1	7000	1
1034010204	加血	4	2	1	1	9000	1
1034010228	急救	1	2	1	1	2000	1
1034010206	急救	2	2	1	1	4000	1
1034010229	急救	3	2	1	1	6000	1
1034010233	急救	4	2	1	1	8000	1
1034010234	急救	5	2	1	1	10000	1
1034010236	急救	6	2	1	1	12000	1
1034010237	急救	7	2	1	1	14000	1
1034010238	急救	8	2	1	1	16000	1
1034010239	急救	9	2	1	1	18000	1
1034010240	急救	10	2	1	1	20000	1
1034010207	高级急救	1	2	1	1	24000	1
1034010230	高级急救	2	2	1	1	28000	1
1034010231	高级急救	3	2	1	1	32000	1
1034010232	高级急救	4	2	1	1	36000	1
1034010244	高级急救	5	2	1	1	40000	1
1034010245	高级急救	6	2	1	1	44000	1
1034010246	高级急救	7	2	1	1	48000	1
1034010260	高级急救	8	2	1	1	52000	1
1034010261	高级急救	9	2	1	1	56000	1
1034010262	高级急救	10	2	1	1	60000	1
1034010271	超级急救	1	2	1	1	30000	1
1034010272	超级急救	2	2	1	1	34000	1
1034010273	超级急救	3	2	1	1	38000	1
1034010274	超级急救	4	2	1	1	42000	1
1034010275	超级急救	5	2	1	1	46000	1
1034010276	超级急救	6	2	1	1	50000	1
1034010277	超级急救	7	2	1	1	54000	1
1034010278	超级急救	8	2	1	1	58000	1
1034010279	超级急救	9	2	1	1	62000	1
1034010280	超级急救	10	2	1	1	66000	1
1034010281	超级急救	11	2	1	1	70000	1
1034010282	超级急救	12	2	1	1	74000	1
1034010283	超级急救	13	2	1	1	78000	1
1034010284	超级急救	14	2	1	1	82000	1
1034010285	超级急救	15	2	1	1	86000	1
1034010286	超级急救	16	2	1	1	90000	1
1034010299	超级急救术	1	2	1	1	70000	1
1034010300	超级急救术	2	2	1	1	80000	1
1034010301	超级急救术	3	2	1	1	90000	1
1034010302	超级急救术	4	2	1	1	100000	1
1034010253	高级连锁注射	1	2	1	1	10000	1
1034010254	高级连锁注射	2	2	1	1	11000	1
1034010255	高级连锁注射	3	2	1	1	12000	1
1034010256	高级连锁注射	4	2	1	1	13000	1
1034010257	高级连锁注射	5	2	1	1	14000	1
1034010258	高级连锁注射	6	2	1	1	15000	1
1034010259	高级连锁注射	7	2	1	1	16000	1
1034010263	高级连锁注射	8	2	1	1	17000	1
1034010264	高级连锁注射	9	2	1	1	18000	1
1034010265	高级连锁注射	10	2	1	1	19000	1
1034010287	超级连锁注射	1	2	1	1	15000	1
1034010288	超级连锁注射	2	2	1	1	18000	1
1034010289	超级连锁注射	3	2	1	1	21000	1
1034010290	超级连锁注射	4	2	1	1	24000	1
1034010291	超级连锁注射	5	2	1	1	27000	1
1034010292	超级连锁注射	6	2	1	1	30000	1
1034010303	超级连锁救治	1	2	1	1	28000	1
1034010304	超级连锁救治	2	2	1	1	32000	1
1034010305	超级连锁救治	3	2	1	1	33000	1
1034010306	超级连锁救治	4	2	1	1	34000	1
1034010208	特效生命药水	6	2	1	1	20000	0
1034010209	巨型生命药水	7	2	1	1	30000	0
1034010210	超级血瓶	8	2	1	1	40000	0
1034010211	巨型血瓶	9	2	1	1	45000	0
1034010212	秘制血瓶	10	2	1	1	50000	0
1034010213	超小型生命药水	1	2	1	1	2000	0
1034010214	小型生命药水	2	2	1	1	4000	0
1034010215	中型生命药水	3	2	1	1	8000	0
1034010216	大型生命药水	4	2	1	1	12000	0
1034010217	超大型生命药水	5	2	1	1	16000	0
1034010247	五万点生命药水	11	2	1	1	50000	0
1034010248	十万点生命药水	12	2	1	1	100000	0
1034010249	二十万点生命药水	13	2	1	1	200000	0
1034010267	果汁（三十万生命）	1	2	1	1	300000	0
1034010268	浓缩果汁（五十万生命）	1	2	1	1	500000	0
1034010295	八十万点生命药水	1	2	1	1	800000	0
1034010269	红枣	1	2	1	1	520000	0
1034010270	精致红枣	1	2	1	1	1314000	0
1034010241	怪物回血	1	2	1	1	15000	0
1034010242	怪物回血	2	2	1	1	18000	0
1034010218	超小型精力药水	1	2	2	1	2000	0
1034010219	小型精力药水	2	2	2	1	4000	0
1034010220	中型精力药水	3	2	2	1	8000	0
1034010221	大型精力药水	4	2	2	1	12000	0
1034010222	超大型精力药水	5	2	2	1	16000	0
1034010223	特效精力药水	6	2	2	1	20000	0
1034010224	巨型精力药水	7	2	2	1	30000	0
1034010225	超级蓝瓶	8	2	2	1	40000	0
1034010226	巨型蓝瓶	9	2	2	1	45000	0
1034010227	秘制蓝瓶	10	2	2	1	50000	0
1034010250	五万点精力药水	11	2	2	1	50000	0
1034010251	十万点精力药水	12	2	2	1	100000	0
1034010252	二十万点精力药水	13	2	2	1	200000	0
1034010294	五十万点精力药水	14	2	2	1	500000	0
1034010296	八十万点精力药水	15	2	2	1	800000	0
1034010243	抽蓝	1	2	2	2	-100	0
1034010235	紫药	1	2	3	2	100	0
1034010293	糯米粽子	1	2	3	1	300000	0
1034010297	玉液	1	2	3	1	770000	0
1034010298	金丹	1	2	3	1	1770000	0
1034010307	月饼	1	2	3	1	1580000	0
1034010308	万圣节糖果	1	2	3	1	1680000	0
1034010266	太阳水	1	2	3	1	500000	0
1034011001	负面清除	1	10	0	0	0	0
1034011101	增加仇恨	1	11	0	1	68	0
1034011102	增加仇恨	2	11	0	1	128	0
1034011103	增加仇恨	3	11	0	1	238	0
1034010801	调用精神加血	1	8	1	2	400	0
1034010802	调用精神加血	2	8	1	2	600	0
1034010803	调用精神加血	3	8	1	2	800	0
