id	name	level	effectList	effectRangeList	targetType	petJob	rate2	rate3	magic	iconId	order	type	skillRate	skillType	isVIP
1031130104	犀利眼神	4	1034020125:0:0	1	2:0:0	4:104:0:0:0:0:0	0	0	0	1132130005	2	0	2300	112	1
1031130105	犀利眼神	5	1034020120:0:0	1	2:0:0	4:104:0:0:0:0:0	0	0	0	1132130005	2	0	2400	112	1
1031130106	犀利眼神	6	1034020105:0:0	1	2:0:0	4:104:0:0:0:0:0	0	0	0	1132130005	2	0	2500	112	1
1031130107	犀利眼神	7	1034020126:0:0	1	2:0:0	4:104:0:0:0:0:0	0	0	0	1132130005	2	0	2600	112	1
1031130108	犀利眼神	8	1034020110:0:0	1	2:0:0	4:104:0:0:0:0:0	0	0	0	1132130005	2	0	2700	112	1
1031130109	犀利眼神	9	1034020127:0:0	1	2:0:0	104:0:0:0:0:0:0	0	0	0	1132130005	2	0	2800	112	1
1031130110	犀利眼神	10	1034020111:0:0	1	2:0:0	104:0:0:0:0:0:0	0	0	0	1132130005	2	0	2900	112	1
1031130111	犀利眼神	11	1034020128:0:0	1	2:0:0	104:0:0:0:0:0:0	0	0	0	1132130005	2	0	3000	112	1
1031130112	犀利眼神	12	1034020113:0:0	1	2:0:0	104:0:0:0:0:0:0	0	0	0	1132130005	2	0	3100	112	1
1031130113	犀利眼神	13	1034020121:0:0	1	2:0:0	104:0:0:0:0:0:0	0	0	0	1132130005	2	0	3200	112	1
1031130114	犀利眼神	14	1034020114:0:0	1	2:0:0	104:0:0:0:0:0:0	0	0	0	1132130005	2	0	3300	112	1
1031130115	犀利眼神	15	1034020134:0:0	1	2:0:0	104:0:0:0:0:0:0	0	0	0	1132130005	2	0	3400	112	1
1031130201	无影腿	1	1034020120:0:0	1	2:0:0	7:107:0:0:0:0:0	0	0	0	1132130009	2	0	2200	113	1
1031130202	无影腿	2	1034020105:0:0	1	2:0:0	7:107:0:0:0:0:0	0	0	0	1132130009	2	0	2300	113	1
1031130203	无影腿	3	1034020126:0:0	1	2:0:0	7:107:0:0:0:0:0	0	0	0	1132130009	2	0	2400	113	1
1031130204	无影腿	4	1034020110:0:0	1	2:0:0	7:107:0:0:0:0:0	0	0	0	1132130009	2	0	2500	113	1
1031130205	无影腿	5	1034020127:0:0	1	2:0:0	7:107:0:0:0:0:0	0	0	0	1132130009	2	0	2600	113	1
1031130206	无影腿	6	1034020111:0:0	1	2:0:0	7:107:0:0:0:0:0	0	0	0	1132130009	2	0	2700	113	1
1031130207	无影腿	7	1034020128:0:0	1	2:0:0	7:107:0:0:0:0:0	0	0	0	1132130009	2	0	2800	113	1
1031130208	无影腿	8	1034020113:0:0	1	2:0:0	7:107:0:0:0:0:0	0	0	0	1132130009	2	0	2900	113	1
1031130209	无影腿	9	1034020121:0:0	1	2:0:0	107:0:0:0:0:0:0	0	0	0	1132130009	2	0	3000	113	1
1031130210	无影腿	10	1034020114:0:0	1	2:0:0	107:0:0:0:0:0:0	0	0	0	1132130009	2	0	3100	113	1
1031130211	无影腿	11	1034020134:0:0	1	2:0:0	107:0:0:0:0:0:0	0	0	0	1132130009	2	0	3200	113	1
1031130212	无影腿	12	1034020133:0:0	1	2:0:0	107:0:0:0:0:0:0	0	0	0	1132130009	2	0	3300	113	1
1031130213	无影腿	13	1034020132:0:0	1	2:0:0	107:0:0:0:0:0:0	0	0	0	1132130009	2	0	3400	113	1
1031130214	无影腿	14	1034020151:0:0	1	2:0:0	107:0:0:0:0:0:0	0	0	0	1132130009	2	0	3500	113	1
1031130215	无影腿	15	1034020135:0:0	1	2:0:0	107:0:0:0:0:0:0	0	0	0	1132130009	2	0	3600	113	1
1031130301	无影腿	1	1034020120:0:0	1	2:0:0	8:108:0:0:0:0:0	0	0	0	1132130009	2	0	2200	114	1
1031130302	无影腿	2	1034020105:0:0	1	2:0:0	8:108:0:0:0:0:0	0	0	0	1132130009	2	0	2300	114	1
1031130303	无影腿	3	1034020126:0:0	1	2:0:0	8:108:0:0:0:0:0	0	0	0	1132130009	2	0	2400	114	1
1031130304	无影腿	4	1034020110:0:0	1	2:0:0	8:108:0:0:0:0:0	0	0	0	1132130009	2	0	2500	114	1
1031130305	无影腿	5	1034020127:0:0	1	2:0:0	8:108:0:0:0:0:0	0	0	0	1132130009	2	0	2600	114	1
1031130306	无影腿	6	1034020111:0:0	1	2:0:0	8:108:0:0:0:0:0	0	0	0	1132130009	2	0	2700	114	1
1031130307	无影腿	7	1034020128:0:0	1	2:0:0	8:108:0:0:0:0:0	0	0	0	1132130009	2	0	2800	114	1
1031130308	无影腿	8	1034020113:0:0	1	2:0:0	8:108:0:0:0:0:0	0	0	0	1132130009	2	0	2900	114	1
1031130309	无影腿	9	1034020121:0:0	1	2:0:0	108:0:0:0:0:0:0	0	0	0	1132130009	2	0	3000	114	1
1031130310	无影腿	10	1034020114:0:0	1	2:0:0	108:0:0:0:0:0:0	0	0	0	1132130009	2	0	3100	114	1
1031130311	无影腿	11	1034020134:0:0	1	2:0:0	108:0:0:0:0:0:0	0	0	0	1132130009	2	0	3200	114	1
1031130312	无影腿	12	1034020133:0:0	1	2:0:0	108:0:0:0:0:0:0	0	0	0	1132130009	2	0	3300	114	1
1031130313	无影腿	13	1034020132:0:0	1	2:0:0	108:0:0:0:0:0:0	0	0	0	1132130009	2	0	3400	114	1
1031130314	无影腿	14	1034020151:0:0	1	2:0:0	108:0:0:0:0:0:0	0	0	0	1132130009	2	0	3500	114	1
1031130315	无影腿	15	1034020135:0:0	1	2:0:0	108:0:0:0:0:0:0	0	0	0	1132130009	2	0	3600	114	1
1031130401	糯米球	1	1034020127:0:0	1	2:0:0	11:111:0:0:0:0:0	0	0	0	1132130013	2	0	2200	115	1
1031130402	糯米球	2	1034020111:0:0	1	2:0:0	11:111:0:0:0:0:0	0	0	0	1132130013	2	0	2300	115	1
1031130403	糯米球	3	1034020128:0:0	1	2:0:0	11:111:0:0:0:0:0	0	0	0	1132130013	2	0	2400	115	1
1031130404	糯米球	4	1034020113:0:0	1	2:0:0	11:111:0:0:0:0:0	0	0	0	1132130013	2	0	2500	115	1
1031130405	糯米球	5	1034020121:0:0	1	2:0:0	11:111:0:0:0:0:0	0	0	0	1132130013	2	0	2600	115	1
1031130406	糯米球	6	1034020114:0:0	1	2:0:0	11:111:0:0:0:0:0	0	0	0	1132130013	2	0	2700	115	1
1031130407	糯米球	7	1034020134:0:0	1	2:0:0	11:111:0:0:0:0:0	0	0	0	1132130013	2	0	2800	115	1
1031130408	糯米球	8	1034020133:0:0	1	2:0:0	11:111:0:0:0:0:0	0	0	0	1132130013	2	0	2900	115	1
1031130409	糯米球	9	1034020132:0:0	1	2:0:0	111:0:0:0:0:0:0	0	0	0	1132130013	2	0	3000	115	1
1031130410	糯米球	10	1034020151:0:0	1	2:0:0	111:0:0:0:0:0:0	0	0	0	1132130013	2	0	3100	115	1
1031130411	糯米球	11	1034020135:0:0	1	2:0:0	111:0:0:0:0:0:0	0	0	0	1132130013	2	0	3200	115	1
1031130412	糯米球	12	1034020156:0:0	1	2:0:0	111:0:0:0:0:0:0	0	0	0	1132130013	2	0	3300	115	1
1031130413	糯米球	13	1034020136:0:0	1	2:0:0	111:0:0:0:0:0:0	0	0	0	1132130013	2	0	3400	115	1
1031130414	糯米球	14	1034020147:0:0	1	2:0:0	111:0:0:0:0:0:0	0	0	0	1132130013	2	0	3500	115	1
1031130415	糯米球	15	1034020139:0:0	1	2:0:0	111:0:0:0:0:0:0	0	0	0	1132130013	2	0	3600	115	1
1031130501	糯米球	1	1034020127:0:0	1	2:0:0	12:112:0:0:0:0:0	0	0	0	1132130013	2	0	2200	116	1
1031130502	糯米球	2	1034020111:0:0	1	2:0:0	12:112:0:0:0:0:0	0	0	0	1132130013	2	0	2300	116	1
1031130503	糯米球	3	1034020128:0:0	1	2:0:0	12:112:0:0:0:0:0	0	0	0	1132130013	2	0	2400	116	1
1031130504	糯米球	4	1034020113:0:0	1	2:0:0	12:112:0:0:0:0:0	0	0	0	1132130013	2	0	2500	116	1
1031130505	糯米球	5	1034020121:0:0	1	2:0:0	12:112:0:0:0:0:0	0	0	0	1132130013	2	0	2600	116	1
1031130506	糯米球	6	1034020114:0:0	1	2:0:0	12:112:0:0:0:0:0	0	0	0	1132130013	2	0	2700	116	1
1031130507	糯米球	7	1034020134:0:0	1	2:0:0	12:112:0:0:0:0:0	0	0	0	1132130013	2	0	2800	116	1
1031130508	糯米球	8	1034020133:0:0	1	2:0:0	12:112:0:0:0:0:0	0	0	0	1132130013	2	0	2900	116	1
1031130509	糯米球	9	1034020132:0:0	1	2:0:0	112:0:0:0:0:0:0	0	0	0	1132130013	2	0	3000	116	1
1031130510	糯米球	10	1034020151:0:0	1	2:0:0	112:0:0:0:0:0:0	0	0	0	1132130013	2	0	3100	116	1
1031130511	糯米球	11	1034020135:0:0	1	2:0:0	112:0:0:0:0:0:0	0	0	0	1132130013	2	0	3200	116	1
1031130512	糯米球	12	1034020156:0:0	1	2:0:0	112:0:0:0:0:0:0	0	0	0	1132130013	2	0	3300	116	1
1031130513	糯米球	13	1034020136:0:0	1	2:0:0	112:0:0:0:0:0:0	0	0	0	1132130013	2	0	3400	116	1
1031130514	糯米球	14	1034020147:0:0	1	2:0:0	112:0:0:0:0:0:0	0	0	0	1132130013	2	0	3500	116	1
1031130515	糯米球	15	1034020139:0:0	1	2:0:0	112:0:0:0:0:0:0	0	0	0	1132130013	2	0	3600	116	1
