minLevel	maxLevel	expReward
5431	5440	2473696449
5441	5450	2486270954
5451	5460	2498845459
5461	5470	2511419964
5471	5480	2523994469
5481	5490	2536568974
5491	5500	2549143479
5501	5510	2561717984
5511	5520	2574292489
5521	5530	2586866994
5531	5540	2599441499
5541	5550	2612016004
5551	5560	2624590509
5561	5570	2637165014
5571	5580	2649739519
5581	5590	2662314024
5591	5600	2674888529
5601	5610	2687463034
5611	5620	2700037539
5621	5630	2712612044
5631	5640	2725186549
5641	5650	2737761054
5651	5660	2750335559
5661	5670	2762910064
5671	5680	2775484569
5681	5690	2788059074
5691	5700	2800633579
5701	5710	2813208084
5711	5720	2825782589
5721	5730	2838357094
5731	5740	2850931599
5741	5750	2863506104
5751	5760	2876080609
5761	5770	2888655114
5771	5780	2901229619
5781	5790	2913804124
5791	5800	2926378629
5801	5810	2938953134
5811	5820	2951527639
5821	5830	2964102144
5831	5840	2976676649
5841	5850	2989251154
5851	5860	3001825659
5861	5870	3014400164
5871	5880	3026974669
5881	5890	3039549174
5891	5900	3052123679
5901	5910	3064698184
5911	5920	3077272689
5921	5930	3089847194
5931	5940	3102421699
5941	5950	3114996204
5951	5960	3127570709
5961	5970	3140145214
5971	5980	3152719719
5981	5990	3165294224
5991	6000	3177868729
6001	6010	3190443234
6011	6020	3203017739
6021	6030	3215592244
6031	6040	3228166749
6041	6050	3240741254
6051	6060	3253315759
6061	6070	3265890264
6071	6080	3278464769
6081	6090	3291039274
6091	6100	3303613779
6101	6110	3316188284
6111	6120	3328762789
6121	6130	3341337294
6131	6140	3353911799
6141	6150	3366486304
6151	6160	3379060809
6161	6170	3391635314
6171	6180	3404209819
6181	6190	3416784324
6191	6200	3429358829
6201	6210	3441933334
6211	6220	3454507839
6221	6230	3467082344
6231	6240	3479656849
6241	6250	3492231354
6251	6260	3504805859
6261	6270	3517380364
6271	6280	3529954869
6281	6290	3542529374
6291	6300	3555103879
6301	6310	3567678384
6311	6320	3580252889
6321	6330	3592827394
6331	6340	3605401899
6341	6350	3617976404
6351	6360	3630550909
6361	6370	3643125414
6371	6380	3655699919
6381	6390	3668274424
6391	6400	3680848929
6401	6410	3693423434
6411	6420	3705997939
6421	6430	3718572444
6431	6440	3731146949
6441	6450	3743721454
6451	6460	3756295959
6461	6470	3768870464
6471	6480	3781444969
6481	6490	3794019474
6491	6500	3806593979
6501	6510	3819168484
6511	6520	3831742989
6521	6530	3844317494
6531	6540	3856891999
6541	6550	3869466504
6551	6560	3882041009
6561	6570	3894615514
6571	6580	3907190019
6581	6590	3919764524
6591	6600	3932339029
6601	6610	3944913534
6611	6620	3957488039
6621	6630	3970062544
6631	6640	3982637049
6641	6650	3995211554
6651	6660	4007786059
6661	6670	4020360564
6671	6680	4032935069
6681	6690	4045509574
6691	6700	4058084079
6701	6710	4070658584
6711	6720	4083233089
6721	6730	4095807594
6731	6740	4108382099
6741	6750	4120956604
6751	6760	4133531109
6761	6770	4146105614
6771	6780	4158680119
6781	6790	4171254624
6791	6800	4183829129
6801	6810	4196403634
6811	6820	4208978139
6821	6830	4221552644
6831	6840	4234127149
6841	6850	4246701654
6851	6860	4259276159
6861	6870	4271850664
6871	6880	4284425169
6881	6890	4296999674
6891	6900	4309574179
6901	6910	4322148684
6911	6920	4334723189
6921	6930	4347297694
6931	6940	4359872199
6941	6950	4372446704
6951	6960	4385021209
6961	6970	4397595714
6971	6980	4410170219
6981	6990	4422744724
6991	7000	4435319229
7001	7010	4435319229
7011	7020	4435319229
7021	7030	4435319229
7031	7040	4435319229
7041	7050	4435319229
7051	7060	4435319229
7061	7070	4435319229
7071	7080	4435319229
7081	7090	4435319229
7091	7100	4435319229
7101	7110	4435319229
7111	7120	4435319229
7121	7130	4435319229
7131	7140	4435319229
7141	7150	4435319229
7151	7160	4435319229
7161	7170	4435319229
7171	7180	4435319229
7181	7190	4435319229
7191	7200	4435319229
7201	7210	4435319229
7211	7220	4435319229
7221	7230	4435319229
7231	7240	4435319229
7241	7250	4435319229
7251	7260	4435319229
7261	7270	4435319229
7271	7280	4435319229
7281	7290	4435319229
7291	7300	4435319229
7301	7310	4435319229
7311	7320	4435319229
7321	7330	4435319229
7331	7340	4435319229
7341	7350	4435319229
7351	7360	4435319229
7361	7370	4435319229
7371	7380	4435319229
7381	7390	4435319229
7391	7400	4435319229
7401	7410	4435319229
7411	7420	4435319229
7421	7430	4435319229
7431	7440	4435319229
7441	7450	4435319229
7451	7460	4435319229
7461	7470	4435319229
7471	7480	4435319229
7481	7490	4435319229
7491	7500	4435319229
7501	7510	4435319229
7511	7520	4435319229
7521	7530	4435319229
7531	7540	4435319229
7541	7550	4435319229
7551	7560	4435319229
7561	7570	4435319229
7571	7580	4435319229
7581	7590	4435319229
7591	7600	4435319229
7601	7610	4435319229
7611	7620	4435319229
7621	7630	4435319229
7631	7640	4435319229
7641	7650	4435319229
7651	7660	4435319229
7661	7670	4435319229
7671	7680	4435319229
7681	7690	4435319229
7691	7700	4435319229
7701	7710	4435319229
7711	7720	4435319229
7721	7730	4435319229
7731	7740	4435319229
7741	7750	4435319229
7751	7760	4435319229
7761	7770	4435319229
7771	7780	4435319229
7781	7790	4435319229
7791	7800	4435319229
7801	7810	4435319229
7811	7820	4435319229
7821	7830	4435319229
7831	7840	4435319229
7841	7850	4435319229
7851	7860	4435319229
7861	7870	4435319229
7871	7880	4435319229
7881	7890	4435319229
7891	7900	4435319229
7901	7910	4435319229
7911	7920	4435319229
7921	7930	4435319229
7931	7940	4435319229
7941	7950	4435319229
7951	7960	4435319229
7961	7970	4435319229
7971	7980	4435319229
7981	7990	4435319229
7991	8000	4435319229
8001	8010	4435319229
8011	8020	4435319229
8021	8030	4435319229
8031	8040	4435319229
8041	8050	4435319229
8051	8060	4435319229
8061	8070	4435319229
8071	8080	4435319229
8081	8090	4435319229
8091	8100	4435319229
8101	8110	4435319229
8111	8120	4435319229
8121	8130	4435319229
8131	8140	4435319229
8141	8150	4435319229
8151	8160	4435319229
8161	8170	4435319229
8171	8180	4435319229
8181	8190	4435319229
8191	8200	4435319229
8201	8210	4435319229
8211	8220	4435319229
8221	8230	4435319229
8231	8240	4435319229
8241	8250	4435319229
8251	8260	4435319229
8261	8270	4435319229
8271	8280	4435319229
8281	8290	4435319229
8291	8300	4435319229
8301	8310	4435319229
8311	8320	4435319229
8321	8330	4435319229
8331	8340	4435319229
8341	8350	4435319229
8351	8360	4435319229
8361	8370	4435319229
8371	8380	4435319229
8381	8390	4435319229
8391	8400	4435319229
8401	8410	4435319229
8411	8420	4435319229
8421	8430	4435319229
8431	8440	4435319229
8441	8450	4435319229
8451	8460	4435319229
8461	8470	4435319229
8471	8480	4435319229
8481	8490	4435319229
8491	8500	4435319229
