time	account	name	level	data
2010-12-17-15:11:56	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从2变为3.
2010-12-17-15:11:58	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从3变为2.
2010-12-17-15:12:01	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从2变为3.
2010-12-17-15:12:05	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从3变为4.
2010-12-17-15:12:08	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:12:12	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为6.
2010-12-17-15:12:16	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为7.
2010-12-17-15:12:19	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从7变为6.
2010-12-17-15:12:21	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为7.
2010-12-17-15:12:24	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从7变为8.
2010-12-17-15:12:27	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从8变为1.
2010-12-17-15:12:30	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从1变为2.
2010-12-17-15:12:33	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从2变为1.
2010-12-17-15:12:36	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从1变为0.
2010-12-17-15:13:22	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从0变为1.
2010-12-17-15:13:24	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从1变为2.
2010-12-17-15:13:34	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从2变为1.
2010-12-17-15:13:37	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从1变为2.
2010-12-17-15:13:39	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从2变为3.
2010-12-17-15:13:43	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从3变为4.
2010-12-17-15:13:46	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:13:48	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:13:51	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:13:54	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:13:57	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:13:59	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为6.
2010-12-17-15:14:02	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为5.
2010-12-17-15:14:05	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为6.
2010-12-17-15:14:08	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为5.
2010-12-17-15:14:10	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为6.
2010-12-17-15:14:13	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为5.
2010-12-17-15:14:16	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:14:19	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:14:21	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:14:24	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:14:27	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:14:29	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:14:33	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:08:45	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从3变为4.
2010-12-17-15:08:48	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为3.
2010-12-17-15:08:51	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从3变为4.
2010-12-17-15:08:54	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:08:57	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:09:00	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:09:02	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为6.
2010-12-17-15:09:05	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为5.
2010-12-17-15:09:08	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为6.
2010-12-17-15:09:10	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为5.
2010-12-17-15:09:14	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:09:17	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为3.
2010-12-17-15:09:20	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从3变为4.
2010-12-17-15:09:23	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:09:26	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为6.
2010-12-17-15:09:31	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为7.
2010-12-17-15:09:37	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从7变为8.
2010-12-17-15:10:37	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从8变为1.
2010-12-17-15:10:39	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从1变为2.
2010-12-17-15:10:42	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从2变为3.
2010-12-17-15:10:45	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从3变为4.
2010-12-17-15:10:47	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为3.
2010-12-17-15:10:50	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从3变为2.
2010-12-17-15:10:53	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从2变为3.
2010-12-17-15:10:56	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从3变为4.
2010-12-17-15:11:00	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:11:03	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:11:05	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:11:08	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:11:11	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:11:14	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:11:16	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:11:19	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:11:22	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:11:25	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为4.
2010-12-17-15:11:27	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从4变为5.
2010-12-17-15:11:30	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从5变为6.
2010-12-17-15:11:33	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从6变为7.
2010-12-17-15:08:17	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从0变为1.
2010-12-17-15:08:19	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从1变为2.
2010-12-17-15:08:22	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从2变为3.
2010-12-17-15:08:25	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从3变为2.
2010-12-17-15:08:28	twh11	54654	6000	精炼守护装备1级馅料大全（魔）,装备精炼值从2变为3.
2010-12-17-14:45:28	twh11	54654	6000	进化神秘鸡蛋,消耗[神秘鸡蛋x1王国之心碎片x2奇妙之花x4素材之星·天地x6],消耗超级金蛋
